law_code	law_name	chapter	article_number	text
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل اول - تعاریف و اصطلاحات	1	ماده 1- اصطلاحات و واژه‌هایی که در این قانون بکار رفته است، دارای معانی زیر می‌باشند: 1 - شورای عالی بورس و اوراق بهادار: شورایی است که به موجب ماده (3) این قانون تشکیل می‌شود و بعد از این «شورا» نامیده می‌شود. 2 - سازمان بورس و اوراق بهادار: سازمانی است که به موجب ماده (5) این قانون تشکیل می‌شود و بعد از این «سازمان» نامیده می‌شود. 3 - بورس اوراق بهادار: بازاری متشکل و خودانتظام است که اوراق بهادار در آن توسط کارگزاران و یا معامله‌گران طبق مقررات این قانون، مورد داد و ستد قرار می‌گیرد. بورس اوراق بهادار (که از این پس بورس نامیده می‌شود) در قالب شرکت سهامی عام تأسیس و اداره می‌شود. 4 - هیأت داوری: هیأتی است که به موجب ماده (37) این قانون تشکیل می‌شود. 5 - کانون: کانون‌های کارگزاران، معامله گران، بازارگردانان، مشاوران، ناشران، سرمایه گذاران و سایر مجامع مشابه، تشکل‌های خودانتظامی است که به منظور تنظیم روابط بین اشخاصی که طبق این قانون به فعالیت در بازار اوراق بهادار اشتغال دارند، طبق دستورالعمل‌های مصوب «سازمان» به صورت مؤسسه غیر دولتی، غیر تجاری و غیر انتفاعی به ثبت می‌رسند. 6 - تشکل خودانتظام: تشکلی است که برای حسن انجام وظایفی که به موجب این قانون بر عهده دارد و همچنین برای تنظیم فعالیت‌های حرفه‌ای خود و انتظام بخشیدن به روابط بین اعضاء، مجاز است ضوابط و استانداردهای حرفه‌ای و انضباطی را که لازم می‌داند، با رعایت این قانون، وضع و اجراء کند. 7 - شرکت سپرده‌گذاری مرکزی اوراق بهادار و تسویه وجوه: شرکتی است که امور مربوط به ثبت، نگهداری، انتقال مالکیت اوراق بهادار و تسویه وجوه را انجام می‌دهد. 8 - بازارهای خارج از بورس: بازاری است در قالب شبکه ارتباط الکترونیک یا غیر الکترونیک که معاملات اوراق بهادار در آن بر پایه مذاکره صورت می‌گیرد. 9 - بازار اولیه: بازاری است که اولین عرضه و پذیره‌نویسی اوراق بهادار جدیدالانتشار در آن انجام می‌شود و منابع حاصل از عرضه اوراق بهادار در اختیار ناشر قرار می‌گیرد. 10 - بازار ثانویه: بازاری است که اوراق بهادار پس از عرضه اولیه، در آن مورد داد و ستد قرار می‌گیرد. 11 - بازار مشتقه: بازاری است که در آن قراردادهای آتی و اختیار معامله مبتنی بر اوراق بهادار یا کالا داد و ستد می‌شود. 12 - ناشر: شخص حقوقی است که اوراق بهادار را به نام خود منتشر می‌کند. 13 - کارگزار: شخص حقوقی است که اوراق بهادار را برای دیگران و به حساب آن‌ها معامله می‌کند. 14 - کارگزار / معامله‌گر: شخص حقوقی است که اوراق بهادار را برای دیگران و به حساب آن‌ها و یا به نام و حساب خود معامله می‌کند. 15 - بازار گردان: کارگزار / معامله‌گری است که با اخذ مجوز لازم با تعهد به افزایش نقدشوندگی و تنظیم عرضه و تقاضای اوراق بهادار معین و تحدید دامنه نوسان قیمت آن، به داد و ستد آن اوراق می‌پردازد. 16 - مشاور سرمایه‌گذاری: شخص حقوقی است که در قالب قراردادی مشخص، درباره خرید و فروش اوراق بهادار، به سرمایه گذار مشاوره می‌دهد. 17 - سبد گردان: شخص حقوقی است که در قالب قراردادی مشخص و به منظور کسب انتفاع، به خرید و فروش اوراق بهادار برای سرمایه گذار می‌پردازد. 18 - شرکت تأمین سرمایه: شرکتی است که به عنوان واسطه بین ناشر اوراق بهادار و عامه سرمایه گذاران فعالیت می‌کند و می‌تواند فعالیت‌های کارگزاری، معامله‌گری، بازار گردانی، مشاوره، سبد گردانی، پذیره‌نویسی، تعهد پذیره‌نویسی و فعالیت‌های مشابه را با اخذ مجوز از «سازمان» انجام دهد. 19 - صندوق بازنشستگی: صندوق سرمایه‌گذاریی است که با استفاده از طرح‌های پس‌انداز و سرمایه‌گذاری، مزایای تکمیلی را برای دوران بازنشستگی اعضای آن فراهم می‌کند. 20 - صندوق سرمایه‌گذاری: نهادی مالی است که فعالیت اصلی آن سرمایه‌گذاری در اوراق بهادار می‌باشد و مالکان آن به نسبت سرمایه‌گذاری خود، در سود و زیان صندوق شریکند. 21 - نهادهای مالی: منظور نهادهای مالی فعال در بازار اوراق بهادارند که از آن جمله میتوان به کارگزاران، کارگزاران / معامله‌گران، بازار گردانان، مشاوران سرمایه‌گذاری، مؤسسات رتبه بندی، صندوق‌های سرمایه‌گذاری، شرکت‌های سرمایه‌گذاری، شرکت‌های پردازش اطلاعات مالی، شرکت‌های تأمین سرمایه و صندوق‌های بازنشستگی اشاره کرد. 22 - شرکت مادر (هلدینگ): شرکتی که با سرمایه‌گذاری در شرکت سرمایه پذیر جهت کسب انتفاع، آنقدر حق رأی کسب می‌کند که برای کنترل عملیات شرکت، هیأت مدیره را انتخاب کند و یا در انتخاب اعضای هیأت مدیره مؤثر باشد. 23 - ارزشیاب: کارشناس مالی است که دارایی‌ها و اوراق بهادار موضوع این قانون را مورد ارزشیابی قرار دهد. 24 - اوراق بهادار: هر نوع ورقه یا مستندی است که متضمن حقوق مالی قابل نقل و انتقال برای مالک عین و یا منفعت آن باشد. شورا، اوراق بهادار قابل معامله را تعیین و اعلام خواهد کرد. مفهوم ابزار مالی و اوراق بهادار در متن این قانون، معادل هم در نظر گرفته شده است. 25 - انتشار: انتشار عبارت است از صدور اوراق بهادار برای عرضه عمومی. 26 - عرضه عمومی: عرضه اوراق بهادار منتشره به عموم جهت فروش. 27 - عرضه خصوصی: فروش مستقیم اوراق بهادار توسط ناشر به سرمایه‌گذاران نهادی است. 28 - پذیره‌نویسی: فرآیند خرید اوراق بهادار از ناشر و یا نماینده قانونی آن و تعهد پرداخت وجه کامل آن طبق قرارداد. 29 - تعهد پذیره‌نویسی: تعهد شخص ثالث برای خرید اوراق بهاداری که ظرف مهلت پذیره‌نویسی به فروش نرسد. 30 - اعلامیه پذیره‌نویسی: اعلامیه‌ای است که از طریق آن، اطلاعات مربوط به ناشر و اوراق بهادار قابل پذیره‌نویسی در اختیار عموم قرار می‌گیرد. 31 - بیانیه ثبت: مجموعه فرم‌ها، اطلاعات و اسناد و مدارکی است که در مرحله تقاضای ثبت شرکت، به سازمان داده می‌شود. 32 - اطلاعات نهانی: هرگونه اطلاعات افشاء نشده برای عموم که بطور مستقیم و یا غیر مستقیم به اوراق بهادار، معاملات یا ناشر آن مربوط می‌شود و در صورت انتشار بر قیمت و یا تصمیم سرمایه گذاران برای معامله اوراق بهادار مربوط تأثیر می‌گذارد. 33 - سبد: مجموعه دارایی‌های مالی است که از محل وجوه سرمایه گذاران خریداری می‌شود.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	2	ماده 2- در راستای حمایت از حقوق سرمایه گذاران و با هدف ساماندهی، حفظ و توسعه بازار شفاف، منصفانه و کارای اوراق بهادار و به منظور نظارت بر حسن اجرای این قانون، شورا و سازمان با ترکیب، وظایف و اختیارات مندرج در این قانون تشکیل می‌شود.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	3	ماده 3- شورا بالاترین رکن بازار اوراق بهادار است که تصویب سیاست‌های کلان آن بازار را بر عهده دارد. اعضای شورا به شرح ذیل می‌باشد: 1 - وزیر امور اقتصادی و دارایی. 2 - وزیر بازرگانی. 3 - رئیس کل بانک مرکزی جمهوری اسلامی ایران. 4 - رؤسای اتاق بازرگانی و صنایع و معادن ایران و اتاق تعاون. 5 - رئیس سازمان که به عنوان دبیر شورا و سخنگوی سازمان نیز انجام وظیفه خواهد کرد. 6 - دادستان کل کشور یا معاون وی. 7 - یک نفر نماینده از طرف کانون‌ها. 8 - سه نفر خبره مالی منحصرا از بخش خصوصی با مشورت تشکل‌های حرفه‌ای بازار اوراق بهادار به پیشنهاد وزیر امور اقتصادی و دارایی و تصویب هیأت وزیران. 9 - یک نفر خبره منحصرا از بخش خصوصی به پیشنهاد وزیر ذی‌ربط و تصویب هیأت وزیران برای هر بورس کالایی. تبصره 1 - ریاست شورا با وزیر امور اقتصادی و دارایی خواهد بود. تبصره 2 - مدت مأموریت اعضای موضوع بندهای (7)، (8) و (9) پنج سال است و آنان را نمیتوان از میان اعضای هیأت مدیره و کارکنان سازمان انتخاب کرد. تبصره 3 - انتخاب مجدد اعضای موضوع بندهای (7)، (8) و (9) این ماده حد اکثر برای دو دوره امکان‌پذیر خواهد بود. تبصره 4 - اعضای موضوع بند (9)، فقط در جلسات مربوط به تصمیم‌گیری همان بورس شرکت می‌کنند.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	4	ماده 4- وظایف شورا به شرح زیر می‌باشد: 1 - اتخاذ تدابیر لازم جهت ساماندهی و توسعه بازار اوراق بهادار و اعمال نظارت عالیه بر اجرای این قانون. 2 - تعیین سیاست‌ها و خط مشی بازار اوراق بهادار در قالب سیاست‌های کلی نظام و قوانین و مقررات مربوط. 3 - پیشنهاد آیین‌نامه‌های لازم برای اجرای این قانون جهت تصویب هیأت وزیران. 4 - تصویب ابزارهای مالی جدید. 5 - صدور، تعلیق و لغو مجوز فعالیت بورس‌ها، بازارهای خارج از بورس، شرکت‌های سپرده‌گذاری مرکزی اوراق بهادار و تسویه وجوه و شرکت‌های تأمین سرمایه. 6 - تصویب بودجه و صورت‌های مالی سازمان. 7 - نظارت بر فعالیت و رسیدگی به شکایت از سازمان. 8 - تصویب نوع و میزان وصولی‌های سازمان و نظارت بر آن‌ها. 9 - انتخاب بازرس - حسابرس سازمان و تعیین حق‌الزحمه آن. 10 - انتخاب اعضای هیأت مدیره سازمان. 11 - تعیین حقوق و مزایای رئیس و اعضای هیأت مدیره سازمان. 12 - انتخاب اعضای هیأت داوری و تعیین حق‌الزحمه آنان. 13 - اعطای مجوز به بورس به منظور عرضه اوراق بهادار شرکت‌های پذیرفته شده خود در بازارهای جهانی. 14 - اعطای مجوز پذیرش اوراق بهادار خارجی به بورس. 15 - اعطای مجوز به بورس جهت معاملات اشخاص خارجی در بورس. 16 - سایر اموری که به تشخیص هیأت وزیران به بازار اوراق بهادار مربوط باشد. تبصره - مصوبات شورا پس از تأیید وزیر امور اقتصادی و دارایی لازم‌الاجراء خواهد بود.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	5	ماده 5- سازمان، مؤسسه عمومی غیر دولتی است که دارای شخصیت حقوقی و مالی مستقل بوده و از محل کارمزدهای دریافتی و سهمی از حق پذیرش شرکت‌ها در بورس‌ها و سایر درآمدها اداره خواهد شد. منابع لازم برای آغاز فعالیت و راه‌اندازی سازمان یاد شده از محل وجوه امانی شورای بورس نزد سازمان کارگزاران بورس اوراق بهادار تهران تأمین می‌شود. تبصره - اساسنامه و تشکیلات سازمان حداکثر ظرف سه ماه از تاریخ تصویب این قانون توسط شورا تهیه و به تصویب هیأت وزیران خواهد رسید.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	6	ماده 6- هیأت مدیره سازمان دارای پنج عضو است که از میان افراد امین و دارای حسن شهرت و تجربه در رشته مالی منحصرا از کارشناسان بخش غیر دولتی به پیشنهاد رئیس شورا و با تصویب شورا انتخاب می‌شوند. رئیس شورا حکم اعضای هیأت مدیره را صادر می‌کند.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	7	ماده 7- وظایف و اختیارات هیأت مدیره سازمان به شرح زیر است: 1 - تهیه آیین‌نامه‌های لازم برای اجرای این قانون و پیشنهاد آن به شورا. 2 - تهیه و تدوین دستورالعمل‌های اجرایی این قانون. 3 - نظارت بر حسن اجرای این قانون و مقررات مربوط. 4 - ثبت و صدور مجوز عرضه عمومی اوراق بهادار و نظارت بر آن. 5 - درخواست صدور، تعلیق و لغو مجوز تأسیس و فعالیت بورس‌ها و سایر نهادهایی که تصویب آن‌ها بر عهده شورا است. (الحاقیه 1402/12/22) 6 - صدور، تعلیق و لغو مجوز تأسیس و فعالیت کانون‌ها و نهادهای مالی موضوع این قانون که در حوزه عمل مستقیم شورا نیست. ( الحاقیه 1402/12/22) 7- تصویب اساسنامه بهابازار (بورس)ها، کانون‌ها، نهاد‌های مالی و شرکت‌های سهامی عام ثبت شده نزد سازمان و الزام آن‌ها به تا اساسنامه‌های خود با آن ( اصلاحیه 1402/12/22) 8 - اتخاذ تدابیر لازم جهت پیشگیری از وقوع تخلفات در بازار اوراق بهادار. 9 - اعلام آن دسته از تخلفات در بازار اوراق بهادار که اعلام آن‌ها طبق این قانون بر عهده سازمان است به مراجع ذی‌صلاح و پیگیری آن‌ها. 10 - ارائه صورت‌های مالی و گزارش‌های ادواری در مورد عملکرد سازمان و همچنین وضعیت بازار اوراق بهادار به شورا. 11 - اتخاذ تدابیر ضروری و انجام اقدامات لازم به منظور حمایت از حقوق و منافع سرمایه گذاران در بازار اوراق بهادار. 12 - ایجاد هماهنگی‌های لازم در بازار اوراق بهادار و همکاری با سایر نهادهای سیاست‌گذاری و نظارتی. 13 - پیشنهاد بکارگیری ابزارهای مالی جدید در بازار اوراق بهادار به شورا. 14 - نظارت بر سرمایه‌گذاری اشخاص حقیقی و حقوقی خارجی در بورس. 15 - تهیه بودجه و پیشنهاد انواع درآمدها و نرخ‌های خدمات سازمان جهت تصویب توسط شورا. 16 - تصویب سقف نرخ‌های خدمات و کارمزدهای بورس و سایر نهادهای مالی موضوع این قانون. 17 - صدور تأیید نامه سازمان قبل از ثبت شرکت‌های سهامی عام نزد مرجع ثبت شرکت‌ها و نظارت سازمان بر آن شرکت‌ها. 18 - بررسی و نظارت بر افشای اطلاعات با اهمیت توسط شرکت‌های ثبت‌شده نزد سازمان. 19 - همکاری نزدیک و هماهنگی با مراجع حسابداری به ویژه هیأت تدوین استانداردهای حسابرسی. 20 - انجام تحقیقات کلان و بلند مدت برای تدوین سیاست‌های آتی بازار اوراق بهادار. 21 - همکاری و مشارکت با مراجع بین‌المللی و پیوستن به سازمان‌های مرتبط منطقه‌ای و جهانی. 22 - انجام سایر اموری که از طرف شورا به سازمان محول شده باشد.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	8	ماده 8- مدت عضویت هر یک از اعضای هیأت مدیره پنج سال است و انتخاب مجدد آنان برای یک دوره دیگر بلامانع است.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	9	ماده 9- رئیس هیأت مدیره سازمان از بین اعضاء هیأت مدیره به پیشنهاد اعضاء و تصویب شورا برای مدت سی ماه تعیین خواهد شد. تبصره 1 - رئیس هیأت مدیره، رئیس سازمان و بالاترین مقام اجرایی آن خواهد بود. تبصره 2 - وظایف و حدود اختیارات رئیس سازمان در اساسنامه سازمان تعیین خواهد شد.
bazar_oraghbahadar	قانون بازار اوراق بهادار جمهوری اسلامی	فصل دوم - ارکان بازار اوراق بهادار	10	ماده 10- اشتغال اعضای هیأت مدیره به صورت موظف و تمام وقت بوده و بهیچوجه حق اشتغال یا پذیرش مسئولیت دیگری در سایر دستگاه‌ها، بنگاه‌ها و نهادها اعم از دولتی و غیر دولتی را نخواهند داشت.
