law_code	law_name	chapter	article_number	text
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل اول: تعاریف	1	ماده 1- عبارات و اصطلاحات این قانون در معانی مشروحه زیر بهکار میرود: 1- طرح(پروژه): عبارت است از مجموعه فعالیتهای هدفدار(طراحی - مهندسی، تولید، تدارکات، اجراء و یا راهاندازی) که منجر به تولید یا احداث یک واحد جدید، توسعه و اصلاح واحد موجود و یا خرید محصولات مبتنی بر سفارش طراحی - ساخت شود. 2- ارجاع کار: عبارت است از انجام دادن و یا واگذاری مسؤولیت انجام فعالیتهای مختلف طرح(پروژه) بهصورت کامل و یا بخشی از یک طرح(پروژه) 3 - دستگاه مرکزی: واحد مرکزی دستگاهها که طبق مقررات وظیفه راهبری واحدهای تابعه را برعهده دارند. 4- پیمانکار: هر شخص حقیقی یا حقوقی که طی قرارداد به آن ارجاع کار میشود. 5 - پیمانکار طراحی و ساخت: به پیمانکاری اطلاق میشود که مسؤولیت انجام خدمات طراحی تفصیلی و اجرائی، طراحی مهندسی یا مهندسی فرآیند، تولید، تهیه و تأمین کالا و تجهیزات، عملیات اجرائی و نصب و راهاندازی و مدیریت انجام این فعالیتها در یک طرح(پروژه) را بر عهده دارد. 6 - کالا: محصولی که فرآیند مصرف آن از فرآیند تولیدش قابل تفکیک است و مالکیت آن میتواند از یک شخص به شخص دیگری منتقل شود. 7- خدمت: محصولی که فرآیند مصرف آن از فرآیند تولید یا ایجاد آن قابل تفکیک نباشد، شامل انواع تغییرات سفارشی و خاص که به درخواست مشتری در وضعیت، شکل، موقعیت و مکان اشیاء یا اشخاص صورت پذیرد و شامل انواع خدمات مشاوره، آموزشی و درمانی یا انواع پیمانکاری از جمله پیمانکاری احداث، پیمانکاری ترابری، پیمانکاری تعمیر، نگهداری یا بهرهبرداری میشود. 8 - محصول داخلی: عبارت از کالای تولیدشده یا خدمتی که با طراحی متخصصان ایرانی یا به طریق مهندسی معکوس یا انتقال دانش فنی و فناوری آن بهمنظور ایجاد ارزش افزوده در داخل کشور انجام میشود. 9- عمق ساخت داخل: میزان سهم عوامل تولید و نهادههای بهکاررفته در فرآیند ساخت محصول داخلی که در قلمرو جغرافیایی کشور ایجاد شده باشد. 10- مشارکت ایرانی - خارجی: شرکت متشکل از اشخاص حقیقی یا حقوقی ایرانی و خارجی و یا گروه اقتصادی که با منافع مشترک(کنسرسیوم) از این اشخاص براساس قرارداد قانونی معتبر برای انجام طرح(پروژه) مشخص، تشکیل شده است. 11- تأمین مالی مقید: تأمین مالی طرحها(پروژهها) در داخل کشور مشروط به ارجاع کار توسط کارفرما به پیمانکار ایرانی یا مشارکت ایرانی - خارجی بهگونهای که سهم شرکت ایرانی حداقل پنجاهویکدرصد(51%) باشد. 12- تأسیسات عمومی: تأسیساتی که در مصارف عمومی نظیر ساختمان اداری، محوطهسازی و یا قسمتهای غیرصنعتی طرح(پروژه) مورد استفاده قرار میگیرد. 13- استاندارد غیرمتعارف: استانداردهایی که مطابق قانون تقویت و توسعه نظام استاندارد مصوب 4/9/1396 در تقسیمبندی استانداردهای ملی، منطقهای و بینالمللی قرار نداشته باشند. 14- اتاقها: اتاق بازرگانی صنایع، معادن و کشاورزی که در این قانون مختصراً «اتاق ایران» نامیده میشود، «اتاق تعاون» و «اتاق اصناف» که هر سه بهموجب قوانین مربوطه تشکیل شدهاند.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	2	ماده 2- کلیه وزارتخانهها، سازمانها، مؤسسات، شرکتهای دولتی یا وابسته به دولت موضوع ماده(4) قانون محاسبات عمومی کشور مصوب 1/6/1366 با اصلاحات و الحاقات بعدی آن، بانکها، مؤسسات و نهادهای عمومی غیردولتی موضوع ماده(5) قانون مذکور و شرکتهای تابعه آنها، بنیادها، نهادهای انقلاب اسلامی، شرکتها، مؤسسات و نهادهای موضوع ماده(6) قانون اجرای سیاستهای کلی اصل چهل و چهارم(44) قانون اساسی مصوب 25/3/1387 با اصلاحات و الحاقات بعدی و شرکتهای تابعه آنها و همچنین کلیه سازمانها، شرکتها، مؤسسات، دستگاهها و واحدهایی که شمول قانون بر آنها مستلزم ذکر نام است از قبیل شرکتهای تابعه وزارت نفت در امور نفت، گاز، پتروشیمی و پالایش و پخش، سازمان گسترش و نوسازی صنایع ایران و سازمان توسعه و نوسازی معادن و صنایع معدنی ایران، سازمان هواپیمایی کشوری، سازمان بنادر و دریانوردی، سازمان صدا و سیمای جمهوری اسلامی ایران، شرکت ملی فولاد اعم از اینکه قانون خاص خود را داشته باشند و یا از قوانین و مقررات عام تبعیت کنند و اشخاص حقوقی وابسته به آنها، ستاد اجرائی فرمان امام(ره)، قرارگاههای سازندگی، سازمانهای مناطق ویژه اقتصادی با مدیریت بخش عمومی، هیأت امنای صرفهجویی ارزی در معالجه بیماران و دانشگاهها و مؤسسات آموزش عالی و پژوهشی و نهادها و شرکتهای تابعه و وابسته آنها، اعم از اینکه از امکانات دولتی، وجوه عمومی و یا از درآمدهای خود و یا از تسهیلات، اعتبارات و تضامین ارزی و ریالی استفاده میکنند، صرفنظر از فعالیت در سرزمین اصلی یا مناطق ویژه اقتصادی، مشمول این قانون میشوند. تبصره1- اشخاص حقیقی و حقوقی خصوصی یا تعاونی که در اجرای طرحها (پروژهها) از تسهیلات منابع صندوق توسعه ملی، تسهیلات تکلیفی، تسهیلات یارانهای و یا تضمین تسهیلات بانکی توسط دولت، استفاده میکنند به میزان تسهیلات و امکانات دولتی دریافتی در همان طرح(پروژه) مشمول این قانون میشوند. تبصره2- اشخاص حقوقی که صرفنظر از نوع مالکیت، حداقل یکی از اعضای هیأتمدیره آنها توسط یکی از دستگاههای صدر این ماده تعیین میشوند، مشمول این قانون میشوند. تبصره3- شمول احکام این قانون به دستگاههای زیر نظر مقام معظم رهبری، منوط به أخذ استعلام رئیس هیأت نظارت موضوع ماده(19) این قانون و با إذن مقام معظم رهبری میباشد.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	3	ماده 3- بهمنظور رعایت این قانون در برگزاری مناقصات، موارد زیر لازمالاجراء است: الف - از تاریخ لازمالاجراءشدن این قانون، خرید انواع کالا و خدمت به هر طریق از جمله برگزاری مناقصه، یا ترک تشریفات و عدم الزام به تشریفات توسط دستگاههای موضوع ماده(1) قانون برگزاری مناقصات مصوب 3/11/1383 با اصلاحات و الحاقات بعدی ، بدون رعایت این قانون ممنوع است. ب - تمام دستگاههای صدر موضوع ماده(2) این قانون در ارجاع کار(موضوع ماده(5) این قانون)، به دستگاههای مشمول قانون برگزاری مناقصات افزوده میشوند.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	4	ماده 4- الف - وزارت صنعت، معدن و تجارت موظف است: 1- از محل اعتبارات داخلی و با استفاده از سامانههای موجود، سامانه متمرکزی را جهت درج فهرست توانمندیهای محصولات داخلی ساماندهی کند. 2- با رعایت مواد (2) و (3) قانون بهبود مستمر محیط کسب و کار مصوب 1390/11/16 با اصلاحات و الحاقات بعدی و دریافت نظرات اتاقها، کانون عالی انجمنهای صنفی کارفرمایی ایران و دیگر تشکلهای سراسری کارفرمایی و کارگری، ظرف مدت چهارماه پس از لازمالاجراءشدن این قانون به درج فهرست توانمندیهای محصولات داخلی، ظرفیت و اسامی تولیدکنندگان کالاها و عرضهکنندگان خدمات، پیمانکاران طراحی - ساخت، فناوریهای داخلی و رتبهبندی در سامانه متمرکز موضوع جزء(1) این بند اقدام کند. اطلاعات این سامانه باید بهصورت مستمر روزآمد و در دسترس عموم باشد. 3- عمق ساخت داخل محصولات داخلی و نصب برچسب نشاندهنده درصد عمق ساخت داخل بر روی محصولات را حداکثر طی دوره دوساله تعیین و در سامانه موضوع جزء(1) این بند درج کند. تبصره - آییننامه اجرائی این جزء مشتمل بر روش احراز عمق ساخت داخل و تحقق آن با رعایت مواد(2) و (3) قانون بهبود مستمر محیط کسب و کار مصوب 16/11/1390 با اصلاحات و الحاقات بعدی توسط وزارت صنعت، معدن و تجارت با همکاری سازمان برنامه و بودجه کشور و وزارتخانههای نفت، نیرو، جهاد کشاورزی و بهداشت، درمان و آموزش پزشکی ظرف مدت چهارماه پس از لازمالاجراءشدن این قانون تهیه میشود و بهتصویب هیأت وزیران میرسد. 4- نسبت به درج رتبهبندی تولیدکنندگان کالاها، عرضهکنندگان خدمات و پیمانکاران طراحی - ساخت در سامانه موضوع جزء(1) این بند که توسط مراجع ذیصلاح قانونی غیردولتی، سازمانهای نظام مهندسی و اتاق ایران انجام میشود، اقدام کند. نحوه رتبهبندی و تعیین فهرست مراجع ذیصلاح قانونی غیردولتی برای رتبهبندی در هر حوزه تخصصی اعم از طرحهای دولتی و غیردولتی موضوع این قانون بر اساس ضوابط شامل سطح تحصیلات اعضای هیأت مدیره و مدیر عامل، سوابق کاری شرکت، توان مالی و فنی و امکانات نرمافزاری و نیروی انسانی متخصص تعیین میشود. آییننامه اجرائی این جزء توسط وزارت صنعت، معدن و تجارت با همکاری دستگاههای اجرائی ذیربط با مشارکت اتاقها، سازمانهای نظام مهندسی کشور و کانون عالی انجمنهای صنفی کارفرمایی ایران حداکثر ظرف مدت سهماه پس از لازمالاجراءشدن این قانون تهیه میشود و به تصویب هیأت وزیران میرسد. تبصره1- تشخیص صلاحیت و طبقهبندی مهندسان مشاور و پیمانکاران طرحهای تملک داراییهای سرمایهای(عمرانی)، موضوع ماده(22) قانون برنامه و بودجه کشور مصوب 10/12/1351 با اصلاحات و الحاقات بعدی و وظایف موضوع ماده(34) قانون احکام دائمی برنامههای توسعه کشور مصوب 10/11/1395 با اصلاحات و الحاقات بعدی، جهت افزایش کارآمدی و اثربخشی طرح(پروژه)هایی که از وجوه عمومی استفاده میکنند و طرحهای تملک داراییهای سرمایهای با رعایت قانون نحوه اجرای سیاستهای کلی اصل چهل و چهارم(44) قانون اساسی بر عهده سازمان برنامه و بودجه کشور است و فهرست مربوطه جهت درج در سامانه موضوع این ماده به وزارت صنعت، معدن و تجارت اعلام میشود. تبصره2- به منظور اجرائیشدن احکام ماده(5) قانون بهبود مستمر محیط کسب و کار مصوب 16/11/1390 با اصلاحات و الحاقات بعدی در راستای ساماندهی، ایجاد، ثبت و اعلام فهرست ملی تشکلهای اقتصادی، سهماه پس از لازمالاجراء شدن این قانون، وزارت امور اقتصادی و دارایی موظف است با مشورت شورای گفتوگو آییننامه اجرائی آن را تهیه کند و به تصویب هیأت وزیران برساند. اتاق ایران موظف است ضمن انجام اقدامات لازم جهت عضویت فراگیر فعالان اقتصادی در این اتاق، کارت عضویت و تمدید آن را بدون دریافت چهار در هزار سود سالانه، موضوع ماده(13) قانون احکام دائمی برنامههای توسعه کشور، صادر کند. ب - کلیه دستگاههای موضوع ماده(2) این قانون موظفند: 1- حداکثر یکماه پس از تصویب طرحهای(پروژههای) خود در مرجع ذیربط، نسبت به انتشار فهرست و مشخصات آنها در سامانه موضوع این ماده اقدام کنند. 2- فهرست کالاها و خدمات خارجی مورد نیاز طرحهای(پروژههای) موضوع این بند و همچنین نیازهای دوران بهرهبرداری طرحهای(پروژههای) خود را با ذکر مشخصات فنی و استانداردهای مربوطه در سامانه موضوع این ماده اعلام کنند. تبصره1- در مورد اقلام و نیازهای دفاعی و موارد خلاف امنیت و مصالح عمومی کشور موضوع جزءهای(1) و(2) این بند طبق قوانین و مقررات مربوطه عمل میشود. تبصره2- خرید خارجی اقلام این جزء اعم از آنکه این خرید از بازار داخلی یا خارجی صورت پذیرد، در صورتی که حداقل سهماه قبل از شروع فرآیند خرید در سامانه مذکور بارگذاری نشده باشد، ممنوع است. در صورت وجود شرایط اضطرار و یا فوریت با درخواست بالاترین مقام دستگاه و ارائه مستندات و تأیید وزیر صنعت، معدن و تجارت زمان مذکور قابل کاهش است. 3- استاندارد مورد نظر کالا و خدمات مورد نیاز خود را تعیین و در سامانه موضوع این ماده اعلام کنند و در صورت عدم وجود استاندارد مدون، پیشنهاد تدوین یا انطباق آن را به سازمان ملی استاندارد ارائه کنند. 4 - محصولات داخلی دارای گواهی انطباق از مراکز تأیید صلاحیت داخلی یا بینالمللی را مورد قبول و تأیید قرار دهند. تبصره - در صورتی که دستگاههای موضوع ماده(2) این قانون استانداردهای مورد نظر خود را بهصورت غیرمتعارف تعیین کنند با اعتراض تشکل تخصصی سازندگان و پیمانکاران طراحی - تدارک - ساخت، موضوع به سازمان ملی استاندارد ایران ارجاع میشود تا با بررسی موضوع با همکاری طرفهای ذینفع و سایر دستگاههای مربوط حداکثر ظرف مدت یکماه اتخاذ تصمیم نماید. تصمیم سازمان ملی استاندارد برای دستگاههای موضوع ماده(2) این قانون لازمالاجراء است.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	5	ماده 5- بهمنظور حمایت از کالا و خدمات تولیدی کشور، پیمانکاران داخلی و تعمیق ساخت داخل در کشور: الف - از تاریخ لازمالاجراءشدن این قانون، ارجاع کار توسط دستگاههای موضوع ماده(2) این قانون صرفاً به مؤسسات و شرکتهای ایرانی ثبتشده در فهرست توانمندیهای مندرج در سامانه ماده(4) این قانون مجاز است. در غیر این صورت و نیاز به استفاده از مشارکت ایرانی - خارجی(با سهم شرکت ایرانی حداقل پنجاهویکدرصد(51%)) ارجاع کار با پیشنهاد بالاترین مقام دستگاه اجرائی و تصویب هیأت نظارت موضوع ماده(19) این قانون، مجاز خواهد بود. در موارد خاص که ارجاع کار به شرکتهای ایرانی و یا مشارکت ایرانی - خارجی (با سهم شرکت ایرانی حداقل پنجاهویکدرصد(51%)) میسر نباشد، با پیشنهاد بالاترین مقام دستگاه موضوع ماده(2) این قانون با ارائه مستندات لازم پس از تصویب در شورای اقتصاد، ارجاع کار به مشارکت ایرانی - خارجی(با سهم شرکت ایرانی کمتر از پنجاهویکدرصد(51%)) و یا شرکت خارجی بلامانع خواهد بود. گزارش موارد خاص تصویبشده در شورای اقتصاد موضوع این بند همراه با مستندات باید هر سهماه یکبار به کمیسیونهای ذیربط مجلس شورای اسلامی ارائه شود. تبصره - چنانچه دستگاههای موضوع ماده(2) این قانون پس از استعلام از شورای عالی امنیت ملی و تأیید این شورا، ارجاع کار به شرکتهای ثبتشده در سامانه موضوع ماده(4) این قانون را مغایر مصالح امنیتی و دفاعی کشور بدانند، ارجاع کار به شرکتهای ثبتنشده در سامانه بلامانع است. ب - دستگاههای موضوع ماده(2) این قانون مکلفند کالاها و خدمات مورد نیاز طرح (پروژه) را از فهرست توانمندیهای داخلی مندرج در سامانه موضوع ماده(4) این قانون تأمین کنند. خرید کالاها و خدمات خارجی (اعم از آنکه از بازار داخلی یا خارجی خریداری شوند) که محصولات با مشخصات مندرج در سامانه توانمندیهای داخلی مشابه آنها وجود دارد، ممنوع است. تبصره1- چنانچه دستگاههای موضوع ماده(2) این قانون، ضرورتی برای تأمین کالاها یا خدمات خارجی - که مشابه محصول داخلی دارند - داشته باشند، باید مراتب را با امضای بالاترین مقام دستگاه مرکزی و با مستندات لازم به وزارت صنعت، معدن و تجارت و یا حسب مورد وزارت جهاد کشاورزی اعلام کنند. در صورت تأیید بالاترین مقام وزارت صنعت، معدن و تجارت و یا حسب مورد وزارت جهاد کشاورزی و رعایت حدنصاب تبصره(2) این ماده، دستگاه مجاز خواهد بود نسبت به تأمین کالای خارجی اقدام کند. تبصره2- نصاب حداقل استفاده از ارزش محصولات داخلی در این قانون پنجاهویک درصد (51%) تعیین میشود و این نصاب سالانه و برای حوزههای مورد نظر متناسب با ارتقای توان داخلی به پیشنهاد هیأت نظارت و تصویب شورای اقتصاد قابل افزایش است. تبصره3- در مواردی که سهم ارزش محصولات داخلی طرح(پروژه) کمتر از نصاب تعیینشده در تبصره(2) این ماده باشد، مراتب باید توسط دستگاه مرکزی با مستندات لازم به شورای اقتصاد و هیأت نظارت اعلام شود. هیأت نظارت موظف است حداکثر ظرف مدت یکماه سهم محصولات داخلی را پس از تصویب برای تصمیمگیری در شورای اقتصاد ارسال کند در غیر اینصورت شورای اقتصاد حداکثر ظرف مدت دوماه پس از وصول درخواست باید رأساً تصمیمگیری کند. تبصره4- رعایت مفاد این ماده در خصوص تبصره(1) ماده(2) این قانون بر عهده هیأت نظارت موضوع ماده(19) این قانون است. تبصره5 - در صورت وجود شرایط انحصاری در ساخت برخی محصولات داخلی مورد استفاده در طرح(پروژه)، ساز و کار کشف قیمت در قالب آییننامهای توسط وزارت صنعت، معدن و تجارت ظرف مدت سهماه پس از لازمالاجراء شدن این قانون مشخص میشود و به تصویب هیأت وزیران میرسد. تبصره6 - محاسبه حد نصاب تعیینشده در تبصره(2) این ماده، بدون درنظرگرفتن ارزش زمین، ساختمان و تأسیسات عمومی صورت میگیرد. تبصره7- دستگاههای موضوع ماده(2) این قانون موظف هستند رعایت ماده(5) این قانون را صریحاً در قرارداد منعقده با پیمانکار اصلی درج کنند و رعایت آن را در تمامی قراردادهای مستقیم و غیرمستقیم الزامی اعلام نموده و بر رعایت آن نظارت کنند. تبصره8 - پیوست فناوری قرارداد، جزء لاینفک قرارداد محسوب میشود و دستگاههای موضوع ماده(2) این قانون موظفند این پیوست را در کلیه طرحها(پروژهها) و ارجاع کار موضوع این قانون مبتنی بر «سند چشمانداز»، «نقشه جامع علمی کشور»، سیاستهای «علم و فناوری» و «اقتصاد مقاومتی» تهیه و همراه با سایر مستندات فنی و اقتصادی طرح(پروژه) برای تصویب به شورای اقتصاد ارائه کنند. بالاترین مقام دستگاه اجرائی موظف به نظارت بر حسن اجرای پیوست مزبور برای هر یک از قراردادهای موضوع این قانون میباشد.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	6	ماده 6- الف - کلیه دستگاههای موضوع ماده(2) این قانون قبل از واردات کالا یا تهیه خدمات از خارج کشور، مکلفند نسبت به ثبت سفارش کالا یا خدمت مربوط طبق قانون مقررات صادرات و واردات و آییننامه اجرائی آن اقدام کنند. ب - دستگاههای موضوع ماده(2) این قانون مکلفند اسامی پیمانکاران طرحهای (پروژههای) خود را با رعایت تبصره(1) بند «ب» ماده(4) و تبصره(3) ماده(2) این قانون بلافاصله پس از تعیین به وزارت صنعت، معدن و تجارت اعلام کنند. ج - وزارت صنعت، معدن و تجارت موظف است از ثبت سفارش کالا و خدمات اشخاص حقیقی و حقوقی که احکام این قانون را رعایت نکردهاند، جلوگیری نماید.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	7	ماده 7- بهمنظور فراهم نمودن سازوکار تأمین مالی معطوف به حداکثر استفاده از توان داخلی کشور: الف - دستگاههای موضوع ماده(2) و پیمانکاران آنها در اجرای طرحها(پروژهها) مجازند تأمین مالی قرارداد خرید کالا و خدمات از شرکتهای ایرانی یا مشارکت ایرانی - خارجی را از طریق نظام بانکی بهصورت ارزی انجام دهند. ب - بانک مرکزی جمهوری اسلامی ایران مکلف است، شرایط زیر را برای بانکهای عامل فراهم سازد: 1- گشایش اعتبار ارزی(بهصورت قابل تقسیم و یا اتکایی)، به درخواست دستگاههای موضوع ماده(2) و در مراحل بعدی، پیمانکاران اصلی و فرعی توسط بانکهای عامل به نفع شرکتهای ایرانی یا مشارکت ایرانی - خارجی طرف قرارداد 2- اجازه استفاده از ارزی که توسط شرکتهای ایرانی یا مشارکت ایرانی - خارجی در پیمانها و قراردادهای ارزی یا ارزی - ریالی مربوط، اعم از پیمانها و قراردادهای بخش دولتی یا غیردولتی حاصل میشود برای واردات کالا و خدمات مورد نیاز طرح(پروژه) 3- سازوکار روش تأمین مالی مقید را طراحی و به بانکها ابلاغ کند. بانکهای تخصصی دولتی و غیردولتی موظف به اجرای این روش هستند. تبصره - صندوق توسعه ملی مکلف است روش تأمین مالی مقید را در چهارچوب قانون و ضوابط قانونی خود اجرائی کند.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	8	ماده 8- تأمینکنندگان کالا و خدمات مجازند با استناد به ماده(10) قانون برگزاری مناقصات و در چهارچوب تأمین مالی واگذاری مطالبات از طریق کارگزاری (فاکتورینگ)، تمام یا بخشی از مطالبات قراردادی محققشده و محققنشده خود را به اشخاص حقیقی و حقوقی ثالث(پذیرندگان) اعم از بانکها یا مؤسسات اعتباری واگذار کنند. در صورتی که تأمینکننده، مطالبات را به ثالث واگذار کند، کلیه کارفرمایان موضوع این قانون اعم از دولتی، عمومی و یا تعاونی مکلف به رعایت واگذاری مطالبات از طریق کارگزاری(فاکتورینگ) هستند. آییننامه اجرائی این ماده حداکثر ظرف مدت چهارماه پس از ابلاغ این قانون توسط سازمان برنامه و بودجه کشور و وزارت امور اقتصادی و دارایی تهیه میشود و به تصویب هیأت وزیران میرسد. تبصره1- دستگاههای موضوع ماده(2) این قانون مجاز نیستند در قرارداد خرید کالا یا خدمات، حق واگذاری مطالبات آن قرارداد را از فروشنده کالا یا خدمت سلب کنند و در هر صورت سلب این حق نافذ نخواهد بود. تبصره2- پرداخت کارفرما یا مشتری به خریدار، قطعی و غیرقابل برگشت بوده و تضامین ارائهشده توسط کارفرما(مشتری) به تأمینکنندگان، به پذیرنده منتقل میشود.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	9	ماده 9- بهمنظور گسترش ابزارهای تضمین و پوششهای بیمهای در کشور: الف- صندوقهای تضمین میتوانند توسط اشخاص حقیقی یا حقوقی از جمله تشکلهای حرفهای یا گروهی از اعضای یک صنف یا صنعت خاص ایجاد شوند و به صورت عمومی تخصصی ملی و یا منطقهای فعالیت نمایند. صندوقهای تضمین موظفند تمام یا بخشی از ابزارهای تضمین مورد نیاز بخشهای تولیدی و خدماتی کشور اعم از ضمانت نامه تعهد پرداخت شرکت در مناقصه یا مزایده پیش پرداخت حسن انجام تعهدات استرداد کسور وجه الضمان، ضمانت نامه گمرکی و و همچنین ضمانت نامههای مورد نیاز برای انتشار اوراق بهادار در بازار سرمایه را در چهارچوب ضوابط ارائه نمایند. (اصلاحیه 1402/12/22) تبصره 1- به استثنای صندوقهایی که به موج قانون به صورت دولتی تأسیس و اداره شده یا میشوند، صندوقهای تضمین به صورت غیر دولتی و اداره خواهند شد. دستگاههای اجرائی میتوانند با رعایت قانون اجرای سیاستهای کلی اصل چهل و چهارم (44) قانون اساسی به منظور انجام وظایف تخصصی خود، اقدام به مشارکت در تأسیس یا سهامداری صندوقهای غیر دولتی (اعم از خصوصی، تعاونی و عمومی) نمایند. تبصره -2 ثبت صندوقهای تضمین منوط به دریافت موافقت اصولی از شورا و دریافت مجوز از وزارت امور اقتصادی و دارایی است. ب- با هدف حمایت حقوقی و مالی لازم از شکل گیری و توسعه فعالیت صندوقهای تضمین و ایفای نقش آنها در رفع مشکل تأمین مالی اشخاص: (اصلاحیه 1402/12/22) 1- مؤسسات اعتباری و شرکتهای بیمه میتوانند علاوه بر تأسیس یا مشارکت در تأسیس صندوقهای تضمین سبد ضمانت صندوقهای تضمین را به صورت مجدد تضمین یا بیمه نمایند. 2- ضمانت نامههای صادر شده توسط صندوقهای تضمین در زمره ضمانت نامه های قابل پذیرش دستگاههای موضوع ماده (2) قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی مصوب 1398/2/15 قرار میگیرند و نهادهای مالی و نهادهای وثیقه پذیر و سایر کارفرمایان مجازند تضمین صندوقهای مزبور را متناسب با وضعیت اعتباری این صندوقها، بپذیرند. 3- دستگاههای اجرائی و صندوقهای ضمانت یا تضمین دولتی، مجازند با رعایت قوانین و مقررات مربوط، منابع مالی در اختیار خود را در قالبهای مختلف اعم از کمک کارگزاری منابع یا وجوه اداره شده تسهیلات ارزان قیمت و مشارکت در مخاطره (ریسک) صدور ضمانت نامه در اختیار صندوقهای تضمین قرار دهند. 4- قراردادهایی که توسط صندوقها ضمین مطابق نمونه مصوب شورا تنظیم و منعقد میگردد، در حکم اسناد لازم الاجرا بوده مزایای اسناد تجاری از جمله عدم نیاز به تودیع خسارت احتمالی بابت اخذ قرار تأمین خواسته برخوردار میباشد. آیین نامه اجرایی بندهای (الف) و (ب) ماده (9) قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی راجع به مؤسسات (صندوق های) تضمین مصوب 1401/10/28هیأت وزیران را از اینجا ببینید. ج - بیمه مرکزی موظف است ظرف مدت سهماه پس از لازمالاجراءشدن این قانون، ساز و کار ارائه انواع پوششهای بیمهنامه اعتبار صادراتی و بیمهنامه مسؤولیت ناشی از محصول توسط شرکتهای بیمه داخلی را تهیه و ابلاغ کند. د(الحاقی 1401)- دستگاههای اجرائی موضوع ماده (5) قانون مدیریت خدمات کشوری و نیروهای مسلح و مجموعه های زیر نظر مقام معظم رهبری با إذن ایشان مکلفند در صورت درخواست شرکتها و مؤسسات دانش بنیان و واحدهای فناور مستقر در مراکز رشد و پارکهای علم و فناوری، مطالبات قطعی آنها را در قراردادهای مربوط به خود یا دستگاههای اجرائی دیگر به عنوان تضمین معتبر برای فرآیند ارجاع کار، انجام تعهدات، پیش پرداخت و حسن انجام کار بپذیرند و به همان میزان، مطالبات متقاضی تا زمان انجام تعهدات را مسدود نمایند. در صورتی که میزان مطالبات متقاضی از مبلغ تضامین مورد نظر کمتر باشد، لازم است متقاضی صرفاً معادل کسری مطالبات، ضمانتنامه معتبر ارائه نماید. آیین نامه اجرائی این بند حداکثر ظرف سه ماه از تاریخ ابلاغ این قانون توسط وزارت امور اقتصادی و دارایی تهیه می شود و به تصویب هیأت وزیران می رسد.
hemayat_kalaye_irani	قانون حداکثر استفاده از توان تولیدی و خدماتی کشور و حمایت از کالای ایرانی	فصل دوم: حمایت از محصول داخلی و خریدهای طرحی(پروژه‌ای) در ارجاع کار	10	ماده 10- تبصره زیر جایگزین تبصرههای(1) و (2) ماده(12) قانون حداکثر استفاده از توان تولیدی و خدماتی در تأمین نیازهای کشور و تقویت آنها در امر صادرات و اصلاح ماده(104) قانون مالیاتهای مستقیم مصوب 1/5/1391 میشود: تبصره - سازمان تأمین اجتماعی مکلف است بهمنظور بیمه کارکنان ایرانی دارای گواهینامه شغلی که در ارتباط با اجرای قراردادهای صدور خدمات فنی و مهندسی بهخارج از کشور اعزام میشوند حق بیمه قراردادها(پیمانها) را بهصورت ریالی صرفاً بر اساس صورتمزد یا حقوق ماهیانه کارکنان محاسبه و وصول کند و مفاصاحساب قرارداد و یا پیمانها را صادر کند.
