law_code	law_name	section	article_number	text
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	1	ماده 1- در هر حوزه دادگاه شهرستان که وزارت دادگستری مقتضی بداند اداره تصفیه برای رسیدگی بامور ورشکستگی تأسیس می‌نماید و در این موارد عضو ناظر تعیین نخواهد شد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	2	ماده 2- رئیس و کارمندان اداره تصفیه ممکن است از بین خدمت گزاران قضائی یا اداری یا از غیر خدمت گزاران دولت انتخاب شود- اداره تصفیه بقدر لزوم کارمند خواهد داشت.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	3	ماده 3- موارد رد رئیس و قائم‌‌مقام او و محاسبین اداره تصفیه همان است که در رد دادرس در اصول محاکمات حقوقی ذکر شده است و در صورتی که کارمندی این ایراد را موجه بداند رئیس کارمند دیگری را برای اینکار مأموریت می‌دهد و چنان چه کارمند ایراد را رد کند قبول یا رد ایراد به نظر رئیس است. در مواردی که کارمند خود را مردود می‌داند از هر گونه اقدامی خودداری کرده و مراتب را برئیس اطلاع داده امر او را به موقع اجرا می‌گذارد. ‌در صورتی که رئیس مردود شود کارمند مقدم اداره وظایف او را انجام خواهد داد و چنانچه رئیس ایراد رد را نسبت بخود قبول ننماید تعیین تکلیف با‌دادگاه است.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	4	ماده 4- هر گاه کارکنان اداره تصفیه یا کسانشان تا درجه دوم از طبقه دوم نسبت به دارائی ورشکسته بنفع خود طرف معامله واقع شوند آن معامله باطل است و متخلف تعقیب انتظامی خواهد شد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	5	ماده 5- مرجع شکایت از اقدامات اداره تصفیه دادگاهی است که حکم توقف را صادر کرده است شکایت به هیچ وجه جریان کار را توقیف نمی کند مگر در موارد مهم که عمل مورد شکایت جبران‌ناپذیر و ادله شاکی قوی باشد دادگاه می‌تواند دستور جلوگیری بدهد در اینصورت دادگاه مکلف است معجلاً و خارج از نوبت و در جلسه اداری به شکایت رسیدگی کرده تصمیم خود را اعلام دارد و در سایر موارد دادگاه در صورت موجه تشخیص دادن شکایت دستور لازم به اداره تصفیه می‌دهد و به اقتضای مورد ممکن است عمل اداره تصفیه را باطل نماید.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	6	ماده 6- استرداد وجوهی که توسط اداره تصفیه به صندوق دادگستری محل یا صندوق اداره تصفیه تسلیم می‌شود به حواله دو نفر از کارکنان اداره‌تصفیه که مجاز از طرف وزارت دادگستری باشند خواهد بود.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	7	ماده 7- کلیه عملیات اداره تصفیه و تقاضاها و اعلاماتی که بآن اداره می‌شود باید در صورت مجلس نوشته شود.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	8	ماده 8- همینکه حکم ورشکستگی قابل اجرا شد رونوشت حکم به اداره تصفیه و اداره ثبت محل فرستاده می‌شود.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	9	ماده 9- در صورتی که اموال تاجر ورشکسته واقع در حوزه دادگاه دیگری باشد اداره می‌تواند اقداماتی را که لازم است از اداره تصفیه محل چنان چه در محل موجود باشد وگرنه از دادگاه آن محل یا مأمور دیگری که تعیین میکند بخواهد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	10	ماده 10- اداره تصفیه می‌تواند از اداره پست و تلگراف و گمرک بخواهد که در مدت تصفیه کلیه برگ‌ها و بسته‌هایی که به عنوان متوقف فرستاده می‌شود یا از طرف متوقف ارسال گردیده برای آن اداره بفرستد- متوقف می‌تواند در موقع باز کردن برگها و پاکت‌ها و بسته‌ها حضور داشته باشد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	11	ماده 11- اداره تصفیه در صورت لزوم می‌تواند برای اقدامات تأمینیه بدوی به اعتبار دارایی موجود ورشکسته استقراض نماید.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث اول- سازمان اداره تصفیه	12	ماده 12- وظایف اداره تصفیه در این قانون و آیین‌نامه‌های مربوطه بآن که وزارت دادگستری تهیه می‌کند تعیین می‌شود و در موارد سکوت بر‌طبق قانون تجارت اقدام خواهد شد. بیشتر بخوانید: نمونه دادخواست صدور حکم ورشکستگی شرکت بدهکار دفاع مقابل دعوای مطالبه وجه چک ضمانت توسط تعاونی اعتباری نمونه لایحه تجدیدنظرخواهی از قرار عدم استماع دعوای ورشکستگی
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	13	ماده 13- همین که حکم ورشکستگی قابل اجرا شد و رونوشت آن به اداره تصفیه رسید اداره صورتی از اموال ورشکسته برداشته اقدامات لازمه را از قبیل مهر و موم برای حفظ آنها به عمل می‌آورد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	14	ماده 14- ورشکسته مکلف است اموال و دفاتر خود را به اداره تصفیه معرفی نموده و در تحت اختیار آن بگذارد وگرنه به مجازات از سه ماه تا شش‌ماه زندان تأدیبی محکوم خواهد شد. اگر ورشکسته فوت نموده یا فراری باشد ورثه و شرکاء و خدمه و متصدیان امور و کلیه اشخاصی که به نحوی از انحاء در اموال ورشکسته تصرف و دخالت دارند این تکلیف را خواهند داشت وگرنه به همین مجازات خواهند رسید. اداره اشخاص نامبرده را از این تکلیف آگاه کرده و مجازاتی را که برای خودداری آنها معین شده تذکر می‌دهد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	15	ماده 15- اداره تصفیه اقدام به بستن و مهر و موم نمودن انبارها- مغازه‌ها-کالا- کارخانجات می‌نماید مگر اینکه بتواند تحت نظارت خود آنها اداره نماید. اداره به وسائل مقتضی اقدام به حفاظت پول نقد، برگهای بهادار، دفاتر تجارتی، دفاتر شخصی و هر چیز قیمتی دیگر می‌نماید. و سایر اموال را تا وقتی که صورت آنها برداشته نشده مهر و موم نموده و مهر و موم تا موقعی که اداره آن را لازم بداند باقی خواهد ماند بعلاوه اقدام به حفظ اشیائی که در خارج از محل اقامت ورشکسته است خواهد نمود.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	16	ماده 16- مستثنیات دین تحت اختیار ورشکسته گذاشته شده ولی جزء صورت اموال قید خواهد شد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	17	ماده 17- اشیائی که متعلق به اشخاص ثالث بوده و یا اشخاص ثالث نسبت به آنها اظهار حقی می‌نمایند در صورت اموال قید شده مراتب ضمن صورت ذکر خواهد شد.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	18	ماده 18- اداره تصفیه مکلف است حقوق اشخاص ثالث را نسبت به اموال غیر منقول ورشکسته که مستند به اسناد رسمی است معلوم کرده ضمن صورت اموال قید نماید.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	19	ماده 19- کلیه اشیائی که در صورت قید شده باید ارزیابی شود.
tasfiye_varshekastegi	قانون اداره تصفیه امور ورشکستگی	مبحث دوم- اقدامات تأمینی اداره تصفیه	20	ماده 20- صورتی که باین ترتیب تنظیم شده به ورشکسته ارایه و از او سؤال می‌شود که آن را صحیح و کامل می‌داند یا خیر- پاسخ ورشکسته در‌صورت قید شده و به امضای او می‌رسد.
