law_code	law_name	article_number	text
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	1	ماده 1- منظور از واژه قانون در این آیین نامه قانون روابط موجر و مستأجر - مصوب 1376. 5. 26 - میباشد.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	2	ماده 2- موارد زیر مشمول مقررات قانون نمیباشد: 1 - روابط استیجاری قبل از اجرای قانون. 2 - روابط ناشی از انتقال حقوقی قانونی مستأجر سابق به مستأجر جدید با اجازه موجر در صورتی که قرار داد اجاره قبل ازلازمالاجرا شدن قانون باشد. 3 - روابط ناشی از صلح منافع یا هر عنوان دیگر و نیز تصرفات برحسب تراضی شفاهی با موجر به عنوان اجاره. 4 - موارد تخلیه اماکن استیجاری قبل از انقضای مدت مندرج در قرارداد. 5 - در صورتی که سند عادی اجاره بر طبق ضوابط مقرر در ماده (2) قانون تنظیم نشده باشد. تبصره - (به موجب رأی شماره 176 الی 178- 1379/5/23 هیأت عمومی دیوان عدالت اداری ابطال شده است)
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	3	ماده 3- رسیدگی به درخواست تخلیه در مورد سند عادی موضوع ماده (2) قانون بدون تقدیم دادخواست و با ابطال تمبرمربوط به دعاوی غیر مالی وبدون رعایت تشریفات آیین دادرسی مدنی به عمل خواهد آمد.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	4	ماده 4- رییس حوزه قضایی یا دادگاه مرجوع الیه با احراز مالکیت یا ذی نفع بودن موجر حسب مورد مبادرت به صدور دستور تخلیه خواهد نمود.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	5	ماده 5- ابلاغ اوراق قضایی و یا اوراق اجراییه به مستأجر در محل عین مستأجره و به موجر در محل مندرج در قرارداد صورت میگیرد؛ مگر اینکهطرفین ترتیب دیگری را مقرر نموده باشند.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	6	ماده 6- اجرای دستور تخلیه صادره توسط مقام قضایی نیاز به صدور اجراییه ندارد و توسط مأمور، ابلاغ و اجرا میگردد. مأمور مکلف است آن راظرف (24) ساعت به شخص مستأجر ابلاغ و در نسخه ثانی رسید دریافت کند و در صورت امتناع مستأجر از دادن رسید مراتب را در ابلاغ نامه قید وظرف (3) روز نسبت به اجرای مفاد دستور اقدام نماید.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	7	ماده 7- چنانچه مستأجر در محل حضور نداشته باشد مفاد دستور تخلیه به یکی از بستگان یا خادمان وی که سن ظاهری او برای تمییز اهمیت موضوعکافی باشد ابلاغ میشود.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	8	ماده 8- هرگاه اشخاص مذکور در ماده قبل در محل حضور نداشته باشند یا از دادن رسید امتناع ورزند، مأمور مراتب را در اعلامیهای قید و به محلالصاق مینماید. تبصره - در اعلامیه، مراتب مراجعه مأمور و استنکاف اشخاص و یا عدم حضور آنان و نیز مفاد دستور مقام قضایی درج شده و همچنین این مطلب قیدخواهد شد که چنانچه ظرف (3) روز مستأجر اقدام به تخلیه محل و تحویل آن به موجر یا نماینده قانونی وی و یا دفتر دادگاه ننماید، امر تخلیه در روز وساعت معین توسط مأمور اجرا انجام میپذیرد.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	9	ماده 9- در مورد اسناد رسمی اجاره، درخواست صدور اجراییه جهت تخلیه مورد اجاره از دفترخانه تنظیم کننده سند به عمل خواهد آمد.
aeename_mojer_mostajer_76	‌آیین نامه اجرایی قانون روابط موجر و مستأجر (قانون مصوب ۱۳۷۶)	10	ماده 10- در خواست نامه برای اسناد عادی اجاره در فرم مخصوص تنظیم میشود و شامل نکات زیر خواهد بود: الف - نام و نام خانوادگی و نام پدر و محل اقامت موجر یا نماینده قانونی و یا قایم مقام وی، ب - نام و نام خانوادگی و محل اقامت مستأجر یا قایم مقام قانونی وی. پ - مشخصات عین مستأجره ت - مشخصات و تاریخ سند اجاره تبصره 1 - تصویر مصدق قرارداد باید پیوست در خواست نامه یاد شده باشد تبصره 2 - در صورت فوت موجر یا مستأجر، وراث آنها و در صورت انتقال عین از ید موجر و یا منافع از ید مستأجر ایادی منتقل الیهم و در صورتحجر موجر یا مستأجر نماینده قانونی آنها قایم مقام قانونی آنان میباشند.
