law_code	law_name	chapter	article_number	text
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		1	ماده 1- در این آییننامه اصطلاحات زیر در معانی مشروح به کار میروند: الف - قانون: قانون پیشفروش ساختمان - مصوب 1389- . ب - پیشفروشنده: مالک رسمی زمین یا سرمایهگذار یا مستأجر. پ - مالک رسم-ی زمین: شخصی که مطابق ماده (22) قانون ثبت اسناد و املاک - مصوب 1310 - دارای سند رسمی مالکیت میباشد. ت - مستأجر: شخصی که به موجب سند رسمی دارای حق احداث بنا بر روی عین مستأجره میباشد. ث - سرمایهگذار: شخصی که به موجب سند رسمی با مالک یا مستأجر برای احداث بنا سرمایهگذاری مینماید و واحد یا واحدهای ساختمانی مشخص از بنای احداثی با حق فروش به وی اختصاص مییابد. ج - سند رسمی: سندی که بین پیشفروشنده و پیشخریدار یا واگذارنده و منتقلالیه حقوق و تعهدات ناشی از آن، در دفاتر اسناد رسمی تنظیم میگردد. چ - عملیات پی ساختمان: عملیاتی که پس از خاکبرداری و در اجرای پیریزی (فونداسیون) جهت استقرار ستونهای ساختمان یا دیوارهای باربر بر روی پی انجام میگیرد و با پایان آن، اجرای اسکلت ساختمان شروع میشود. ح - مهندس ناظر: شخصی که دارای پروانه اشتغال به کار مهندسی از وزارت راه و شهرسازی بوده و از طرف مالک یا پیشفروشنده به مرجع صدور پروانه ساختمان معرفی و پس از موافقت مرجع مربوط، مسئولیت نظارت بر اجرای ساخت و ساز ساختمان را براساس پروانه ساختمان و شناسنامه فنی و ملکی ساختمان و سایر تکالیف مقرر برعهده دارد. خ - گواهی اتمام ساختمان: برگهای با امضای مهندس ناظر که به موجب آن پایان عملیات ساختمانی براساس مقررات ملی ساختمان به مرجع صدور پروانه ساختمان اعلام میگردد. د- شناسنامه فنی و ملکی ساختمان: سندی که براساس بند (ز) ماده (21) قانون نظام مهندسی و کنترل ساختمان - مصوب 1374 - و مطابق دستورالعمل وزارت راه و شهرسازی مشتمل بر سیستم و پایداری سازه، تأسیسات برقی و مکانیکی و مشخصات معماری ساختمان صادر میشود. ذ- هیأت داوری: هیأت موضوع ماده (20) قانون.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		2	ماده 2- قرارداد پیشفروش و واگذاری حقوق و تعهدات طرفین (پیشخریدار و پیشفروشنده) باید به صورت رسمی از طریق دفتر اسناد رسمی با رعایت تمام قیود و شرایط مقرر در مواد (2) و (4) قانون تنظیم و منعقد شود و خلاصه در سند مالکیت قید و خلاصه آن به اداره ثبت محل اعلام گردد. نمونه قرارداد پیشفروش، توسط سازمان ثبت اسناد و املاک کشور با همکاری کانون سردفتران و دفتریاران مرکز و وزارت راه وشهرسازی ظرف یکماه پس از ابلاغ این آییننامه تهیه و جهت استفاده متقاضیان در اختیار آنان قرار خواهد گرفت.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		3	ماده 3- سردفتر اسناد رسمی مکلف است پس از تنظیم و امضای قرارداد پیشفروش نسبت به درج خلاصه معامله در سامانه الکترونیکی سازمان ثبت اسناد و املاک کشور اقدام نماید. واحد ثبتی مکلف است ظرف (24) ساعت خلاصه مربوط را در دفتر املاک ثبت کند. در این مرحله ضرورتی به ارسال سند مالکیت به اداره ثبت نمیباشد.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		4	ماده 4- واحد ثبتی مکلف است پاسخ استعلام ثبتی ملک را براساس آخرین وضعیت ملک، نام ومشخصات آخرین مالک و سایر اشخاصی که به هر نحو در ملک دارای حق میباشند، تهیه و ظرف پنج روزکاری به دفترخانه ارسال نماید. تخلف از این بند موجب تعقیب اداری است.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		5	ماده 5- کلیه عوامل مربوط در ساخت سازههای موضوع قرارداد پیشفروش از قبیل مهندس ناظر، پیمانکار و مالک رسمی زمین مکلفند قوانین و مقررات و ضوابط شهرسازی و معماری و دستورالعملهای قانونی را در این زمینه رعایت نمایند.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		6	ماده 6- در قرارداد پیشفروش باید وضعیت واحد، انباری، توقفگاه، مشاعات و حقوق ارتفاقی و سایر موارد مندرج در ماده (2) قانون مطابق با شناسنامه فنی و ملکی ساختمان درج و تصریح گردد.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		7	ماده 7- ملاک محاسبه نهایی مساحت و قیمت با رعایت ماده(7) قانون، صورت مجلس تفکیکی خواهد بود.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		8	ماده 8- در مواردی که واحدی توسط چند نفر پیشخرید میشود باید میزان سهم هر یک از پیشخریداران توسط دفتر اسنادرسمی در سند مشخص و به هر یک از پیشخریداران یک نسخه از سند تحویل شود.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		9	ماده 9- در تنظیم سند پیشفروش، قیود و محدودیتهای مندرج در سند مالکیت پیشفروشنده باید در سند مذکور تصریح گردد.
aeename_pishfroosh_sakhteman	آیین نامۀ اجرایی قانون پیش فروش ساختمان		10	ماده 10- شهرداریها و سایر مراجع قانونی ذیربط مکلفند هنگام صدور پروانه احداث ساختمان، ظرف یک هفته تعداد واحدهای منظور در پروانه را به واحدهای ثبتی محل وقوع ملک اعلام نمایند.
