law_code	law_name	article_number	text
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	1	ماده 1- در راستای اجرای سیاستهای کلی جمعیت و خانواده و بندهای (45)، (46) و (70) سیاستهای کلی برنامه ششم توسعه و ماده (45) قانون تنظیم بخشی از مقررات مالی دولت (2) مصوب 1393/12/4 موضوع اجرای نقشه مهندسی فرهنگی کشور و سند جمعیت و تعالی خانواده و مواد (72)، (94)، (102)، (103)، (104) و (123) قانون برنامه پنجساله ششم توسعه اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران، احکام مقرر در این قانون با رعایت مصوبات شورای عالی انقلاب فرهنگی لازمالاجراء است. هماهنگی و نظارت بر اجرای این قانون به شرح زیر میباشد: الف- در راستای تحقق تبصره (7) راهبرد کلان چهارم نقشه مهندسی فرهنگی کشور، به منظور راهبردی، برنامهریزی، ارزیابی کلان و نظارت بر اجرای این قانون با رعایت مصوبات شورای عالی انقلاب فرهنگی، ستاد ملی جمعیت به ریاست رئیس جمهور و مرکب از اعضای ذیل تشکیل میگردد: رئیس جمهور (رئیس ستاد) دبیر ستاد وزرای کشور، بهداشت، درمان و آموزش پزشکی، علوم، تحقیقات و فناوری، ورزش و جوانان، راه و شهرسازی، تعاون، کار و رفاه اجتماعی، اطلاعات، امور اقتصادی و دارایی، فرهنگ و ارشاد اسلامی، آموزش و پرورش و ارتباطات و فناوری اطلاعات رؤسای سازمانهای صدا و سیمای جمهوری اسلامی ایران، برنامه و بودجه کشور، تبلیغات اسلامی، پزشکی قانونی کشور معاون امور زنان و خانواده ریاست جمهوری یا دستگاه مرتبط مدیر حوزههای علمیه دادستان کل کشور رییس شورای فرهنگی-اجتماعی زنان و خانواده شورای عالی انقلاب فرهنگی دو نفر نماینده مجلس شورای اسلامی به عنوان ناظر رییس ستاد کل نیروهای مسلح رییس سازمان بسیج مستضعفین ب- وظایف ستاد ملی جمعیت به شرح زیر است: تهیه برنامه عمل متناظر این قانون با تقسیم کار ملی تعیین نقش و ایجاد هماهنگی و همافزایی بین وزارتخانهها، سازمانها، نهادها و مجموعههای مرتبط با موضوع جوانی جمعیت و خانواده و نظارت بر نقشهای تعیین شده. پیشنهاد اعتبار دستگاههای مرتبط با این قانون در بودجه سنواتی به سازمان برنامه و بودجه کشور دریافت گزارش سالانه عملکرد و ارزیابی فعالیتهای صورت گرفته در ارتباط با بودجههای اختصاص یافته در موضوع جمعیت و فرزندآوری تدوین و ابلاغ دستورالعمل ارزیابی عملکرد دستگاهها نسبت به اجرای این قانون نظارت بر طرحها، برنامهها و عملکرد ناظر بر اعتبارات مرتبط با این قانون تدوین شاخصهای ارزیابی و سنجش اقدامات اثربخش بر رشد ازدواج و فرزندآوری به تفکیک بخشهای خانواده، رسانه، سازمانهای مردمنهاد، دستگاههای اجرایی، شرکتها و مؤسسات خصوصی، مدیران، نخبگان دریافت گزارش نهادهای ذیربط مبنی بر اثربخشی اقدامات آنها بر رشد ازدواج و فرزندآوری در جامعه مخاطب اهدای سالانه «جایزه ملی جوانی جمعیت» پایش زمانی و مکانی مستمر تغییرات جمعیتی در سطح ملی، استانی و شهرستانی با مشارکت مرکز آمار ایران پایش جامع وضعیت سقط جنین در کشور بر اساس جمعبندی گزارشهای دستگاههای ذیربط و پژوهشهای مرتبط ارایه گزارش عملکرد شش ماهه ستاد و دستگاههای مرتبط در رابطه با رشد ازدواج و فرزندآوری به شورای عالی انقلاب فرهنگی و مجلس شورای اسلامی تبصره 1- جلسات ستاد حداقل هر سه ماه یک بار با حضور اکثریت اعضا تشکیل میشود. تبصره 2- ستاد ملی جمعیت دارای دبیرخانه مستقل بوده و دبیر ستاد، مسؤولین معاونتها و کارگروههای تخصصی دبیرخانه مذکور با حکم رییس جمهور منصوب میگردند. دبیرخانه ستاد ملی جمعیت مسؤولیت تهیه طرحها و پیگیری مصوبات ستاد ملی جمعیت را بر عهده دارد. تبصره 3- وظایف نظارتی ستاد نافی نظارت سایر نهادهای ناظر کشور نمیباشد و همچنین شمول این نظارت در خصوص دستگاهها و نهادهای زیرمجموعه رهبری با اذن معظمله خواهد بود. تبصره 4- کلیه مصوبات ستاد پس از تأیید و امضای رییسجمهور لازمالاجرا میباشد. پ- استانداران مکلفند از طریق شورای برنامهریزی و توسعه استان موضوع ماده (31) قانون احکام دائمی برنامههای توسعه کشور مصوب 1395/11/10، راهبری، برنامهریزی، هماهنگی بین بخشی و نظارت و ارزیابی در سطح استان در مورد احکام این قانون را بر عهده گیرند. ت- وزارت کشور مکلف است با همکاری مرکز آمار ایران، هر ساله به رصد مداوم میزان موالید و نرخ باروری کل در کشور پرداخته و بر اساس آن پیشنهادهای لازم را در خصوص برنامهریزی برای ارتقای وضعیت باروری در استانها و شهرستانها به ستاد ملی جمعیت ارایه نماید. تبصره- اعطای کلیه امتیازات و تسهیلات این قانون مشروط به آن است که نرخ باروری شهرستان محل زادگاه پدر یا فرزند، بالای 2.5 نباشد. این محدودیت، شامل امتیازات و تسهیلات مذکور در مواد (6)، (7)، (8)، (17)، (22)، (23)، (26)، (40)، (41)، (43)، (49)، (66) و (68) و همچنین مواردی که در قوانین قبلی پیشبینی شده است، نخواهد بود.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	2	ماده 2- کلیه وزارتخانهها و دستگاههای زیرمجموعه دولت موظفند دستورالعملها، برنامهها و منشورات مرتبط با خانواده، فرزندآوری و جمعیت را در چارچوب مصوبات شورای عالی انقلاب فرهنگی تهیه نموده و جهت تحق تبصره (4) راهبرد کلان سوم نقشه مهندسی فرهنگی کشور هر شش ماه یک بار به مجلس شورای اسلامی و شورای عالی انقلاب فرهنگی گزارش دهند.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	3	ماده 3- وزارت راه و شهرسازی مکلف است امکان استفاده مجدد از امکانات دولتی مربوط به تأمین مسکن خانوار را برای خانوادهها پس از تولد فرزند سوم و بیشتر فراهم آورد و این خانوادهها میتوانند صرفاً برای بار دوم از کلیه امکانات دولتی در این خصوص استفاده نمایند.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	4	ماده 4- به منظور تحقق بند «چ» ماده (102) قانون پنجساله ششم توسعه اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران دولت مکلف است یک قطعه زمین یا واحد مسکونی حداکثر به میزان (200) مترمربع منطبق با ضوابط حد نصاب تفکیک بر اساس طرحهای هادی روستایی و شهری یا طرحهای جامع و تفصیلی شهری مصوب برای ساکنین در روستاها یا شهرهای کمتر از پانصدهزار نفر پس از تولد فرزند سوم و بیشتر بهصورت مشترک و بالمناصفه به پدر و مادر، در همان محل بر اساس هزینه آمادهسازی فقط برای یک بار به صورت فروش اقساطی با دو سال تنفس و هشت سال اقساط اعطا نماید و سند مالکیت، پس از پرداخت آخرین قسط، ظرف حداکثر یک ماه، به مالکین تحویل داده میشود. تبصره 1- برای ساکنین شهرهای بالای پانصدهزار نفر، زمین یا واحد مسکونی با شرایط مقرر در این ماده بسته به اعلام ظرفیت توسط دولت مبنی بر وجود زمین یا واحد مسکونی در شهرکهای اطراف یا شهرهای جدید یا شهرهای مجاور یا زادگاه پدر یا مادر مشروط به این که بالاتر از پانصد هزار نفر نباشد، به انتخاب مادر، بر اساس آییننامه مذکور در تبصره (3) اختصاص مییابد. تبصره 2- مالکیت زمین یا واحد مسکونی در صورت فوت هر یک از پدر و مادر بر اساس موازین قانونی ارث به ورثه متوفی تعلق میگیرد. تبصره 3- وزارت راه و شهرسازی مکلف است با همکاری وزارت جهاد کشاورزی آییننامه موضوع ماده فوق را حداکثر سه ماه پس از لازمالاجرا شدن این قانون تهیه و جهت تصویب به هیأت وزیران ارایه نماید.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	5	ماده 5- به منظور تحقق بند «چ» ماده (102) قانون برنامه پنجساله ششم توسعه اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران دستگاههای اجرایی مکلفند برای تأمین و ارتقای کیفیت مسکن، پایان کار و عوارض ساخت و ساز، کلیه هزینههای تخصیص شبکه، انشعابات و هزینههای خدمات نظام مهندسی را به میزان پنجاه درصد (50%) برای خانوادههای دارای سه فرزند زیر بیست سال و به میزان هفتاد درصد (70%) برای خانوادههای دارای حداقل چهار فرزند زیر بیست سال برای یک مرتبه و هزینه پروانه و عوارض ساختمانی را به میزان ده درصد (10%) برای خانوادههای دارای حداقل سه فرزند زیر بیست سال تخفیف دهند. دولت مکلف است صد درصد (100%) تخفیفهای مربوط به پروانه ساختمانی را از محل منابع عمومی در بودجههای سنواتی پیشبینی نماید. تبصره 1- معافیتهای فوق تا متراژ (130) مترمربع زیربنای مفید در شهر تهران، (200) مترمربع زیربنای مفید در شهرهای بالای پانصدهزار نفر و (300) مترمربع زیربنای مفید برای سایر شهرها و روستاها قابل اعمال است. تبصره 2- محاسبات و نظارت مهندسین در خدمات نظام مهندسی برای خانوادههای فوق جزوِ سهمیه سالانه آنها منظور نمیشود.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	6	ماده 6- کلیه دستگاههای مذکور در ماده (29) قانون برنامه پنجساله ششم توسعه، اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران مکلفند حداقل هفتاد درصد (70%) از ظرفیت منازل مسکونی سازمانی در اختیار خود را جهت بهرهبرداری به خانوادههای کارکنان دارای حداقل سه فرزند و فاقد مسکن ملکی مناسب در شهر محل خدمت تخصیص داده و در صورت وجود مازاد بر نیاز این خانوادهها به سایرین طبق ضوابط مربوط اختصاص دهند. همچنین طول زمان بهرهبرداری در منازل سازمانی برای خانوادههای دارای سه فرزند و بیشتر فاقد مسکن ملکی مناسب در شهر محل خدمت حداقل باید به میزان دو برابر سکونت سایرین باشد.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	7	ماده 7- در اجرای بند «پ» ماده (103) قانون برنامه پنجساله ششم توسعه، اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران کلیه دانشگاهها و مراکز آموزش عالی دولتی مکلفند متناسب با برآورد نیاز دانشجویان متأهل اعم از بومی و غیربومی، زن و مرد، نسبت به هزینهکرد حداقل ده درصد (10%) از درآمد اختصاصی و ده درصد (10%) از اعتبارات تملک داراییهای سرمایهای سالانه مقرر در بودجه سنواتی خود به استثنای مواردی که از لحاظ شرعی مصارف مشخصی دارند جهت احداث، تکمیل، تأمین و تجهیز خوابگاههای متأهلین اقدام کنند. تبصره 1- در اجرای بند «پ» ماده (103) قانون برنامه پنجساله ششم توسعه اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران به دولت اجازه داده میشود سالانه مطابق قوانین بودجه سنواتی تا پنجسال مبلغ بیست هزار میلیارد (20.000.000.000.000) ریال اوراق مالی اسلامی منتشر کند تا به منظور احداث، تکمیل، تجهیز و تأمین خوابگاههای دانشجویی متأهل به مصرف برسد. تبصره 2- کلیه دانشگاهها و مراکز آموزش عالی مکلفند، اراضی و ساختمانهای مازاد خود را با مشارکت خیرین و سایر دستگاهها به تأمین خوابگاهها و یا منازل مسکونی مورد نیاز دانشجویان متأهل اختصاص دهند. اراضی و ساختمانهایی که از لحاظ شرعی شرایط و مصارف خاصی دارند از شمول این حکم مستثنی هستند. تبصره 3- وزارت راه و شهرسازی مکلف است اراضی مازاد با کاربری آموزشی، تحقیقات و فناوری در اختیار خود را مطابق با ضوابط شهرسازی و به میزان سرانههای مصوب، برای جبران کسری احداث خوابگاههای دانشجویی و طلاب متأهل به دانشگاهها و مراکز آموزش عالی و حوزههای علمیه با حفظ مالکیت دولت به صورت اجاره 99 ساله و غیر قابل تغییر کاربری واگذار نماید. تبصره 4- کلیه دانشگاهها و مؤسسات آموزش عالی و پژوهشگاهها و پارکهای علم و فناوری مکلفند متناسب با تعداد دانشجویان متأهل، خوابگاههای موجود را جهت اختصاص به خوابگاههای متأهلین بهسازی و تجهیز نمایند و در احداث خوابگاههای جدید، خوابگاههای متأهلین را در اولویت قرار دهند. تبصره 5- وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی مکلفند ظرف شش ماه پس از لازمالاجرا شدن این قانون پیوستهای فرهنگی احداث خوابگاههای متأهلین را مبنی بر نظامنامه پیوست فرهنگی طرحهای مهم و کلان کشور مصوب 21/1/1392 شورای عالی انقلاب فرهنگی تهیه و با تصویب وزیر مربوط به دانشگاههای مرتبط ابلاغ نمایند. تبصره 6- دانشگاههای غیردولتی و حوزههای علمیه در صورتی که اقدام به ساخت خوابگاههای متأهلین نمایند از تسهیلات تبصرههای (1) و (3) در چهارچوب تبصره (5) برخوردار خواهند بود. تبصره 7- سازمان اوقاف و امور خیریه و تولیت آستانهای مقدسه با رعایت نوع وقف و ترویج «فرهنگ وقف و تعالی خانواده» مکلفند با همکاری وزارتخانههای علوم، تحقیقات و فناوری، بهداشت، درمان و آموزش پزشکی و راه و شهرسازی و همچنین مراکز مدیریت حوزههای علمیه، ضمن استفاده از ظرفیتهای مردمی، به احداث «خوابگاه متأهلین ویژه دانشجویان و طلاب» اقدام نمایند.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	8	ماده 8- صندوقهای رفاه دانشجویی و مراکز مدیریت حوزههای علمیه مکلفند پس از لازمالاجرا شدن این قانون، برای دانشجویان و طلاب متأهل فاقد مسکن نسبت به پرداخت ودیعه مسکن (قرضالحسنه ضمن اجاره)، مشروط به ارایه اجارهنامه دارای شناسنامه رهگیری از مشاوران املاک به نحوی اقدام نماید که هر ساله حداقل پنجاه درصد (50%) متوسط قیمت ودیعه اجاره مسکن (70) متری در شهرهای بیش از پانصدهزار نفر جمعیت و مسکن (100) متری در سایر شهرهای محل تحصیل پوشش داده شود. تبصره- شمول این حکم بر مراکز مدیریت حوزههای علمیه مشروط به عدم مغایرت با اساسنامه حوزههای علمیه و هماهنگی مدیریت ذیربط در حوزههای علمیه خواهد بود.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	9	ماده 9- بانک مرکزی جمهوری اسلامی ایران مکلف است از طریق بانکهای عامل و مؤسسات اعتباری، نسبت به پرداخت انواع تسهیلات مسکن با هدف تشویق فرزندآوری خانوادهها به شرح زیر اقدام کند: الف- افزایش بیست و پنج درصدی (25%) سقف تسهیلات خرید، ساخت و جعاله تعمیرات مسکن به ازای هر فرزند زیر بیست سال سن تا حداکثر دو برابر سقف مصوب، از محل افزایش مبلغ سپرده بانکی با رعایت مصوبات شورای پول و اعتبار ب- افزایش دوره بازپرداخت به میزان دو سال به ازای هر فرزند زیر بیست سال سن، تا سقف ده سال تبصره- بانکهای عامل مکلفند نسبت به افزایش تسهیلات، تا سقف مقرر در این ماده، بدون تسویه تسهیلات قبلی اقدام نمایند.
suport_famyly_400	قانون حمایت از خانواده و جوانی جمعیت مصوب ۱۴۰۰	10	ماده 10- به منظور تحقق بند «ث» ماده (102) قانون برنامه پنجساله ششم توسعه، اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران، بانک مرکزی جمهوری اسلامی ایران مکلف است برای متولین سال 1400 به بعد، از طریق کلیه بانکها و مؤسسات اعتباری از محل پسانداز و جاری قرضالحسنه نظام بانکی و حذف تسهیلات قرضالحسنه ازدواج متقاضیان بالای پنجاه سال سن، نسبت به پرداخت «تسهیلات قرضالحسنه تولد فرزند» اقدام نماید. مبلغ این تسهیلات برای تولد فرزند اول یکصد میلیون (100.000.000) ریال، فرزند دوم دویست میلیون (200.000.000) ریال، برای تولد فرزند سوم سیصد میلیون (300.000.000) ریال، فرزند چهارم چهارصد میلیون (400.000.000) ریال و فرزند پنجم و بالاتر پانصد میلیون (500.000.000) ریال بدون الزام به سپرده گذاری مشمولان با شش ماه دوره تنفس به ترتیب با دوره بازپرداخت سه تا هفت سال و اخذ یک ضامن معتبر و سفته تعیین میشود. متقاضیان حداکثر تا دو سال پس از تولد میتوانند درخواست دریافت وام را ثبت نمایند. تبصره 1- افزایش مبلغ وام مذکور در سالهای آتی متناسب با حداقل نرخ تورم در قوانین بودجه سنواتی پیشبینی میشود. تبصره 2- در حین دوره بازپرداخت تسهیلات تولد فرزند، چنانچه فرزند دیگری به دنیا آمد، دریافت وام قرضالحسنه برای فرزند بعدی بلامانع است. تبصره 3- در مورد تولد فرزندان دوقلو و بیشتر، به ازای هر فرزند، یک وام تعلق میگیرد.
