law_code	law_name	chapter	article_number	text
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل یکم- تعاریف	1	ماده 1- از نظر این قانون به مؤلف و مصنف و هنرمند «‌پدیدآورنده» و به آنچه از راه دانش یا هنر و یا ابتکار آنان پدید می‌آید بدون در نظر گرفتن طریقه یا روشی که در بیان و یا ظهور و یا ایجاد آن به کار رفته «‌اثر» اطلاق می‌شود.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل یکم- تعاریف	2	ماده 2- اثرهای مورد حمایت این قانون به شرح زیر است: 1- کتاب و رساله و جزوه و نمایشنامه و هر نوشته دیگر علمی و فنی و ادبی و هنری. 2- شعر و ترانه و سرود و تصنیف که به هر ترتیب و روش نوشته یا ضبط یا نشر شده باشد. 3- اثر سمعی و بصری به‌منظور اجراء در صحنه‌های نمایش یا پرده سینما یا پخش از رادیو یا تلویزیون که به هر ترتیب و روش نوشته یا ضبط یا نشر شده باشد. 4- اثر موسیقی که به هر ترتیب و روش نوشته یا ضبط یا نشر شده باشد. 5- نقاشی و تصویر و طرح و نقش و نقشه جغرافیایی ابتکاری و نوشته‌ها و خط‌های تزیینی و هر‌گونه اثر تزیینی و اثر تجسمی که به هر طریق و روش به صورت ساده یا ترکیبی به‌وجود آمده باشد. 6- هر‌گونه پیکره (‌مجسمه). 7- اثر معماری از قبیل طرح و نقشه ساختمان. 8- اثر عکاسی که با روش ابتکاری و ابداع پدید آمده باشد. 9- اثر ابتکاری مربوط به هنرهای دستی یا صنعتی و نقشه قالی و گلیم. 10- اثر ابتکاری که بر پایه فرهنگ عامه (‌فولکلور) یا میراث فرهنگی و هنری ملی پدید آمده باشد. 11- اثر فنی که جنبه ابداع و ابتکار داشته باشد. 12- هر‌گونه اثر مبتکرانه دیگر که از ترکیب چند اثر از اثرهای نامبرده در این فصل پدید آمده باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	3	ماده 3- حقوق پدیدآورنده شامل حق انحصاری نشر و پخش و عرضه و اجرای اثر و حق بهره‌برداری مادی و معنوی از نام و اثر او است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	4	ماده 4- حقوق معنوی پدیدآورنده محدود به زمان و مکان نیست و غیر قابل انتقال است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	5	ماده 5- پدیدآورنده اثرهای مورد حمایت این قانون می‌تواند استفاده از حقوق مادی خود را در کلیه موارد و از جمله موارد زیر به غیر واگذار کند: 1- تهیه فیلم‌های سینمایی و تلویزیونی و مانند آن. 2- نمایش صحنه‌ای مانند تأتر و باله و نمایش‌های دیگر. 3- ضبط تصویری یا صوتی اثر بر روی صفحه یا نوار یا هر وسیله دیگر. 4- پخش از رادیو و تلویزیون و وسائل دیگر. 5- ترجمه و نشر و تکثیر و عرضه اثر از راه چاپ و نقاشی و عکاسی و گراور و کلیشه و قالب ریزی و مانند آن. 6- استفاده از اثر در کارهای علمی و ادبی و صنعتی و هنری و تبلیغاتی. 7- به‌کار‌بردن اثر در فراهم کردن یا پدید آوردن اثرهای دیگری که در ماده دوم این قانون درج شده است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	6	ماده 6- اثری که با همکاری دو یا چند پدیدآورنده به‌وجود آمده باشد و کار یکایک آنان جدا و متمایز نباشد اثر مشترک نامیده می‌شود و حقوق ناشی از آن حق مشاع پدیدآورندگان است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	7	ماده 7- نقل از اثرهایی که انتشار یافته است و استناد به آنها به مقاصد ادبی و علمی و فنی و آموزشی و تربیتی و به صورت انتقاد و تقریظ با ذکر مأخذ در حدود متعارف مجاز است. تبصره- ذکر مأخذ در مورد جزوه‌هایی که برای تدریس در مؤسسات آموزشی توسط معلمان آنها تهیه و تکثیر می‌شود الزامی نیست مشروط بر اینکه جنبه انتفاعی نداشته باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	8	ماده 8- کتابخانه‌های عمومی و مؤسسات جمع‌آوری نشریات و مؤسسات علمی و آموزشی که به صورت غیر انتفاعی اداره می‌شوند می‌توانند طبق آیین‌نامه‌ای که به تصویب هیئت وزیران خواهد رسید از اثرهای مورد حمایت این قانون از راه عکس‌برداری یا طرق مشابه آن به میزان مورد نیاز و متناسب با فعالیت خود نسخه‌برداری کنند.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	9	ماده 9- وزارت اطلاعات [وزارت فرهنگ و ارشاد اسلامی] می‌تواند آثاری را که قبل از تصویب این قانون پخش کرده و یا انتشار داده است پس از تصویب این قانون نیز کماکان مورد استفاده قرار دهد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	10	ماده 10- وزارت آموزش و پرورش می‌تواند کتابهای درسی را که قبل از تصویب این قانون به موجب قانون کتاب‌های درسی چاپ و منتشر کرده است کماکان مورد استفاده قرار دهد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل دوم- حقوق پدیدآورنده	11	ماده 11- نسخه‌‌برداری از اثرهای مورد حمایت این قانون مذکور در بند 1 از ماده 2 و ضبط برنامه‌های رادیویی و تلویزیونی فقط در‌صورتی‌که برای استفاده شخصی و غیر انتفاعی باشد مجاز است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	13	ماده 13- حقوق مادی اثرهایی که در نتیجه سفارش پدید می‌آید تا سی سال از تاریخ پدید آمدن اثر متعلق به سفارش دهنده است مگر آنکه برای مدت کمتر یا ترتیب محدودتری توافق شده باشد. تبصره- پاداش و جایزه نقدی و امتیازاتی که در مسابقات علمی و هنری و ادبی طبق شرایط مسابقه به آثار مورد حمایت این قانون موضوع این ماده تعلق می‌گیرد متعلق به پدید آورنده خواهد بود.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	14	ماده 14- انتقال‌گیرنده حق پدیدآورنده می‌تواند تا سی سال پس از واگذاری از این حق استفاده کند مگر اینکه برای مدت کمتر توافق شده باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	15	ماده 15- در مورد مواد 13 و 14 پس از انقضای مدت‌های مندرج در آن مواد استفاده از حق مذکور در صورت حیات پدیدآورنده متعلق به خود او و در غیر این صورت تابع ترتیب مقرر در ماده 12 خواهد بود.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	16	ماده 16- در موارد زیر حقوق مادی پدیدآورنده از تاریخ نشر یا عرضه به مدت سی سال مورد حمایت این قانون خواهد بود: 1- اثرهای سینمایی یا عکاسی. 2- هر گاه اثر متعلق به شخص حقوقی باشد و یا حق استفاده از آن به شخص حقوقی واگذار شده باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	17	ماده 17- نام و عنوان و نشانه ویژه‌ای که معرف اثر است از حمایت این قانون برخوردار خواهد بود و هیچکس نمی‌تواند آنها را برای اثر دیگری از همان نوع یا مانند آن به ترتیبی که الغاء شبهه کند به‌کار برد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	18	ماده 18- انتقال‌گیرنده و ناشر و کسانی که طبق این قانون اجازه استفاده یا استناد یا اقتباس از اثری را به‌منظور انتفاع دارند باید نام پدیدآورنده را با عنوان و نشانه ویژه معرف اثر همراه اثر یا روی نسخه اصلی یا نسخه‌های چاپی یا تکثیر شده بروش معمول و متداول اعلام و درج نمایند مگر اینکه پدیدآورنده به ترتیب دیگری موافقت کرده باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	19	ماده 19- هر‌گونه تغییر یا تحریف در اثرهای مورد حمایت این قانون و نشر آن بدون اجازه پدیدآورنده ممنوع است.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	20	ماده 20- چاپخانه‌ها و بنگاه‌های ضبط صوت و کارگاه‌ها و اشخاصی که به چاپ یا نشر یا پخش یا ضبط و یا تکثیر اثرهای مورد حمایت این قانون می‌پردازد باید شماره دفعات چاپ و تعداد نسخه کتاب یا ضبط یا تکثیر یا پخش یا انتشار و شماره مسلسل روی صفحه موسیقی و صدا را بر تمام نسخه‌هایی که پخش می‌شود با ذکر تاریخ و نام چاپخانه یا بنگاه و کارگاه مربوط بر حسب مورد درج نمایند.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	21	ماده 21- پدیدآورندگان می‌توانند اثر و نام و عنوان و نشانه ویژه اثر خود را در مراکزی که وزارت فرهنگ و هنر با تعیین نوع آثار آگهی می‌نماید به ثبت برسانند. آیین‌نامه چگونگی و ترتیب انجام یافتن تشریفات ثبت و همچنین مرجع پذیرفتن درخواست ثبت به تصویب هیئت وزیران خواهد رسید.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل سوم - مدت حمایت از حق پدیدآورنده و حمایت‌های قانونی دیگر	22	ماده 22- حقوق مادی پدیدآورنده موقعی از حمایت این قانون برخوردار خواهد بود که اثر برای نخستین بار در ایران چاپ یا پخش یا نشر یا اجرا‌شده باشد و قبلا در هیچ کشوری چاپ یا نشر یا پخش و یا اجرا نشده باشد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل چهارم- تخلفات و مجازات‌ها	23	ماده 23- هر کس تمام یا قسمتی از اثر دیگری را که مورد حمایت این قانون است به نام خود یا به نام پدیدآورنده بدون اجازه او و یا عالماً عامداً به نام شخص دیگری غیر از پدیدآورنده نشر یا پخش یا عرضه کند به حبس تأدیبی از شش ماه تا 3 سال محکوم خواهد شد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل چهارم- تخلفات و مجازات‌ها	24	ماده 24- هر کس بدون اجازه ترجمه دیگری را به نام خود یا دیگری چاپ و پخش و نشر کند به حبس تأدیبی از سه ماه تا یکسال محکوم خواهند شد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل چهارم- تخلفات و مجازات‌ها	25	ماده 25- متخلفین از مواد 17، 18، 19 و 20 این قانون به حبس تأدیبی از سه ماه تا یکسال محکوم خواهند شد.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل چهارم- تخلفات و مجازات‌ها	26	ماده 26- نسبت به متخلفان از مواد 17، 18، 19 و 20 این قانون در مواردی که به سبب سپری شدن مدت حق پدیدآورنده استفاده از اثر با‌ رعایت مقررات این قانون برای همگان آزاد است. وزارت فرهنگ و هنر عنوان شاکی خصوصی را خواهد داشت.
honar_moalef	قانون حمایت حقوق مولفان و مصنفان و هنرمندان	فصل چهارم- تخلفات و مجازات‌ها	27	ماده 27- شاکی خصوصی می‌تواند از دادگاه صادرکننده حکم نهایی درخواست کند که مفاد حکم در یکی از روزنامه‌ها به انتخاب و هزینه او آگهی شود.
