law_code	law_name	chapter	article_number	text
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	1	ماده 1- تعاریف: اصطلاحاتی که در این دستورالعمل به کار رفته است به شرح زیر تعریف می شوند: الف. قانون: قانون حمایت خانواده مصوب 91/12/1 مجلس شورای اسلامی؛ ب. آیین نامه: آیین نامه اجرایی قانون حمایت خانواده، مصوب 1393/11/27 رییس قوه قضاییه؛ پ. دستورالعمل: دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده؛ ت. واحد مشاوره: واحد مشاوره خانواده استان، موضوع ماده 33 آیین نامه اجرایی قانون حمایت خانواده مصوب 1393/11/27؛ ث. مرکز یا مراکز مشاوره: مرکز یا مراکز مشاوره خانواده موضوع ماده 16 قانون حمایت خانواده و ماده 30 آیین نامه؛ ج. معاونت اجتماعی: معاونت اجتماعی و پیشگیری از وقوع جرم قوه قضائیه؛ چ. معاون یا معاونت اجتماعی استان: معاون یا معاونت اجتماعی و پیشگیری از وقوع جرم دادگستری کل استانها؛ ح. شورای مشورتی: شورای مشورتی سیاست گذاری، به شرح ماده 2 دستورالعمل؛ خ. شورای مشورتی استان: شورای مشورتی استان به شرح ماده 6 دستورالعمل؛ د. مرکز امور مشاوران: مرکز امور مشاوران، وکلا و کارشناسان رسمی قوه قضاییه؛ ذ. هیات تعیین صلاحیت: هیات تعیین صلاحیت مرکز امور مشاوران؛ ر. مشاور خانواده: مشاور خانواده موضوع تبصره 1 ماده 33 دستورالعمل؛ ز. اداره مشاوره: موضوع ماده 3 دستورالعمل.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	2	ماده 2- مرکز امور مشاوران می تواند برای سیاست گذاری، و برنامه ریزی در امور مختلف مشاوره خانواده، موضوع قانون و آیین نامه، شورای مشورتی سیاست گذاری با عضویت نهادها و سازمانهای مسئول و صاحب نظران حوزه خانواده و مشاوره را با ترکیب زیر تشکیل دهد: الف. رئیس مرکز به عنوان رئیس شورا؛ ب. مدیرکل پیشگیریهای فرهنگی و اجتماعی معاونت اجتماعی (دبیر)؛ پ. نماینده تام الاختیار مرکز آمار و فناوری اطلاعات قوه قضاییه؛ ت. رئیس سازمان نظام روانشناسی و مشاوره جمهوری اسلامی ایران؛ ث. دو نفراز قضات زن و مرد عالی رتبه و با تجربه در امور خانواده با معرفی رئیس مرکز امور مشاوران؛ ج. معاون اجتماعی سازمان بهزیستی کشور؛ چ - رئیس پیشگیری سازمان بهزیستی کشور؛ ح. یک نفر متخصص امور حوزوی و فقهی با معرفی رئیس مرکز امور مشاوران. تبصره 1. شورای مشورتی دارای دبیرخانه ای است که رییس آن توسط مرکز امور مشاوران تعیین و در محل مرکز امور مشاوران تشکیل می گردد و به تعداد لازم کارمند خواهد داشت. تبصره 2. شورای مشورتی می تواند حسب مورد از سایر افراد صاحب نظر در امور مرتبط با خانوده دعوت کند.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	3	ماده 3- جهت اجرای مفاد آئین نامه و دستورالعمل، اداره مشاوره خانواده با ترکیب رئیس، 3 کارشناس در حوزه های مختلف و به تعداد لازم کارمند در مرکز امور مشاوران تشکیل می گردد. تبصره. وظایف و مسئولیتهای مرکز امور مشاوران در دستورالعمل از طریق اداره مشاوره اعمال خواهد شد.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	4	ماده 4- رئیس کل دادگستری هر استان به استناد ماده 33 آیین نامه، معاون اجتماعی استان را به عنوان مسئول واحد مشاوره منصوب می نماید. تبصره. معاون اجتماعی استان موظف است حداکثر ظرف مدت یکماه از تاریخ ابلاغ این دستورالعمل نسبت به تشکیل واحد مشاوره اقدام نمایند. فصل دوم. ساختار و وظایف واحد مشاوره:
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	5	ماده 5- ارکان واحد مشاوره به شرح ذیل می باشد: الف. شورای مشورتی استان ب. دبیرخانه
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	6	ماده 6- در واحد مشاوره هر استان، شورای مشورتی استان به منظور اجرای سیاست های شورای مشورتی به منظور همکاری در اجرای وظایف مندرج درماده 33 آیین نامه با حکم معاون اجتماعی استان و از بین متخصصین در ام--ور خانواده به ریاست معاون اجت--ماعی استان و با ترکی--ب زیر تشکی--ل می گردند: الف. یک نفر قاضی دادگاه خانواده ب. مسئول حفاظت اطلاعات دادگستری کل استان پ. معاون مرتبط مدیر کل بهزیستی استان ت. معاون مرتبط سازمان نظام روانشناسی و مشاوره استان ث. یک نفر مشاور خانواده ج. یک نفر مددکار اجتماعی تبصره 1- مدت عضویت در این شورا 4 سال بوده و معاون اجتماعی استان موظف است قبل از پایان دوره چهار سال، نسبت به انتخاب اعضای دوره جدید اقدام نماید. انتخاب اعضای قبلی در دوره جدید بلامانع است. تبصره2- در صورت عدم صلاحیت، عدم همکاری، یا غیبت غیر موجه بیش از 2 جلسه متوالی یا 4 جلسه غیر متوالی یا استعفای هر یک از اعضاء حقیقی در طول سال، معاون اجتماعی استان می تواند فرد واجد شرایط دیگری را جایگزین وی نماید. تبصره3- معاون اجتماعی استان، عض--و مشاور خانواده و مددکار اجتماعی ش--ورای مشورتی استان را ترجیحاً از بین بانوان متاهل واجد شرایط تعیین می نماید. تبصره 4. شورای مشورتی استان حسب مورد می تواند از سایر افراد صاحب نظر در امور مرتبط با خانوده دعوت کند.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	7	ماده 7- واح---د مشاوره دارای دبیرخانه ای است که رییس آن توس--ط معاون اجتماعی استان تعیین می گردد و به تعداد لازم کارمند مجرب خواهد داشت. تبصره. روسای کل دادگستری استانها حداکثر تا یکسال پس از ابلاغ این دستورالعمل موظف به تامین نیروی انسانی دبیرخانه مذکور می باشند. با توجه به ضرورت تشکیل واحد مشاوره، تا زمان تامین نیروی انسانی لازم از ظرفیت نیروهای موجود دادگستری استان استفاده خواهد شد.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	8	ماده 8- واحد مشاوره موظف است هر ساله با عنایت به تعداد کل پرونده های دعاوی خانواده (طلاق توافقی و سایر دعاوی خانواده) وارده به دادگاههای خانواده در ماه، به حسب نیاز به ازای هر 120 تا 200 پرونده دراستان، پیشنهاد تشکیل یک مرکز مشاوره را به مرکز امور مشاوران بدهد و در صورتی که تعداد اعلامی بر اساس فوق کافی نباشد، پیشنهاد خود را با دلایل توجیهی اعلام نماید. تبصره. واحد مشاوره همچنین باید بر اساس تعداد پرونده ها و نیاز استان مربوط، تعداد مشاور مذهبی و حقوقی و مددکار اجتماعی و روان شناس مورد نیاز را نیز برآورد و به مرکز امور مشاوران اعلام نماید. فصل سوم. برگزاری آزمون
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	9	ماده 9- مرکز امور مشاوران موظف است با توجه به اعلام نیاز واحد مشاوره، برای داوطلبان اخذ مجوز تاسیس و عضویت در مرکز مشاوره، آزمون کتبی برگزار نموده و به میزان دو برابر ظرفیت از افرادی که حد نصاب نمره کتبی را کسب نموده باشند، جهت مصاحبه علمی و بررسی سلامت جسمی و روانی دعوت نماید.
markaz_moshavere_family	دستورالعمل نحوه تشکیل و فعالیت مراکز مشاوره خانواده	فصل اول: کلیات	10	ماده 10- افراد زیر از شرکت در آزمون کتبی موضوع ماده 9 دستورالعمل معاف میباشند: الف. قضات بازنشسته با حداقل پنج سال سابقه قضاوت در دادگاههای خانواده؛ ب. اعضای هیات علمی رسمی دانشگاههای معتبر با پنج سال سابقه و مورد تائید وزارت علوم و آموزش عالی و یا وزارت بهداشت و آموزش پزشکی در رشته های مذکور در بند پ ماده 13 دستورالعمل؛ پ. مشاورانی که در دادگستری های سراسر کشور فعالیت نموده اند، در صورت نداشتن رابطه استخدامی و حائز بودن شرایط عمومی آزمون با ارائه گواهی لازم از مراجع قضایی. تبصره. افراد مذکور صرفاً از شرکت در آزمون کتبی معاف بوده و باید مصاحبه علمی و مراحل بررسی سلامت جسمی و روانی را طی نمایند.
