law_code	law_name	article_number	text
Civil_Liability	قانون مسئولیت مدنی	1	ماده 1- هر کس بدون مجوز قانونی عمداً یا در نتیجه بی‌احتیاطی بجان یا سلامتی یا مال یا آزادی یا حیثیت یا شهرت تجارتی یا بهر حق دیگر‌که بموجب قانون برای افراد ایجاد گردیده لطمه‌ای وارد نماید که موجب ضرر مادی یا معنوی دیگری شود مسئول جبران خسارت ناشی از عمل خود‌ میباشد. ‌
Civil_Liability	قانون مسئولیت مدنی	2	ماده 2- در موردی که عمل وارد کننده زیان موجب خسارت مادی یا معنوی زیان ‌دیده شده باشد دادگاه پس از رسیدگی و ثبوت امر او را به جبران ‌خسارات مزبور محکوم مینماید و چنانچه عمل وارد کننده زیان فقط موجب یکی از خسارات مزبور باشد دادگاه او را بجبران همان نوع خساراتیکه‌ وارد نموده محکوم خواهد نمود.
Civil_Liability	قانون مسئولیت مدنی	3	ماده 3- دادگاه میزان زیان و طریقه و کیفیت جبران آن را با توجه به اوضاع و احوال قضیه تعیین خواهد کرد جبران زیان را بصورث [بصورت] مستمری ‌نمیشود تعیین کرد مگر انکه مدیون تأمین مقتضی برای پرداخت آن بدهد یا آنکه قانون آن را تجویز نماید. ‌
Civil_Liability	قانون مسئولیت مدنی	4	ماده 4- دادگاه میتواند میزان خسارت را در مورد زیر تخفیف دهد. 1 - هر گاه پس از وقوع خسارت وارد کننده زیان بنحو مؤثری بزیاندیده کمک و مساعدت کرده باشد. 2 - هر گاه وقوع خسارت ناشی از غفلتی بود که عرفاً قابل اغماض باشد و جبران آن نیز موجب عسرت و تنگدستی واردکننده زیان شود. 3 - وقتیکه زیاندیده به نحوی از انحاء موجبات تسهیل ایجاد زیان را فراهم نموده یا به اضافه شدن آن کمک و یا وضعیت وارد کننده زیان را‌تشدید کرده باشد. ‌
Civil_Liability	قانون مسئولیت مدنی	5	ماده 5- اگر در اثر آسیبی که ببدن یا سلامتی کسی وارد شده در بدن او نقصی پیدا شود یا قوه کار زیان ‌دیده کم گردد و یا از بین برود و یا موجب ‌افزایش مخارج زندگانی او بشود وارد کننده زیان مسئول جبران کلیه خسارات مزبور است. ‌دادگاه جبران زیان را با رعایت اوضاع و احوال قضیه بطریق مستمری و یا پرداخت مبلغی دفعتاً واحده تعیین مینماید و در مواردی که جبران زیان‌ باید بطریق مستمری بعمل آید تشخیص اینکه به چه اندازه و تا چه مبلغ میتوان از وارد کننده زیان تأمین گرفت با دادگاه است. ‌ اگر در موقع صدور حکم تعیین عواقب صدمات بدنی بطور تحقیق ممکن نباشد دادگاه از تاریخ صدور حکم تا دو سال حق تجدید نظر نسبت بحکم‌ خواهد داشت. ‌
Civil_Liability	قانون مسئولیت مدنی	6	ماده 6- در صورت مرگ آسیب‌ دیده زیان شامل کلیه هزینه‌ها مخصوصاً هزینه کفن و دفن میباشد اگر مرگ فوری نباشد هزینه معالجه و زیان ناشی ‌از سلب قدرت کار کردن در مدت ناخوشی نیز جزء زیان محسوب خواهد شد. ‌در صورتیکه در زمان وقوع آسیب زیاندیده قانوناً مکلف بوده و یا ممکنست بعدها مکلف شود شخص ثالثی را نگاهداری ‌نماید و در اثر مرگ او‌شخص ثالث از آن حق محروم گردد وارد کننده زیان باید مبلغی به عنوان مستمری متناسب با مدتیکه ادامه حیات آسیب‌ دیده عادتاً ممکن و مکلف بنگاهداری شخص ثالث بوده بآنشخص پرداخت کند در اینصورت تشخیص میزان تأمین که باید گرفته شود با دادگاه است. ‌ در صورتیکه در زمان وقوع آسیب نطفه شخص ثالث بسته شده و یا هنوز طفل بدنیا نیامده باشد شخص مزبور استحقاق مستمری را خواهد داشت. ‌
Civil_Liability	قانون مسئولیت مدنی	7	ماده 7- کسیکه نگاهداری یا مواظبت مجنون یا صغیر قانوناً یا بر حسب قرارداد بعهده او مبباشد [میباشد] در صورت تقصیر در نگاهداری با مواظبت ‌مسئول جبران زیان وارده از ناحیه مجنون و یا صغیر میباشد و در صورتیکه استطاعت جبران تمام یا قسمتی از زیان وارده را نداشته باشد از مال‌ مجنون یا صغیر زیان جبران خواهد شد و در هر صورت جبران زیان باید بنحوی صورت گیرد که موجب عسرت و تنگدستی جبران‌ کننده نباشد. ‌
Civil_Liability	قانون مسئولیت مدنی	8	ماده 8- کسیکه در اثر تصدیقات یا انتشارات مخالف واقع به حیثیت و اعتبارات و و موقعیت دیگری زیان وارد آورد مسئول جبران آن است. ‌ شخصیکه در اثر انتشارات مزبور با [یا] سایر وسائل مخالف یا [با] حسن نیت مشتریانش کم و یا در معرض از بین رفتن باشد میتواند موقوف شدن عملیات ‌مزبور را خواسته و در صورت اثبات تقصیر زیان وارده را از وارد کننده مطالبه نماید. ‌
Civil_Liability	قانون مسئولیت مدنی	9	ماده 9- دختری که در اثر اعمال حیله یا تهدید و یا سوء استفاده از زیر دست بودن حاضربرای همخوابگی نامشروع شده میتواند از مرتکب علاوه از زیان مادی ‌مطالبه زیان معنوی هم بنماید. ‌
Civil_Liability	قانون مسئولیت مدنی	10	ماده 10- کسیکه بحیثیت و اعتبارات شخصی یا خانوادگی او لطمه وارد شود میتواند از کسیکه لطمه وارد آورده است جبران زیان مادی‌ و معنوی خود را بخواهد هر گاه اهمیت زیان و نوع تقصیر ایجاب نماید دادگاه میتواند در صورت اثبات تقصیر علاوه بر صدور حکم بخسارت مالی ‌حکم برفع زیان از طریق دیگر از قبیل الزام بعذرخواهی و درج حکم در جراید و امثال آن نماید. ‌
