law_code	law_name	chapter	article_number	text
mojer76	قانون روابط موجر و مستأجر 1376	فصل اول - روابط موجر و مستاجر (قانون مصوب 1376)	1	ماده 1- از تاریخ لازم‌الاجرا شدن این قانون، اجاره کلیه اماکن اعم از مسکونی، تجاری، محل کسب و پیشه، اماکن آموزشی، خوابگاه‌های‌ دانشجویی و ساختمان‌های دولتی و نظایر آنکه با قرارداد رسمی یا عادی منعقد می‌شود تابع مقررات قانون مدنی و مقررات مندرج در این قانون و شرایط ‌مقرر بین موجر و مستأجر خواهد بود.
mojer76	قانون روابط موجر و مستأجر 1376	فصل اول - روابط موجر و مستاجر (قانون مصوب 1376)	2	ماده 2- در کلیه قراردادهای اجاره باید مدت و مبلغ اجاره و مبلغ قرض‌الحسنه، تصریح و در سامانه‌های ثبت الکترونیک اسناد یا ثبت معاملات املاک و مستغلات کشور ثبت شود و پس از تأیید موجر، مستأجر و دو نفر افراد مورد اطمینان طرفین به عنوان شهود، اقدام به اخذ شناسه (کد) رهگیری شود. ( اصلاحیه مصوب 1403/2/10 ) ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل اول - روابط موجر و مستاجر (قانون مصوب 1376)	3	ماده 3- پس از انقضای مدت اجاره بنا به تقاضای موجر یا قائم‌مقام قانونی وی تخلیه عین مستأجره در اجاره با سند رسمی توسط دوایر اجرای‌ ثبت ظرف یک هفته و در اجاره با سند عادی ظرف یک هفته پس از تقدیم تقاضای تخلیه به دستور مقام قضایی در مرجع قضایی توسط ضابطین قوه قضاییه انجام خواهد گرفت. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل اول - روابط موجر و مستاجر (قانون مصوب 1376)	4	ماده 4- در صورتی که موجر مبلغی بعنوان ودیعه یا تضمین یا قرض‌الحسنه و یا سند تعهدآور و مشابه آن از مستأجر دریافت کرده باشد تخلیه و تحویل مورد اجاره به موجر موکول به استرداد سند یا وجه مذکور به مستأجر و یا سپردن آن به دایره اجراست. چنانچه موجر مدعی ورود خسارت به‌ عین مستأجره از ناحیه مستأجر و یا عدم پرداخت مال‌الاجاره یا بدهی بابت قبوض تلفن، آب، برق و گاز مصرفی بوده و متقاضی جبران خسارات وارده‌ و یا پرداخت بدهی‌های فوق از محل وجوه یاد شده باشد موظف است همزمان با تودیع وجه یا سند، گواهی دفتر شعبه دادگاه صالح را مبنی بر تسلیم‌ دادخواست مطالبه ضرر و زیان به میزان مورد ادعا به دایره اجرا تحویل نماید. در این صورت دایره اجرا از تسلیم‌ وجه یا سند به مستأجر به‌‌ همان میزان‌ خودداری و پس از صدور رای دادگاه و کسر مطالبات موجر اقدام به رد آن به مستأجر خواهد کرد. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل اول - روابط موجر و مستاجر (قانون مصوب 1376)	5	ماده 5- چنانچه مستأجر در مورد مفاد قرارداد ارایه شده از سوی موجر مدعی هرگونه حقی باشد ضمن اجرای دستور تخلیه شکایت خود را به‌ دادگاه صالح تقدیم و پس از اثبات حق مورد ادعا و نیز جبران خسارات وارده حکم مقتضی صادر می‌شود.
mojer76	قانون روابط موجر و مستأجر 1376	فصل دوم - سرقفلی (قانون مصوب 1376)	6	ماده 6- هرگاه مالک، ملک تجاری خود را به اجاره واگذار نماید می‌تواند مبلغی را تحت عنوان سرقفلی از مستأجر دریافت نماید. همچنین‌ مستأجر می‌تواند در اثناء مدت اجاره برای واگذاری حق خود مبلغی را از موجر یا مستأجر دیگر به عنوان سرقفلی دریافت کند، مگر آنکه در ضمن عقد‌ اجاره حق انتقال به غیر از وی سلب شده باشد. ‌تبصره 1 - چنانچه مالک سرقفلی نگرفته باشد و مستأجر با دریافت سرقفلی ملک را به دیگری واگذار نماید پس از پایان مدت اجاره مستأجر اخیر حق مطالبه سرقفلی از مالک را ندارد. ‌تبصره 2 - در صورتی‌ که موجر به طریق صحیح شرعی سرقفلی را به مستأجر منتقل نماید، هنگام تخلیه مستأجر حق مطالبه سرقفلی به قیمت‌ عادله روز را دارد. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل دوم - سرقفلی (قانون مصوب 1376)	7	ماده 7- هرگاه ضمن عقد اجاره شرط شود، تا زمانیکه عین مستأجره در تصرف مستأجر باشد مالک حق افزایش اجاره بها و تخلیه عین مستأجره را‌ نداشته باشد و متعهد شود که هر ساله عین مستأجره را به‌‌ همان مبلغ به او واگذار نماید در این صورت مستأجر می‌تواند از موجر و یا مستأجر دیگر‌ مبلغی بعنوان سرقفلی برای اسقاط حقوق خود دریافت نماید. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل دوم - سرقفلی (قانون مصوب 1376)	8	ماده 8- هرگاه ضمن عقد اجاره شرط شود که مالک عین مستأجره را به‌ غیر مستأجر اجاره ندهد و هر ساله آنرا به اجاره متعارف به مستأجر متصرف‌ واگذار نماید، مستأجر می‌تواند برای اسقاط حق خود و یا تخلیه محل مبلغی را به عنوان سرقفلی مطالبه و دریافت نماید. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل دوم - سرقفلی (قانون مصوب 1376)	9	ماده 9- چنانچه مدت اجاره به پایان برسد یا مستأجر سرقفلی به مالک نپرداخته باشد و یا اینکه مستأجر کلیه حقوق ضمن عقد را استیفاء کرده‌ باشد هنگام تخلیه عین مستأجره حق دریافت سرقفلی نخواهد داشت. ‌
mojer76	قانون روابط موجر و مستأجر 1376	فصل دوم - سرقفلی (قانون مصوب 1376)	10	ماده 10- در مواردی که طبق این قانون دریافت سرقفلی مجاز می‌باشد هرگاه بین طرفین نسبت به میزان آن توافق حاصل نشود با نظر دادگاه تعیین خواهد شد. تبصره - مطالبه هرگونه وجهی خارج از مقررات فوق در روابط استیجاری ممنوع می‌باشد. ‌
