law_code	law_name	bab	chapter	section	article_number	text
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			1	ماده 1- امور حسبی اموری است که دادگاه‌ها مکلفند نسبت به آن امور اقدام نموده و تصمیمی اتخاذ نمایند بدون اینکه رسیدگی به آنها متوقف بر وقوع اختلاف و منازعه بین اشخاص و اقامه دعوی از طرف آنها باشد. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			2	ماده 2- رسیدگی به امور حسبی تابع مقررات این باب می‌باشد مگر آنکه خلاف آن مقرر شده باشد.
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			3	ماده 3- رسیدگی به امور حسبی در دادگاه‌های حقوقی به‌عمل می‌آید. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			4	ماده 4- در موضوعات حسبی هرگاه امری در خارج از مقر دادگاهی که کار در آنجا مطرح است باید انجام شود دادگاه مزبور می‌تواند انجام آن امر را به دادگاهی که کار در حوزه آن باید بشود ارجاع نماید و در این صورت دادگاه نامبرده امر ارجاع شده را انجام و نتیجه را به دادگاه ارجاع کننده امر می‌فرستد.
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			5	ماده 5- مقررات راجع به نیابت قضائی که در آیین دادرسی مدنی ذکر شده شامل امور حسبی خواهد بود. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			6	ماده 6- در صورتی که دو یا چند دادگاه برای رسیدگی به موضوعی صالح باشند دادگاهی که بدواً به آن رجوع شده است رسیدگی می‌نماید. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			7	ماده 7- در صورت حدوث اختلاف در صلاحیت دادگاه‌ها رفع اختلاف به ترتیب مقرر در آیین دادرسی مدنی به‌عمل می‌آید. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			8	ماده 8- دادرس باید در موارد زیر از مداخله در امور حسبی خودداری کند: 1- اموری که در آنها ذی‌نفع است. 2- امور راجع به زوجه خود (‌زوجه ای که در عده طلاق رجعی است در حکم زوجه است). 3- امور اقرباء نسبی و سببی خود در درجه 1 و 2 از طبقه اول و درجه یک از طبقه دوم. 4- امور راجع به اشخاصی که سمت ولایت یا قیمومت یا نمایندگی نسبت به آنها دارد. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			9	ماده 9- در موارد خودداری دادرس هرگاه در آن حوزه دادرس صلاحیت دار برای رسیدگی نباشد رسیدگی به دادگاه نزدیکتر ارجاع می‌شود. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			10	ماده 10- در موارد ماده 7 دادرس باید از رسیدگی خودداری نماید ولی اشخاص ذی‌نفع نمی‌توانند باستناد این ماده دادرس را رد نمایند. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			11	ماده 11- عدم صلاحیت محلی دادگاه یا خودداری دادرس از مداخله در خصوص امری رافع آثار قانونی اقدام یا تصمیمی که به‌عمل آمده است نخواهد بود.
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			12	ماده 12- روزهای تعطیل مانع از رجوع به دادرس در امور حسبی نیست ولی دادرس می‌تواند رسیدگی را در روزهای تعطیل به‌تأخیر اندازد مگر اینکه امر از امور فوری باشد. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			13	ماده 13- درخواست در امور حسبی ممکن است کتبی یا زبانی باشد- درخواست زبانی در صورت مجلس نوشته شده و به امضاء درخواست کننده می‌رسد. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			14	ماده 14- در امور حسبی دادرس باید هرگونه بازجویی و اقدامی که برای اثبات قضیه لازم است به‌عمل آورد هر چند درخواستی از دادرس نسبت بآن اقدام نشده باشد و در تمام مواقع رسیدگی می‌تواند دلائلی که مورد استناد واقع می‌شود قبول نماید. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			15	ماده 15- اشخاص ذی‌نفع می‌توانند شخصاً در دادگاه حاضر شوند یا نماینده بفرستند و نیز می‌توانند کسی را به سمت مشاور همراه خود به دادگاه بیاورند و در صورتی که نماینده به دادگاه فرستاده شود نمایندگی او باید نزد دادرس محرز شود. ‌تبصره- نماینده اعم از وکلاء دادگستری یا غیر آنهاست. ‌
omoor_hasabi	قانون امور حسبی	باب اول- در کلیات			16	ماده 16- حساب مواعد به ترتیبی است که در آیین دادرسی مدنی ذکر شده و اگر روز آخر موعد مصادف با تعطیل شود آخر موعد روز بعد از تعطیل خواهد بود.
