law_code	law_name	volume	book	bab	chapter	section	paragraph	article_number	text
qanun_madani	قانون مدنی							1	ماده 1- مصوبات مجلس شورای اسلامی و نتیجه همهپرسی پس از طی مراحل قانونی به رئیسجمهور ابلاغ میشود. رئیسجمهور باید ظرف مدت پنج روز آن را امضا و به مجریان ابلاغ نماید و دستور انتشار آن را صادر کند و روزنامه رسمی موظف است ظرف مدت 72 ساعت پس از ابلاغ منتشر نماید. تبصره (اصلاحی 1370/8/14)- در صورت استنکاف رئیسجمهور از امضا یا ابلاغ در مدت مذکور در این ماده به دستور رئیس مجلس شورای اسلامی روزنامه رسمی موظف است ظرف مدت 72 ساعت مصوبه را چاپ و منتشر نماید
qanun_madani	قانون مدنی							2	ماده 2- قوانین پانزده روز پس از انتشار در سراسر کشور لازمالاجرا است مگر آنکه در خود قانون ترتیب خاصی برای موقع اجرا مقرر شده باشد.
qanun_madani	قانون مدنی							3	ماده 3- انتشار قوانین باید در روزنامه رسمی به عمل آید.
qanun_madani	قانون مدنی							4	ماده 4- اثر قانون نسبت به آتیه است و قانون نسبت به ماقبل خود اثر ندارد مگر اینکه در خود قانون، مقررات خاصی نسبت به این موضوع اتخاذ شده باشد.
qanun_madani	قانون مدنی							5	ماده 5- کلیه سکنه ایران اعم از اتباع داخله و خارجه مطیع قوانین ایران خواهند بود مگر در مواردی که قانون استثنا کرده باشد.
qanun_madani	قانون مدنی							6	ماده 6- قوانین مربوط به احوال شخصیه از قبیل نکاح و طلاق و اهلیت اشخاص و ارث در مورد کلیه اتباع ایران ولو اینکه مقیم در خارجه باشند مجری خواهد بود.
qanun_madani	قانون مدنی							7	ماده 7- اتباع خارجه مقیم در خاک ایران از حیث مسائل مربوطه به احوال شخصیه و اهلیت خود و همچنین از حیث حقوق ارثیه در حدود معاهدات مطیع قوانین و مقررات دولت متبوع خود خواهند بود.
qanun_madani	قانون مدنی							8	ماده 8- اموال غیرمنقول که اتباع خارجه در ایران بر طبق عهود تملک کرده یا میکنند از هر جهت تابع قوانین ایران خواهد بود.
qanun_madani	قانون مدنی							9	ماده 9- مقررات عهودی که بر طبق قانون اساسی بین دولت ایران و سایر دول منعقد شده باشد در حکم قانون است.
qanun_madani	قانون مدنی							10	ماده 10- قراردادهای خصوصی نسبت به کسانی که آن را منعقد نمودهاند در صورتی که مخالف صریح قانون نباشد نافذ است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال				11	ماده 11- اموال بر دو قسم است منقول و غیرمنقول.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			12	ماده 12- مال غیرمنقول آنست که از محلی به محل دیگر نتوان نقل نمود اعم از اینکه استقرار آن ذاتی باشد یا به واسطه عمل انسان به نحوی که نقل آن مستلزم خرابی یا نقص خود مال یا محل آن شود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			13	ماده 13- اراضی و ابنیه و آسیا و هر چه که در بنا منصوب و عرفاً جزء بنا محسوب میشود غیرمنقول است و همچنین است لولهها که برای جریان آب یا مقاصد دیگر در زمین یا بنا کشیده شده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			14	ماده 14- آینه و پرده نقاشی و مجسمه و امثال آنها در صورتی که در بنا یا زمین بهکار رفته باشد به طوری که نقل آن موجب نقص یا خرابی خود آن یا محل آن بشود غیرمنقول است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			15	ماده 15- ثمره و حاصل مادام که چیده یا درو نشده است غیرمنقول است اگر قسمتی از آن چیده یا درو شده باشد تنها آن قسمت منقول است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			16	ماده 16- مطلق اشجار و شاخههای آن و نهال و قلمه مادام که بریده یا کنده نشده است غیرمنقول است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			17	ماده 17- حیوانات و اشیائی که مالک آن را برای عمل زراعت اختصاص داده باشد از قبیل گاو و گاومیش و ماشین و اسباب و ادوات زراعت و تخم و غیره و به طور کلی هر مال منقول که برای استفاده از عمل زراعت لازم و مالک آن را به این امر تخصیص داده باشد از جهت صلاحیت محاکم و توقیف اموال جزو ملک محسوب و در حکم مال غیرمنقول است و همچنین است تلمبه و گاو و یا حیوان دیگری که برای آبیاری زراعت یا خانه و باغ اختصاص داده شده است.
