law_code	law_name	section	article_number	text
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	1	ماده 1- اختصارات و عبارات زیر در این آییننامه در معانی زیر به کار میرود: 1- کانون: کانون وکلای دادگستری؛ 2- لایحه استقلال: لایحه قانونی استقلال کانون وکلای دادگستری مصوب 1333 با اصلاحات بعدی؛ 3- قانون کیفیت اخذ پروانه: قانون کیفیت اخذ پروانه وکالت دادگستری مصوب 1376؛ 4- دادگاه عالی: دادگاه عالی انتظامی قضات؛ 5- دادگاه انتظامی: دادگاه انتظامی کانون وکلا؛ 6- دادسرای انتظامی: دادسرای انتظامی کانون وکلا؛ 7- هیئت نظارت: هیئت نظارت بر انتخابات هیئتمدیره.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	2	ماده 2- کانون موسسه خصوصی حرفه ای عهده دار خدمت عمومی و دارای شخصیت حقوقی و مستقل است که به منظور ساماندهی امور وکلای دادگستری عضو کانون در هر استان تشکیل میشود و متشکل از وکلای دارای پروانه فعالیت در همان استان است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	3	ماده 3- وکیل دادگستری با رعایت قوانین و مقررات این آییننامه، با ارائه وکالتنامه، مجاز به وکالت و انجام سایر امور قابل توکیل در مراجع قضایی، شبه قضایی، نهادهای داوری و مراجع دولتی و غیر دولتی است. همچنین، وکیل حق ارائه مشاوره حقوقی به اشخاص را دارد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	4	ماده 4- هر شخص حق دارد برای اقامه دعوی و دفاع رأساً اقدام یا از وکیل استفاده کند و از بدو تا ختم فرآیند دادرسی در کلیه مراجع قضایی، شبه قضایی و نهادهای داوری، از کمک و مشاوره وکیل برخوردار شود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	5	ماده 5- کلیه مراجع قضایی با رعایت قانون مکلف به پذیرش وکیل هستند. سلب حق دسترسی به وکیل یا تحمیل وکیل یا تحدید حق آزادی انتخاب وکیل، به کلی ممنوع است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	6	ماده 6- وکیل در مقام دفاع از احترامات و تأمینات شغل قضاء برخوردار است. کلیه مقامات قضایی، کارکنان اداری و ضابطان، در برخورد با وکلای دادگستری موظفند ضمن حفظ کرامت آنان، بر مبنای اصول و موازین اخلاقی، شرعی، قانونی و حقوق شهروندی رفتار کنند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	7	ماده 7- وکیل در مقام دفاع، استقلال دارد و باید بتواند بهصورت حرفهای و آزادانه از موکل خود دفاع کند و هیچ مرجعی نمیتواند این استقلال را نقض نماید.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	8	ماده 8- وکیل حق دارد با رعایت مقررات قانونی، به اسناد و مدارکی که برای دفاع از موکل لازم است، دسترسی داشته باشد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	9	ماده 9- روابط کاری وکیل با موکل و مشاوره وى به موکل خود در محدوده ارتباط حرفهای آنها محرمانه است، به جز در مواردی که قانون به نحو دیگری مقرر کرده باشد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش اول- کلیات	10	ماده 10- بهرهمندی وکلا از برنامههای آموزشی از جمله آموزشهای مربوط به اصول حرفهای وکالت و دانش و مهارتهای عمومی مرتبط با آن، حق آنهاست و کانون ضمن برنامهریزی تدابیر لازم را در این زمینه اتخاذ خواهد کرد.
