law_code	law_name	chapter	article_number	text
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	1	ماده 1- در هر حوزه قضائی که بیش از یک شعبه دادگاه عمومی وجود دارد، به تشخیص رئیس قوهقضائیه یا مقامات مجاز از طرف وی، شعب دادگاه براساس نیاز و به نسبت تراکم کار به حقوقی و جزائی تقسیم میشوند. همچنین تعیین شعبه یا شعبی از دادگاه تجدیدنظر استان به دادگاه کیفری استان و تشکیل شعبه یا شعبی از دادگاه تجدیدنظر استان به دادگاه کیفری استان و تشکیل شعبه یا شعب تشخیص دیوانعالی کشور براساس نیاز و تراکم کار با تصویب رئیس قوهقضائیه خواهد بود.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	2	ماده 2- از تاریخ تخصیص شعب دادگاههای عمومی و انقلاب به دادگاههای حقوقی و جزائی رسیدگی به دعاوی و شکایات مطابق مقررات قانون خواهد بود. لکن هر شعبه به پروندههایی که قبلاً به آن ارجاع شده است صرفنظر از نوع آنها رسیدگی خواهد کرد.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	3	ماده 3- از تاریخ تخصیص شعبی از دادگاههای تجدیدنظر به دادگاههای کیفری استان، دادگاههای تجدیدنظر استان کلیه پروندههایی را که در مرحله تجدیدنظر مطرح بوده است، کماکان مورد رسیدگی قرار داده و اتخاذ تصمیم خواهند نمود هر چند موضوع این پرونده ها در صلاحیت رسیدگی دادگاه کیفری استان باشد.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	4	ماده 4- به پیشنهاد رئیس کل دادگستری استان و تصویب رئیس قوه قضائیه، شعب دادگاههای عمومی حقوقی و عمومی جزائی و دادسرا در هر حوزه قضائی به تناسب امکانات و ضرورت، جهت انجام تحقیقات و رسیدگی به جرائم و دعاوی خاص تخصیص مییابند از قبیل: الف - دادسراها و دادگاههای عمومی جزائی شامل: - جرائم اطفال - سرقت و آدم ربائی - صدور چک پرداخت نشدنی - جرائم صنفی (خوراکی، بهداشتی، داروئی و سایر صنوف) - جرائم مربوط به مفاسد اجتماعی - جعل و کلاهبرداری - جرائم کارکنان دولت ب - دادگاههای عمومی حقوقی شامل : - دعاوی تجاری - امور حسبی - دعاوی ثبتی، مالکیتهای معنوی و صنعتی - اعتراض به تصمیمات مراجع غیردادگستری - دعاوی خانواده - دعاوی موجر و مستأجر - دعاوی بین المللی
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	5	ماده 5- موارد ضرورت مقید در ماده 4 قانون عبارتند از: الف - دعاوی حقوقی ناشی از جرم. ب - دعوای جزائی مرتبط با دعاوی خانوادگی. ج - محدود بودن شعب حوزه قضائی به نحوی که به لحاظ جهات رد و معذوریت امکان رسیدگی نباشد. د - سایر موارد به تشخیص رئیس قوه قضائیه یا مقامات مجاز از طرف ایشان.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	6	ماده 6- حوزه قضائی بخش، شهرستان و استان با رعایت ضوابط و مقررات تقسیمات کشوری خواهد بود. تبصره - هرگاه مرکز بخش فاقد دادگاه باشد رسیدگی به امور قضائی آن به عهده نزدیکترین دادگاه همان استان یا حوزه قضائی شهرستان مربوط است. همچنین چنانچه در شهرستان دادگاه یا دادسرا تشکیل نشده باشد رسیدگی به امور قضائی آن به عهده نزدیکترین حوزه قضائی شهرستان تابع همان استان خواهد بود.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	7	ماده 7- رئیس کل دادگستری استان، رئیس شعبه اول دادگاه تجدیدنظر و رئیس دادگاههای کیفری استان است و بر دادگاههای تجدیدنظر، کیفری استان و کلیه دادگستریها، دادگاهها و دادسراهای حوزه آن استان نظارت و ریاست اداری خواهد داشت. رئیس شعبه اول دادگاه عمومی شهرستان مرکز استان، رئیس کل دادگاههای آن شهرستان خواهد بود. در غیر مرکز استان رئیس شعبه اول دادگاه عمومی، رئیس دادگستری آن شهرستان است و بر دادگاهها و دادسراهای مربوط و همچنین دادگاههای مستقر در بخش نظارت و ریاست اداری دارد. در صورت تعدد شعب دادگاههای عمومی در حوزه قضائی مستقر در مرکز بخش، رئیس شعبه اول دادگاه عمومی بر شعب دیگر نظارت و ریاست اداری خواهد داشت.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	8	ماده 8- با تصویب رئیس قوه قضائیه رئیس کل دادگاههای شهرستان مرکز استان میتواند تمام یا بخشی از اختیارات خود را در خصوص دادگاههای انقلاب به رئیس شعبه اول آن دادگاهها تفویض نماید. در این صورت، رئیس شعبه اول دادگاه انقلاب اسلامی در سمت معاون وی انجام وظیفه خواهد کرد. در صورتی که در شهرستان غیرمرکز استان دادگاه انقلاب شعب متعدد داشته باشد، رئیس دادگستری آن شهرستان نیز می تواند به ترتیبی که ذکر شد اقدام نماید. تبصره - سرپرستان مجتمعهای قضائی به عنوان معاون رئیس کل دادگاههای شهرستان مرکز استان انجام وظیفه خواهند نمود.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	9	ماده 9- رؤسای کل دادگستری استانها، رئیس کل دادگاههای شهرستان مرکز استان، رؤسای دادگستری شهرستانها و سرپرستان حوزههای قضائی نقاط معینی از شهرهای بزرگ میتوانند با تصویب رئیس قوه قضائیه به تعداد لازم معاون داشته باشند.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	10	ماده 10- از تاریخ اجرای قانون، در هر حوزه قضائی اختیارات دادستان که در اجرای قانون تشکیل دادگاههای عمومی و انقلاب مصوب 1373 به رئیس حوزه قضائی تفویض شده بود مجدداً به دادستان محول میگردد.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	11	ماده 11- در صورت ضرورت یکی از معاونان دادستان شهرستان مرکز استان وظایف وی را در رابطه با جرائمی که در صلاحیت دادگاه انقلاب اسلامی است به عهده خواهد گرفت. معاون دادستان در امور دادگاههای انقلاب به تعداد لازم بازپرس، دادیار و کارمند اداری در اختیار خواهد داشت.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	12	ماده 12- ارجاع شکایات، درخواستها و گزارشهای ضابطین به شعب بازپرسی و دادیاری و سایر امور مربوط به دادسرا با دادستان است. معاون دادستان یا دادیاران به ترتیب تقدم در غیاب وی عهدهدار انجام تمام یا برخی از وظایف و اختیارات دادستان خواهند بود.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	13	ماده 13- ارجاع پرونده به بازپرس و یا دادیار در حدود صلاحیت و اختیارات قانونی آنها به تناسب اهمیت موضوع، تجربه، تبحر و سابقه کار خواهد بود.
aeename_tashkil_dadgah	آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی	فصل اول- آیین‌نامه اصلاحی قانون تشکیل دادگاههای عمومی و انقلاب با اصلاحات بعدی مصوب 9 بهمن 1381	14	ماده 14- به جز اتهام مقامات موضوع تبصره ماده 4 قانون که تحقیقات مقدماتی، تعقیب و اقامه دعوی نسبت به آنها منحصراً توسط دادسرای تهران صورت خواهد گرفت، تعقیب بقیه مقامات موضوع تبصره 1 ماده 8 لایحه قانونی تشکیل دادگاههای عمومی مصوب 10 /7 /1358 شورای انقلاب اسلامی و اصلاحیههای بعدی آن، توسط دادسرای شهرستان مرکز استان مربوط به عمل خواهد آمد.
