law_code	law_name	article_number	text
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	1	ماده 1- مسئول هر واحد ثبتی با وصول درخواست افراز از طرف یک یا چند از شرکاء ملک مشاعی که در حوزه ثبتی مزبور واقع شده رسیدگی به‌آن را به نماینده ثبت ارجاع می‌نماید.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	2	ماده 2- نماینده ثبت با مراجعه به پرونده ملک وضعیت ثبتی پلاک مزبور را ملاحظه و نسبت به خاتمه یافتن جریان ثبتی آن اعم از این که در دفتر‌املاک ثبت شده یا نه و دارای سند مالکیت معارض می‌باشد یا خیر اعلام نظر نموده پرونده را به نظر مسئول واحد ثبتی می‌رساند.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	3	ماده 3- پس از تأیید این که جریان ثبتی خاتمه یافته و ملک دارای سند مالکیت معارض نمی‌باشد مسئول واحد ثبتی به نقشه‌بردار ثبت مأموریت‌می‌دهد که با دعوت و حضور متقاضی و سایر شرکاء و نماینده ثبت محل را معاینه و با توجه به سوابق ثبتی و تصرفات و رعایت حقوق آنان نقشه ملک‌مورد افراز را ترسیم و به امضاء نماینده ثبت و کلیه شرکاء حاضر می‌رساند.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	4	ماده 4- نقشه‌بردار مکلف است پس از ترسیم نقشه به طوری که در تفکیک معمول است حدود و مساحت و مشخصات هر یک از قطعات تفکیکی‌را نیز تعیین و در صورت مجلس منعکس و به امضاء نماینده ثبت و شرکاء حاضر رسانیده و به مسئول واحد ثبتی تسلیم نماید.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	5	ماده 5- مسئول واحد ثبتی پس از رسیدگی و تطبیق درخواست با مقررات قانونی و ملاحظه صورت مجلس تنظیمی و نقشه افرازی و مطابقت آن‌با وضعیت و سوابق ثبتی تصمیم خود را مبنی بر رد یا قبول درخواست و نحوه افراز اعلام می‌نماید.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	6	ماده 6- تصمیم مسئول واحد ثبتی به ضمیمه یک نسخه از صورتمجلس و فتوکپی نقشه افرازی (‌در صورتی که ملک قابل افراز اعلام شود) به کلیه‌شرکاء ابلاغ می‌شود تا چنانچه اعتراضی داشته باشند وفق مقررات ماده 2 قانون افراز و فروش املاک مشاع به دادگاه شهرستان محل وقوع ملک تسلیم‌نمایند. ‌طریقه ابلاغ مطابق با مقررات ابلاغ در آیین‌نامه اجرای مفاد اسناد رسمی لازم‌الاجراء می‌باشد.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	7	ماده 7- رسیدگی به اعتراضات واصله نسبت به تصمیمات متخذه از طرف واحد ثبتی در دادگاه شهرستان تابع مقررات دادرسی اختصاری است.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	8	ماده 8- اجرای حکم قطعی افراز تابع مقررات اجرای احکام مدنی خواهد بود.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	9	ماده 9- در صورت صدور حکم قطعی بر غیر قابل تقسیم بودن ملک دادگاه شهرستان بر حسب درخواست یک یا چند نفر از شرکاء دستور فروش‌آن را به دایره اجراء دادگاه خواهد داد. ‌مدیر اجراء نسبت به فروش ملک بر وفق مقررات قانون اجرای احکام مدنی مربوط به فروش اموال غیر منقول اقدام می‌نماید.
ayeenname_afraz_amlak	آیین‌نامه قانون افراز و فروش املاک مشاع	10	ماده 10- وجوه حاصله از فروش ملک غیر قابل افراز پس از کسر هزینه عملیات اجرایی طبق دستور دادگاه شهرستان بین شرکاء به نسبت سهام‌تقسیم خواهد شد.
