law_code	law_name	chapter	article_number	text
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	1	ماده 1- عنوان «قانون تشکیلات و آیین دادرسی دیوان عدالت اداری» مصوب 1390/9/22 به «قانون دیوان عدالت اداری» اصلاح میشود.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	2	ماده 2- در ماده (2) قانون بعد از عبارت «تعداد شعب دیوان» عبارت «و سازماندهی آنها در قالب معاونتهای تخصصی» اضافه میشود.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	3	ماده 3- به انتهای تبصره ماده (3) این قانون عبارت «در صورت عدم حضور رئیس شعبه تجدیدنظر، اداره شعبه به عهده عضو مستشاری است که سابقه قضائی بیشتری دارد.» اضافه و شماره آن به تبصره (1) اصلاح و دو تبصره بهعنوان تبصرههای (2) و (3) به شرح زیر به ماده مذکور الحاق میشود: تبصره 2- شکایات و اعتراضات اشخاص حقیقی و حقوقی اعم از عمومی و خصوصی از آراء و تصمیمات مراجع اختصاصی اداری موضوع بند (2) ماده (10) این قانون مستقیماً در شعب تجدیدنظر مطرح و مورد رسیدگی قرار میگیرد، رأی صادره قطعی است. سایر شکایات و اعتراضات در شعب بدوی رسیدگی میشود. پس از لازمالاجرا شدن این قانون پروندههای موجود در شعب بدوی و تجدیدنظر مطابق صلاحیت زمان ثبت دادخواست رسیدگی میشود. تبصره 3- مقصود از مراجع اختصاصی اداری کلیه مراجع و هیأتهایی است که به موجب قوانین و مقررات قانونی، خارج از مراجع قضائی تشکیل میشوند و اقدام به رسیدگی به اختلافات، تخلفات و شکایاتی میکنند که در صلاحیت آنها قرار داده شده است؛ نظیر هیأتهای رسیدگی به تخلفات اداری، کمیسیونهای مواد (99) و (100) قانون شهرداری مصوب 11/4/1334 با اصلاحات و الحاقات بعدی، هیأتهای حل اختلاف مالیاتی، هیأتهای حل اختلاف کارگر و کارفرما و کمیسیونها و هیأتهایی که به موجب قوانین و مقررات قانونی تشخیص موضوعاتی از قبیل صلاحیتهای علمی، تخصصی، امنیتی و گزینشی به عهده آنها واگذار شده باشد.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	4	ماده 4- ماده (4) قانون و تبصرههای آن به شرح زیر اصلاح میشود: ماده (4)- قضات دیوان با حکم رئیس قوه قضائیه منصوب میشوند و باید دارای هفت سال سابقه کار قضائی باشند. رئیس دیوان عدالت اداری میتواند قضات واجد شرایط را به رئیس قوه قضائیه پیشنهاد نماید. تبصره- وجود شرط سابقه مذکور در این ماده در خصوص قضات و یا حائزین منصب قضا که مطابق مقررات استخدامی قضات جذب میشوند و دارای مدرک دکترای حقوق با اولویت حقوق عمومی و سایر گرایشهای مورد نیاز دیوان میباشند، الزامی نیست و حسب مورد پس از گذراندن دورههای کارآموزی عمومی و تخصصی متناسب با صلاحیت و وظایف دیوان عدالت اداری، با ابلاغ رئیس قوه قضائیه به سمت دادرس علیالبدل دیوان عدالت اداری منصوب میشوند. چگونگی جذب و نحوه و مدت کارآموزی عمومی و تخصصی آنها بر اساس دستورالعملی است که به تصویب رئیس قوه قضائیه میرسد. رئیس دیوان عدالت اداری میتواند پیشنهادات خود را در این خصوص به رئیس قوه قضائیه ارائه کند.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	5	ماده 5- ماده (5) قانون به شرح زیر اصلاح و یک تبصره به آن الحاق میشود: ماده (5)- رئیس دیوان با رعایت شرایط مذکور در ماده (4) علاوه بر ریاست اداری و نظارت بر کلیه قسمتهای دیوان، ریاست شعبه اول تجدیدنظر را نیز بر عهده دارد و میتواند از بین معاونین قضائی یک نفر را به عنوان معاون اول انتخاب نماید. تبصره- رئیس دیوان میتواند وظایف و اختیارات خود، به غیر از اختیارات خاص موضوع مواد (2)، (4)، (7)، (19)، (47)، (79) و (84)، تبصره (2) ماده (85)، مواد (87)، (91) و (120) این قانون را، حسب مورد در امور قضائی به معاونین قضائی و در امور غیر قضائی به هر یک از معاونین خود تفویض نماید.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	6	ماده 6- یک تبصره به شرح زیر به ماده (6) قانون الحاق میشود: تبصره- در صورت ارائه الکترونیکی خدمات مذکور به مردم و دستگاههای اجرائی به نحوی که با تشخیص رئیس قوه قضائیه وجود این دفاتر در برخی از استانها ضرورت نداشته باشد، دفتر منحل و کارکنان شاغل آن در صورت تمایل به دیوان عدالت اداری در تهران و در غیر این صورت به دادگستری محل، منتقل میگردند. رئیس دیوان عدالت اداری میتواند پیشنهادات خود را در این خصوص به رئیس قوه قضائیه ارائه کند.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	7	ماده 7- ماده (7) قانون و تبصره آن به شرح زیر اصلاح میشود: ماده (7)- دیوان میتواند جهت اعلام نظر در امور تخصصی، حسب مورد از کارشناسانی در رشتههای مختلف که دارای مدرک کارشناسی با حداقل ده سال سابقه یا دارای حداقل مدرک کارشناسی ارشد با حداقل پنج سال سابقه در رشته مورد نیاز میباشند، بدون ایجاد تعهد استخدامی استفاده نماید. آییننامه نحوه بکارگیری و پرداخت حقالزحمه این افراد ظرف شش ماه پس از ابلاغ این قانون به تصویب رئیس قوه قضائیه میرسد. رئیس دیوان عدالت اداری میتواند پیشنهادات خود را در این خصوص به رئیس قوه قضائیه ارائه کند. تبصره- چنانچه به تشخیص رئیس دیوان، موضوعات جدیدی مطرح و مورد شکایت قرار گیرد که پیشبینی میشود اشخاص متعدد دیگری نیز شکایت مشابه آن را مطرح نمایند یا دارای ابعاد گسترده اداری یا اجتماعی میباشد؛ موضوع همزمان با ارجاع به شعب، به گروهی از کارشناسان متخصص یا هیأت تخصصی مربوط جهت بررسی مقدماتی و ارائه نظریه مشورتی ارجاع میشود تا حداکثر ظرف یک ماه اعلام نظر نمایند و شعب رسیدگیکننده با ملاحظه نظریه مشورتی مذکور نسبت به صدور رأی اقدام کنند. عدم اعلام نظریه مشورتی در مهلت مقرر مانع از صدور رأی پس از خاتمه مهلت نیست.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	8	ماده 8- ماده (8) قانون و تبصره آن به شرح زیر اصلاح میشود: ماده (8)- هیأت عمومی دیوان عدالت اداری متشکل از رئیس، معاونین قضائی، رؤسای هیأتهای تخصصی و رؤسا و مستشاران شعب تجدیدنظر و رؤسای شعب بدوی میباشد که با حضور دوسوم اعضاء و به ریاست رئیس دیوان یا یکی از معاونین قضائی با انتخاب رئیس دیوان رسمیت مییابد و ملاک صدور رأی در آن، نظر اکثریت اعضای حاضر میباشد. در رسیدگی به موارد موضوع مواد (89) و (90) این قانون، قضات صادرکننده دادنامهها با داشتن حق رأی میتوانند در جلسات هیأت عمومی شرکت نمایند. تبصره- سایر قضات دیوان و یا کارشناسان امر حسب مورد با دعوت رئیس دیوان یا رئیس هیأت تخصصی، بدون داشتن حق رأی میتوانند در جلسات هیأت عمومی یا هیأت تخصصی شرکت کنند و در صورت لزوم نظرات خود را ارائه نمایند.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	9	ماده 9- تبصره ماده (9) قانون حذف میشود.
eslah_divan_edalat_edari	قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	فصل اول- قانون اصلاح قانون تشکیلات و آیین دادرسی دیوان عدالت اداری	10	ماده 10- تبصره (1) ماده (10) قانون به شرح زیر اصلاح و تبصره (2) ماده مذکور ابقاء و یک تبصره به عنوان تبصره (3) به آن الحاق میشود: تبصره 1- رسیدگی به دعاوی مطالبه خسارت در صلاحیت دادگاه عمومی است. لیکن در مواردی که مطالبه خسارت ناشی از تخلف در اجرای وظایف قانونی و اختصاصی یا ترک فعل از انجام وظایف مذکور از سوی واحدهای دولتی یا دستگاههای مذکور در بندهای (1) و (2) این ماده و مأموران واحدها و دستگاههای یادشده باشد، موضوع در دیوان عدالت اداری مطرح و شعبه دیوان ضمن رسیدگی به احراز وقوع تخلف نسبت به اصل مطالبه خسارت و تعیین خسارت وارده، اقدام و حکم مقتضی صادر مینماید. تبصره 3- رسیدگی به شکایات و اعتراضات اشخاص حقیقی و حقوقی از وقوع تخلف و عدم رعایت قوانین و مقررات در مراحل انعقاد قرارداد توسط دستگاههای اجرائی در صلاحیت شعب دیوان عدالت اداری است، لیکن رسیدگی به دعاوی ناشی از اجرای قرارداد فیمابین طرفین در صلاحیت دیوان نیست.
