law_code	law_name	article_number	text
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	1	ماده 1- هر کس دستور اجرای اسناد رسمی را مخالف با مفاد سند یا مخالف قانون دانسته یا از جهت دیگری شکایت از دستور اجراء سند رسمی‌ داشته باشد میتواند بترتیب مقرر در آئین دادگستری مدنی اقامه دعوی نماید.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	2	ماده 2- مرجع رسیدگی بدعاوی ناشی از دستور اجرای اسناد رسمی دادگاه صلاحیت‌ دار محلی است که در حوزه آن دستور اجرا داده شد.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	3	ماده 3- رسیدگی بدعاوی مزبور تابع مقررات دادرسی اختصاری بوده و خارج از نوبت رسیدگی خواهد شد.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	4	ماده 4- اقامه دعوی مانع از جریان عملیات اجرائی نیست مگر در صورتیکه دادگاه حکم ببطلان دستور اجرا داده و یا قراری دائر بتوقیف ‌عملیات اجرائی بدهد.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	5	ماده 5- در صورتیکه دادگاه دلائل شکایت را قوی بداند یا در اجراء سند رسمی ضرر جبران‌ ناپذیر باشد بدرخواست مدعی بعد از گرفتن تأمین ‌قرار توقیف عملیات اجرائی را میدهد ترتیب تأمین همان است که در قوانین دادرسی مدنی برای تأمین خواسته مقرر است و در صورتیکه موضوع سند‌ لازم‌ الاجرا وجه نقد باشد و مدعی وجه نقد بدهد آن وجه در صندوق ثبت محل توقیف میشود و تأمین دیگر گرفته نخواهد شد.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	6	ماده 6- هر یک از طرفین میتوانند در اثناء رسیدگی بدعوی جبران خسارت مالی را که تأمین داده و یا خساراتی که بسبب توقیف عملیات ‌اجرائی باو داده شده است بخواهد و در اینصورت دادگاه ضمن حکم راجع باصل دعوی یا بموجب حکم علیحده محکوم علیه را بپرداخت ‌خسارت ملزم خواهد نمود و در صورتیکه موضوع اجرا وجه نقد باشد و یا برای توقیف عملیات اجرائی وجه نقد تأمین شده باشد خسارت از قرار ‌صدی دوازده در سال خواهد بود.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	7	ماده 7- هرگاه مدلول سند قبل از صدور حکم ابطال اجرا شده باشد پس از قطعیت آن حکم عملیات اجرائی بحالت قبل از اجرا بر میگردد.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	8	ماده 8- ترتیب اجرای مفاد اسناد رسمی و عملیاتی که اجرا متوقف بر آن است از ابلاغ و توقیف اموال و اشخاص و هزینه‌ های اجرائی و مصارف آن و تعیین حق ‌الاجرا در مواردیکه در قانون معین نشده و مقتضی باشد و وصول حق ‌الاجرا و نیز ترتیب شکایت از طرز عمل و اقدامات‌ اجرائی و مرجع رسیدگی بآن و بطور کلی آنچه برای اجراء اسناد رسمی لازم است طبق آئین ‌نامه وزارت دادگستری خواهد بود.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	9	ماده 9- ‌هزینه مسافرت و فوق‌العاده مهندسین و نمایندگان و سایر مامورین و کارمندان که از محل هزینه مقدماتی استخدام شده‌اند و همچنین حقوق کارمندان و‌خدمتگذاران جزء و رانندگان و بهای لباس و عیدی و سایر مزایای مربوطه آنها و دستمزد کارشناسان قراردادی که از محل مذکور استخدام شده‌اند و سایر‌هزینه‌های مربوطه که طبق مقررات عمومی مجاز باشد از محل درآمد مقدماتی مطابق آئین‌ نامه که وزارت دادگستری تنظیم خواهد نمود پرداخت‌ میشود مستخدمین و کارمندان و رانندگانیکه طبق مقررات قبلی استخدام شده مشمول مقررات بالا خواهند بود.
eslah_qanun_dafater_rasmi	قانون اصلاح بعضي از مواد قانون ثبت و قانون دفاتر رسمي	10	ماده 10- ماده 94 قانون ثبت مصوب 26 اسفند 1310 و مواد (58 و 59 و60 و61 و 62 و 63 و 64 قانون دفتر اسناد رسمی مصوب خردادماه1317 و تبصره اضافی بماده 64 مصوب مهرماه 1317 و آن قسمتی از شق 2 ماده 25 مکرر از قانون ثبت اسناد و املاک مصوبه 26 مرداد 1320 که‌ راجع است بهیئت رفع اختلاف و دادرس دادگاه شهرستان در مورد رسیدگی بشکایات مربوطه باجرای مفاد اسناد رسمی و هر قانون دیگر در ‌قسمتی که مخالف اینقانون باشد نسخ میشود. این قانون که مشتمل بر ده ماده است در جلسه بیست و هفتم شهریورماه یکهزار و سیصد و بیست و دو بتصویب مجلس شورای ملی رسید.
