law_code	law_name	article_number	text
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	1	ماده 1- کانون وکلای دادگستری مؤسسه‌ای است مستقل و دارای شخصیت حقوقی که در مقر هر دادگاه استان تشکیل می‌شود. در نقاطی که کانون وکلا وجود ندارد تشکیل کانون مشروط به این است که در آن حوزه حداقل 60 نفر وکیل دادگستری به شغل وکالت اشتغال داشته‌ باشد و تا وقتی که عده وکلا به حد نصاب مزبور نرسیده وکلای آن حوزه تابع مقررات و نظامات کانون وکلای مرکز خواهند بود. ‌کانون وکلا از قسمت های ذیل تشکیل می‌شود: الف- هیأت عمومی. ب- هیأت مدیره. ج- دادسرای انتظامی وکلا. ‌د- دادگاه انتظامی وکلا.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	2	ماده 2- کانون وکلا هر محل به وسیله هیأت مدیره اداره خواهد شد هیأت مدیره کانون وکلا مرکز از 12 نفر عضو اصلی و شش نفر عضو علی‌البدل تشکیل می‌شود و در سایر مراکز دادگاه‌های استان مرکب از پنج نفر عضو اصلی و سه نفر عضو علی‌البدل خواهد بود. هیأت مدیره عهده‌دار ‌امور مربوط به کانون بوده و رئیس هیأت سمت ریاست کانون را دارد و نماینده قانونی کانون در کلیه مراجع رسمی است رئیس کانون کلیه اعمال اداری ‌و حقوقی کانون را انجام خواهد داد. ‌تبصره- بقاء عضویت هیأت مدیره مشروط بر این است که محل اقامت وکیل منتخب در تمام مدت عضویت در مرکز همان استان باشد.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	3	ماده 3- هیأت عمومی کانون وکلا هر استان از وکلایی که در آن حوزه اشتغال به وکالت دارند و حائز شرایط زیر باشند تشکیل می‌شود و هر دو‌سال یک بار برای انتخاب اعضای هیأت مدیره تشکیل جلسه می‌دهد. وکلایی که واجد شرایط زیر باشند می‌توانند در انتخاب اعضاء هیأت مدیره کانون‌ شرکت نمایند: ‌الف- وکلا پایه یک و دو دادگستری مشروط بر این که: 1. محکومیت انتظامی از درجه 4 به بالا نداشته باشند 2. در حال تعلیق از وکالت نباشند
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	4	ماده 4- اعضاء هیأت مدیره کانون وکلا از بین وکلا پایه یک هر حوزه که واجد شرایط زیر باشند برای مدت دو سال انتخاب می‌شوند: ‌الف- لااقل 35 سال داشته باشند. ب- لیسانسیه حقوق بوده و لااقل ده سال سابقه وکالت یا قضاوت داشته باشند به شرط آن که پنج سال آن سابقه وکالت پایه یک باشد. ج- وکلایی که فاقد دانشنامه لیسانس می‌باشند در صورتی می‌توانند انتخاب شوند که دارای مدت 20 سال سابقه وکالت و یا بیست سال سابقه وکالت‌ و قضاوت باشند به شرط آن که پنج سال از مدت مزبور سابقه وکالت پایه یک داشته باشند. ‌د- محکومیت انتظامی بالاتر از درجه 4 نداشته باشند. ه-- سوء شهرت نداشته باشند. ‌تبصره- رئیس و اعضاء هیأت مدیره کانون وکلا رؤساء و اعضای دادگاه‌های انتظامی وکلا و دادستان و دادیاران دادسرای انتظامی وکلا نباید ‌عضویت احزاب ممنوعه را داشته باشند و در صورت تخلف دادگاه عالی انتظامی قضات آن را به محرومیت از عضویت هیأت مدیره و دادگاه و‌ دادسراهای انتظامی وکلا محکوم خواهد کرد. دادگاه عالی انتظامی قضات مکلف است به محض اطلاع به موضوع رسیدگی کند رأی دادگاه قطعی‌ است.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	5	ماده 5- هیأت مدیره کانون وکلا مرکز از بین اعضاء خود یک نفر رئیس و دو نفر نایب‌رئیس و دو منشی و دو بازرس به رأی مخفی برای مدت یک‌سال انتخاب می‌نماید و در سایر حوزه‌ها هیأت مدیره مرکب از یک رئیس و یک نایب‌رئیس و یک منشی و یک بازرس خواهد بود.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	6	ماده 6- وظایف کانون وکلا به قرار زیر است: ‌الف- دادن پروانه وکالت به داوطلبانی که واجد شرایط قانونی باشند. ب- اداره امور راجع به وکالت دادگستری و نظارت بر اعمال وکلا و کارگشایان. ج- رسیدگی به تخلفات و تعقیب انتظامی وکلا و کارگشایان دادگستری به وسیله دادسرا و دادگاه انتظامی وکلا. ‌د- معاضدت قضایی. ه-- فراهم آوردن وسایل پیشرفت علمی و عملی وکلا.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	7	ماده 7- از تاریخ اجراء این قانون فقط به کسانی پروانه وکالت داده می‌شود که از دانشکده‌های حقوق داخله و یا خارجه دارای دانشنامه لیسانس‌ باشند.اشخاص مزبور پس از اخذ پروانه وکالت مکلف هستند لااقل یک سال به کارآموزی اشتغال ورزند پس از اختبار و قبول آنان پروانه وکالت پایه‌یک داده می‌شود.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	8	ماده 8- (اصلاحی 1373) به‌اشخاص زیر پروانه وکالت درجه اول از طرف کانون وکلاء داده می‌شود: ‌الف- به کسانی که دارای ده سال متوالی یا پانزده سال متناوب سابقه خدمات قضائی بوده و لااقل پنج سال ریاست یا عضویت دادگاه داشته باشد‌ و سلب صلاحیت قضائی از آنها از طرف دادگاه عالی انتظامی قضات نشده باشد. ب- کسانیکه دارای دانشنامه لیسانس بوده و 5 سال سابقه خدمات قضائی داشته باشند و سلب صلاحیت قضائی از طرف دادگاه عالی انتظامی از‌ آنها نشده باشد. ج- نمایندگان مجلس شورای اسلامی با گذراندن یک دوره کامل نمایندگی که دارای لیسانس قضائی یا گواهی پایان تحصیلات سطوح عالیه از حوزه‌علمیه قم و 5 سال سابقه کار قضائی در محاکم باشند. د- کلیه کسانیکه دارای لیسانس حقوق قضائی یا گواهی پایان تحصیلات سطوح عالیه از حوزه علمیه قم با حداقل 5 سال سابقه کار متوالی یا 10 سال ‌متناوب در سمت‌های حقوقی در دستگاههای دولتی و وابسته به دولت و نهادها و نیروهای مسلح باشند و بعد از اجرای این قانون با داشتن سی سال‌ سابقه خدمت بازنشسته شوند بدون رعایت شرط سن با انجام نصف مدت مقرر کارآموزی. تبصره1- کسانیکه دارای دانش نامه لیسانس بوده و دو سال سابقۀ خدمت قضائی داشته باشند از انجام دوره کارآموزی معاف می‌باشند. ولی در این ‌مورد مدت انتظار خدمت از لحاظ اخذ پروانۀ وکالت جزء خدمت محسوب نمی‌شود. تبصره 2- کانون ملزم است در مورد تقاضاهای پروانه کارآموزی یا وکالت ظرف مدت شش ماه اتخاذ تصمیم نماید. ‌
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	9	ماده 9- کسانی که تا این تاریخ دارای پروانه وکالت بوده و سلب صلاحیت از آنان نشده وکیل دادگستری شناخته می‌شود.
kanun_vokala_1333	لایحه قانونی استقلال کانون وکلای دادگستری	10	ماده 10- به اشخاص زیر اجاره وکالت داده نمی‌شود: 1. اتباع خارجه 2. قضات و مستخدمین دولتی و بلدی و مملکتی و بنگاه‌هایی که تمام یا قسمتی از سرمایه آن متعلق به دولت است در حین اشتغال به‌خدمت به‌استثنای استادان دانشکده حقوق که اشتغال به تدریس در یکی از شعب حقوقی دارند در صورت اجازه شورای دانشگاه 3. محجورین و همچنین کسانی که سن آنها کمتر از 25 سال باشد 4. محکومین به انفصال ابد از خدمات دولتی 5. اشخاص مشهور به فساد اخلاق و تجاهر به استعمال مسکر و افیون و اعمال منافی عفت 6. محکومین به جنایت مطلقاً و محکومین به جنحه‌هایی که منافی با امانت و عفت و شئون وکالت است به تشخیص هیأت مدیره کانون و یا آنکه به موجب قانون مستلزم محرومیت از بعضی حقوق اجتماعیست 7. کسانی که به اتهام جنایت یا جُنحه‌های مذکور در ماده فوق تحت محاکمه هستند. 8. اشخاصی که طبق حکم محکمه از وکالت محروم شده‌اند
