law_code	law_name	chapter	article_number	text
raftar_quzat	قانون نظارت بر رفتار قضات		1	ماده 1- نظارت بر نحوه عملکرد و رفتار قضات و رسیدگی به تخلفات انتظامی و صلاحیت قضائی آنها به شرح مواد این قانون است.
raftar_quzat	قانون نظارت بر رفتار قضات		2	ماده 2- تمامی ‌قضاتی که به حکم رئیس قوه قضائیه به سمت قضائی منصوب می ‌شوند مشمول این قانون می ‌باشند. تبصره - به تخلفات انتظامی قضات دادگاه و دادسرای ویژه روحانیت، مطابق آیین ‌نامه دادسراها و دادگاههای ویژه روحانیت رسیدگی می ‌شود.
raftar_quzat	قانون نظارت بر رفتار قضات		3	ماده 3- عبارات اختصاری به‌ کار رفته در این قانون در معانی ذیل تعریف می ‌گردد: دادگاه عالی: دادگاه عالی انتظامی ‌قضات دادگاه عالی تجدیدنظر: دادگاه عالی تجدیدنظر انتظامی ‌قضات دادسرا: دادسرای انتظامی ‌قضات دادستان: دادستان انتظامی‌ قضات دادیار: دادیار انتظامی‌ قضات دادگاه عالی صلاحیت: دادگاه عالی رسیدگی به صلاحیت قضات دادگاه عالی تجدیدنظر صلاحیت: دادگاه عالی تجدیدنظر رسیدگی به صلاحیت قضات
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	4	ماده 4- دادگاه عالی و دادگاه تجدیدنظر در تهران تشکیل می‌ شود و بنا به‌ تشخیص رئیس قوه قضائیه دارای شعب متعدد است. هر شعبه دارای یک رئیس و دو مستشار است. تبصره - دادگاههای مذکور به تعداد کافی عضو معاون دارد که در غیاب هر یک از اعضاء با دستور رئیس دادگاه عالی، وظیفه وی را انجام می ‌دهند.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	5	ماده 5- رئیس، مستشاران و عضوهای معاون دادگاههای مذکور از بین قضات دارای بالاترین پایه قضائی توسط رئیس قوه قضائیه منصوب می‌ شوند و باید حداقل دارای بیست و پنج سال سابقه کار قضائی باشند و در ده سال اخیر خدمت قضائی خود، محکومیت انتظامی ‌درجه سه و بالاتر نداشته باشند. این قضات را به جز موارد مشمول اصل یکصد و شصت و چهارم (164) قانون اساسی نمی ‌توان بدون تمایل آنان تغییر داد. تبصره - رؤساء شعب دادگاههای عالی و عالی تجدیدنظر در بالاترین گروه شغلی و مستشاران و عضو معاون دادگاههای مذکور به ترتیب در یک گروه و دو گروه پایین ‌تر قرار می ‌گیرند.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	6	ماده 6- امور زیر در صلاحیت دادگاه عالی است: 1- رسیدگی به تخلفات انتظامی ‌قضات 2- رسیدگی به پیشنهاد دادستان در مورد تعلیق قاضی از خدمت قضائی 3- ترفیع پایه قضائی 4- حل اختلاف بین دادستان انتظامی و دادیار انتظامی موضوع ماده (28) این‌ قانون 5 - رسیدگی به اعتراض به قرار تعلیق تعقیب انتظامی 6 - اظهارنظر در خصوص اشتباه یا تقصیر قاضی موضوع اصل یکصد و هفتاد و یکم (171) قانون اساسی و ماده (30) این قانون 7- سایر امور به موجب قوانین خاص
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	7	ماده 7- به تخلفات اعضاء دادگاههای عالی و عالی تجدیدنظر و دادستان توسط هیأتی مرکب از رؤساء شعب دیوان عالی کشور که با حضور دو سوم آنان رسمیت می‌ یابد رسیدگی می ‌شود. ملاک در صدور رأی، نظر اکثریت حاضرین است. رسیدگی در این هیأت منوط به صدور کیفرخواست از جانب دادستان کل کشور است. تبصره - به تخلفات اداری قضاتی که در زمان ارتکاب دارای سمت اداری بوده ‌اند، در دادگاه عالی رسیدگی می‌ شود و به تخلفات انتظامی ‌شخصی که از شغل قضائی به شغل اداری انتقال یافته است در صورتی‌ که تخلف مربوط به زمان تصدی وی در شغل قضائی گردد نیز در دادسرا رسیدگی می‌ گردد. در هر حال مجازات، مطابق مقررات حاکم در موقع ارتکاب تخلف تعیین می ‌شود.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	8	ماده 8- دادسرا در معیت دادگاه عالی مطابق این قانون انجام وظیفه می ‌‌نماید.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	9	ماده 9- ریاست دادسرا به عهده دادستان است که باید حداقل دارای بیست ‌سال سابقه کار قضائی باشد و در ده سال اخیر خدمت خود محکومیت انتظامی ‌درجه ‌سه یا بالاتر نداشته باشد.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	10	ماده 10- دادستان به تعداد کافی معاون و دادیار دارد. دادیار و معاون دادسرا باید حداقل دارای پانزده ‌سال سابقه کار قضائی باشند و در ده سال اخیر خدمت قضائی خود محکومیت انتظامی ‌درجه سه یا بالاتر نداشته باشند.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	11	ماده 11- وظایف و اختیارات دادسرا عبارت است از: 1 - بازرسی و کشف تخلفات انتظامی ‌قضات و تعقیب انتظامی ‌آنان در هر مقام و رتبه‌ 2- نظارت مستمر بر عملکرد قضات، ارزشیابی آنان و تحقیق در اعمال و رفتار منافی با حیثیت و شأن قضائی با رعایت حریم خصوصی آنان 3- پیشنهاد تعلیق قاضی از خدمت قضائی به دادگاه عالی 4- پیشنهاد تشویق قضات دارای خدمات علم-ی یا عمل-ی برجست-ه به رئیس قوه قضائیه 5 - پیشنهاد جابه‌ جایی قضات به رئیس قوه قضائیه در اجرای اصل یکصد و شصت و چهارم (164) قانون اساسی 6 - بازرسی و تهیه گزارش در مورد عملکرد قضات بر حسب درخواست رئیس قوه قضائیه 7- سایر وظایف به موجب قوانین خاص تبصره - درخواست تعلیق قاضی و صدور کیفرخواست و قرار تعلیق تعقیب انتظامی‌ فقط بر عهده دادستان است. در غیاب دادستان یا موارد ردّ دادرس، معاون اول وی این امور را بر عهده دارد.
raftar_quzat	قانون نظارت بر رفتار قضات	فصل اول - دادگاه عالي و دادسراي انتظامي قضات	12	ماده 12- نحوه بازرسی، نظارت و ارزشیابی رفتار و عملکرد قضات بر اساس آیین ‌نامه ‌ای است که ظرف شش ماه از تاریخ تصویب این قانون به پیشنهاد دادستان به تصویب رئیس قوه قضائیه می‌ رسد.
