law_code	law_name	chapter	article_number	text
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	1	ماده 1- به‌منظور حل اختلاف و صلح و سازش بین اشخاص حقیقی و حقوقی خصوصی، شوراهای حل اختلاف که در این قانون به اختصار «شورا» نامیده می‌شوند، زیر نظر قوه قضائیه و با شرایط مقرر در این قانون تشکیل می‌گردند.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	2	ماده 2- برنامه‌ریزی و راهبری شوراها توسط مرکز حل اختلاف که در این قانون به اختصار «مرکز» نامیده می‌شود، انجام می‌گیرد. تبصره- مرکز، زیر نظر رئیس قوه قضائیه اداره می‌شود و رئیس مرکز با حکم رئیس قوه قضائیه منصوب می‌شود.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	3	ماده 3- حوزه فعالیت شوراها تابع حوزه قضائی بخش یا شهرستان مربوط است. تبصره 1- شعب شوراها در شهرها و در صورت لزوم در مراکز دهستان‌ها و روستاها به تشخیص رئیس قوه قضائیه به تعداد لازم تشکیل می‌گردد. رئیس قوه قضائیه می‌تواند این امر را به رئیس مرکز تفویض کند. تبصره 2- برای رسیدگی به امور فنی و صنفی در دعاوی و شکایات فی‌مابین اصناف، «شوراهای حل اختلاف تخصصی» قابل تشکیل است. در صورت تشکیل شوراهای حل اختلاف تخصصی مذکور و عدم رد صلاحیت تخصصی خود، دعاوی مربوط منحصراً در این شعب بر اساس احکام این قانون رسیدگی می‌شود. همچنین برای رسیدگی به امور و دعاوی مربوط به احوال شخصیه فی‌مابین اقلیت‌های دینی موضوع اصل سیزدهم (13) قانون اساسی جمهوری اسلامی ایران به ترتیب مقرر در این قانون، شوراهای حل اختلاف تخصصی قابل تشکیل است که تشکیل این شوراها مانع از مراجعه اقلیت‌های دینی مذکور به دیگر شوراهای همان حوزه قضائی نیست. قانون شوراهای حل اختلاف مصوب 1402 قانون شوراهای حل اختلاف مصوب 1402/6/22
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	4	ماده 4- قوه قضائیه مکلف است حداکثر ظرف یک سال از تاریخ لازم‌الاجرا شدن این قانون، در هر حوزه قضائی شهرستان، شعبه یا شعبی از دادگاه‌ها را تحت مدیریت و نظارت رئیس آن حوزه قضائی به‌عنوان دادگاه صلح تعیین کند. در حوزه قضائی بخش، وظایف و اختیارات و صلاحیت‌های دادگاه صلح می‌تواند بر عهده دادگاه بخش باشد که بر اساس احکام این قانون رسیدگی می‌کند. ریاست و نظارت دادگاه‌های صلح و شوراهای حل اختلاف در استان بر اساس آیین‌نامه ماده (40) این قانون تعیین می‌شود.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	5	ماده 5- هر شعبه شورا دارای رئیس، یک نفر عضو اصلی و حسب مورد یک نفر عضو علی‌البدل است که جلسات شورا با حضور دو نفر رسمیت می‌یابد. تبصره 1- در هر حوزه قضائی حسب مورد تعدادی عضو علی‌البدل تعیین می‌شود که در صورت غیبت رئیس شعبه شورا یا عضو اصلی یا در صورت عدم وحدت نظر دو عضو شورا به دستور رئیس شورای حوزه قضائی مربوط، عضو علی‌البدل، جایگزین یا اضافه می‌شود. تبصره 2- برای هر شعبه در مناطق شهری (متناسب با حجم کار و تعداد پرونده‌ها) حداکثر دو نفر و در شعب مناطق روستایی در صورت نیاز یک نفر نیروی اداری و دفتری شورا به کار گرفته می‌شود. تبصره 3- تأمین کارکنان اداری و خدماتی مورد نیاز شوراهایی که به‌صورت تخصصی در اتحادیه‌های صنفی و یا اتاق بازرگانی، صنایع، معادن و کشاورزی ایران و اتاق تعاون ایران و نظیر آن‌ها مستقر هستند، در صورت امکان بر عهده نهادهای محل استقرار شورا می‌باشد. کارکنان مذکور با معرفی نهادهای محل استقرار و حکم مرکز منصوب‌شده و تأمین هزینه‌های کارکنان مذکور و تأمین مالی و پشتیبانی از این کارکنان بر عهده نهادهای محل استقرار است.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	6	ماده 6- قوه قضائیه می‌تواند برای اجرای این قانون حداکثر ده هزار نفر نیروی انسانی لازم را ظرف پنج سال از میان اشخاص واجد شرایط استخدام از طریق آزمون عمومی و تخصصی به‌صورت پیمانی یا قرارداد کار معین به‌کارگیری نماید. کارکنان تمام وقت شورای حل اختلاف (اعم از اعضا یا سایر کارکنان) که تا تاریخ بیست و نهم اسفندماه سال 1401، در شوراها مشغول به کار شده‌اند، در اولویت استخدام هستند. اولویت‌های استخدام بر اساس معیارهای توانمندی، سوابق همکاری، تخصص، مدرک تحصیلی و حسن رفتار در آیین‌نامه‌ای که ظرف سه ماه پس از لازم‌الاجرا شدن این قانون به تصویب رئیس قوه قضائیه می‌رسد، تعیین می‌شود. تبصره 1- قوه قضائیه می‌تواند افرادی را که به‌موجب این قانون استخدام می‌شوند، هم‌زمان در شعب دادگاه‌های صلح و همچنین شعب شوراها به جای کارکنان فعلی شوراها به‌کارگیری نماید. تبصره 2- سوابق اشتغال در شورا به حداکثر سن قانونی اضافه می‌شود. تبصره 3- منابع مالی مورد نیاز برای استخدام موضوع این ماده، از محل اعتبارات مصوب مرکز و همچنین از محل درآمدهای اختصاصی موضوع ماده (38) و افزایش درآمدهای حاصل از اجرای مواد (12) ،(14) و (19) و کاهش هزینه‌های موضوع ماده (5) این قانون تأمین می‌شود. تبصره 4- دولت مکلف است شناسه استخدام اشخاص موضوع این ماده را در اختیار قوه قضائیه قرار دهد. تبصره 5- از تاریخ لازم‌الاجرا شدن این قانون، عضویت جدید در شورا؛ افتخاری، داوطلبانه و تبرعی بوده و هرگونه استخدام و به‌کارگیری اعضای جدید تحت هر عنوان در شوراها و پرداخت هرگونه حق بیمه برای آن‌ها ممنوع است. مرکز می‌تواند صرفاً به‌تناسب فعالیت آن‌ها از ایشان تقدیر به عمل آورد. تبصره6- قوه قضائیه مجاز است از بازنشستگان دستگاه‌های اجرائی ازجمله بازنشستگان قوه قضائیه به‌عنوان عضو، در شوراها استفاده نماید.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	7	ماده 7- اعضای شورا باید دارای شرایط زیر باشند: 1- متدین به دین مبین اسلام و مذهب رسمی کشور تبصره- در مواردی که طرفین یا اطراف دعوی از پیروان سایر مذاهب مصرح در اصل دوازدهم (12) قانون اساسی باشند، تدین به دین مبین اسلام کفایت می‌کند. 2- تابعیت جمهوری اسلامی ایران 3- التزام عملی به قانون اساسی جمهوری اسلامی ایران و ولایت مطلقه فقیه 4- دیانت، امانت و صحت عمل و اشتهار به آن‌ها 5- عدم استفاده از مشروبات الکلی و عدم استعمال و اعتیاد به مواد مخدر یا روان‌گردان 6- دارا بودن کارت پایان خدمت وظیفه عمومی یا معافیت (دائم یا موقت) از خدمت وظیفه عمومی برای مشمولان 7- دارا بودن حداقل مدرک تحصیلی کارشناسی یا سطح دو حوزه علمیه برای تمام اعضای شعب شهری شورا و مدرک تحصیلی دیپلم و بالاتر برای اعضای شعب روستایی شورا تبصره- برای اشخاصی که سابقه عضویت در شوراهای حل اختلاف تا قبل از تصویب این قانون را داشته‌اند، شرط حداقل مدرک تحصیلی موضوع این بند برای عضویت در شعب روستایی شورا اعمال نمی‌شود. 8- داشتن حداقل سی سال سن که برای دارندگان مدرک تحصیلی کارشناسی ارشد و بالاتر، پنج سال از میزان یادشده کسر می‌شود. 9- نداشتن سابقه محکومیت مؤثر کیفری و عدم محرومیت از حقوق اجتماعی 10- متأهل بودن 11- داشتن شرایط مذکور در بند (ز) ماده (42) قانون مدیریت خدمات کشوری مصوب 1386/7/8 با اصلاحات و الحاقات بعدی 12- سابقه سکونت در حوزه شورا حداقل به مدت شش ماه شمسی و تداوم سکونت در آن حوزه پس از عضویت در شورا 13- نداشتن سوءسابقه امنیتی و عدم وابستگی به گروه‌های غیرقانونی 14- مؤثر نبودن در تحکیم رژیم سابق و عدم وابستگی به آن تبصره 1- اعضای شورای حل اختلاف اقلیت‌های دینی موضوع اصل سیزدهم (13) قانون اساسی جمهوری اسلامی ایران باید متدین به دین خود باشند. تبصره 2- برای عضویت در شورا، دارندگان مدرک حوزوی و یا دارندگان مدرک دانشگاهی در رشته‌های حقوق یا الهیات با گرایش فقه و مبانی حقوق اسلامی در اولویت هستند و حداقل یک نفر از اعضای شعب شهری شورا باید از میان دارندگان مدارک تحصیلی یادشده باشد. تبصره 3- احراز شرایط مذکور در این ماده توسط مرکز انجام می‌شود.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	8	ماده 8- قضات، کارکنان دادگستری، وکلای دادگستری (اعم از وکلای عضو کانون‌های وکلا یا مرکز وکلا، کارشناسان رسمی و مشاوران خانواده قوه قضائیه)، کارشناسان رسمی دادگستری، نیروهای نظامی، انتظامی و اطلاعاتی اعم از نیروهای وزارت اطلاعات، سازمان اطلاعات سپاه پاسداران انقلاب اسلامی و حراست و حفاظت دستگاه‌های اجرائی، صاحبان امتیاز خدمات الکترونیک قضائی و سردفتران، داوران و میانجی گران، در زمان اشتغال حق عضویت در شورا را ندارند.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	9	ماده 9- اعضای شورا به پیشنهاد رئیس‌کل دادگستری استان و با حکم رئیس مرکز منصوب می‌شوند.
shora_hale_ekhtelaf	قانون شوراهای حل اختلاف	فصل اول- ساختار و تشکیلات	10	ماده 10- اعضای شورا قبل از شروع به کار مکلفند مطابق سوگندنامه‌ای که توسط مرکز تهیه می‌شود و به تأیید رئیس قوه قضائیه می‌رسد، سوگند یاد کنند.
