law_code	law_name	book	bab	chapter	section	article_number	text
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				1	ماده 1- آیین دادرسی مدنی، مجموعه اصول و مقرراتی است که در مقام رسیدگی به امور حسبی و کلیه دعاوی مدنی و بازرگانی در دادگاههای عمومی، انقلاب، تجدیدنظر، دیوان عالی کشور و سایر مراجعی که به موجب قانون موظف به رعایت آن میباشند به کار میرود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				2	ماده 2- هیچ دادگاهی نمیتواند به دعوایی رسیدگی کند مگر اینکه شخص یا اشخاص ذینفع یا وکیل یا قائممقام یا نماینده قانونی آنان رسیدگی به دعوا را برابر قانون درخواست نموده باشند.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				3	ماده 3- قضات دادگاهها موظفند موافق قوانین به دعاوی رسیدگی کرده، حکم مقتضی صادر و یا فصل خصومت نمایند. در صورتی که قوانین موضوعه کامل یا صریح نبوده یا متعارض باشند یا اصلاً قانونی در قضیه مطروحه وجود نداشته باشد، با استناد به منابع معتبر اسلامی یا فتاوی معتبر و اصول حقوقی که مغایر با موازین شرعی نباشد، حکم قضیه را صادر نمایند و نمیتوانند به بهانه سکوت یا نقص یا اجمال یا تعارض قوانین از رسیدگی به دعوا و صدور حکم امتناع ورزند و الّا مستنکف از احقاق حق شناخته شده و به مجازات آن محکوم خواهند شد. تبصره- چنانچه قاضی مجتهد باشد و قانون را خلاف شرع بداند پرونده به شعبه دیگری جهت رسیدگی ارجاع خواهد شد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				4	ماده 4- دادگاهها مکلفند در مورد هر دعوا به طور خاص تعیین تکلیف نمایند و نباید به صورت عام و کلی حکم صادر کنند.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				5	ماده 5- آرای دادگاهها قطعی است مگر در موارد مقرر در باب چهارم این قانون یا در مواردی که به موجب سایر قوانین قابل نقض یا تجدیدنظر باشند.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				6	ماده 6- عقود و قراردادهایی که مخل نظم عمومی یا برخلاف اخلاق حسنه که مغایر با موازین شرع باشد در دادگاه قابل ترتیب اثر نیست.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				7	ماده 7- به ماهیت هیچ دعوایی نمیتوان در مرحله بالاتر رسیدگی نمود تا زمانی که در مرحله نخستین در آن دعوا حکمی صادر نشده باشد، مگر به موجب قانون.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				8	ماده 8- هیچ مقام رسمی یا سازمان یا اداره دولتی نمیتواند حکم دادگاه را تغییر دهد و یا از اجرای آن جلوگیری کند مگر دادگاهی که حکم صادر نموده و یا مرجع بالاتر، آنهم در مواردی که قانون معین نموده باشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی				9	ماده 9- رسیدگی به دعاویی که قبل از تاریخ اجرای این قانون اقامه شده به ترتیب مقرر در این قانون ادامه مییابد. آرای صادره از حیث قابلیت اعتراض و تجدیدنظر و فرجام، تابع قوانین مجری در زمان صدور آنان میباشد مگر اینکه آن قوانین، خلاف شرع شناخته شود. نسبت به کلیه قرارهای عدم صلاحیتی که قبل از تاریخ اجرای این قانون از دادگاهها صادر شده و در زمان اجرای این قانون در جریان رسیدگی تجدیدنظر یا فرجامی است به ترتیب مقرر در این قانون عمل میشود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		10	ماده 10- رسیدگی نخستین به دعاوی، حسب مورد در صلاحیت دادگاههای عمومی و انقلاب است مگر در مواردی که قانون مرجع دیگری را تعیین کرده باشد.
