law_code	law_name	article_number	text
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	1	ماده 1- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 در رابطه با امور کیفری نسخ شده است) به منظور رسیدگی و حل و فصل کلیه دعاوی و مراجعه مستقیم به قاضی و ایجاد مرجع قضایی واحد، دادگاههایی با صلاحیت عام به شرح مواد آتیه تشکیل میشوند.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	2	ماده 2- تأسیس دادگاههای عمومی در هر حوزه قضایی و تعیین قلمرو محلی و تعداد شعب دادگاههای مزبور به تشخیص رییس قوه قضاییه است.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	3	ماده 3- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 نسخ شده است) در حوزه قضائی هر شهرستان یک دادسرا نیز در معیت دادگاههای آنحوزه تشکیل میگردد. تشکیلات، حدود صلاحیت، وظایف و اختیارات دادسرای مذکورکه «دادسرای عمومی و انقلاب» نامیده میشود تا زمان تصویب آیین دادرسی مربوطه، طبق قانون آیین دادرسی دادگاههای عمومی و انقلاب در امور کیفری مصوب 1378/6/28 کمیسیون حقوقی و قضائی مجلس شورای اسلامی و مقررات مندرج در این قانون به شرح ذیل میباشد: الف- دادسرا که عهدهدار کشف جرم، تعقیب متهم به جرم، اقامه دعوی از جنبهحقاللهی و حفظ حقوق عمومی و حدود اسلامی، اجرای حکم و همچنین رسیدگی بهامور حسبیه وفق ضوابط قانونی است به ریاست دادستان میباشد و به تعداد لازم معاون، دادیار، بازپرس و تشکیلات اداری خواهد داشت. اقدامات دادسرا در جرائمی که جنبهخصوصی دارد با شکایت شاکی خصوصی شروع میشود. در حوزه قضائی بخش، وظیفهدادستان را دادرس علیالبدل برعهده دارد. ب- ریاست و نظارت بر ضابطین دادگستری از حیث وظایفی که به عنوان ضابط برعهده دارند با دادستان است. ج- مقامات و اشخاص رسمی در مواردی که باید امر جزائی را تعقیب نمود،موظفند مراتب را فوراً به دادستان اطلاع دهند. د- بازپرس وقتی اقدام به تحقیقات مقدماتی مینماید که قانوناً این حق را داشتهباشد. جهات قانونی برای شروع به تحقیقات بازپرس عبارت است از: 1- ارجاع دادستان. 2- شکایت یا اعلام جرم به بازپرس در مواقعی که دسترسی به دادستان ممکن نیست و رسیدگی به آن فوریت داشته باشد. 3- در جرائم مشهود درصورتی که بازپرس شخصاً ناظر وقوع آن باشد. ه-- دادستان در اموری که به بازپرس ارجاع میشود حق نظارت و دادن تعلیمات لازمه را خواهد داشت و در صورتی که تحقیقات بازپرس را ناقص ببیند میتواند تکمیل آنرا بخواهد ولو این که بازپرس تحقیقات خود را کامل بداند. بازپرس در جریان تحقیقات، تقاضای قانونی دادستان را اجراء نموده، مراتب را درصورتمجلس قید میکند و هرگاه مواجه با اشکال شود به نحوی که انجام آن مقدور نباشد مراتب را به دادستان اعلام و منتظر حل مشکل میشود. و- تحقیقات مقدماتی کلیه جرائم برعهده بازپرس میباشد. در جرائمی که درصلاحیت رسیدگی دادگاه کیفری استان نیست دادستان نیز دارای کلیه وظایف و اختیاراتی است که برای بازپرس مقرر میباشد. درمورد جرائمی که رسیدگی به آنها در صلاحیت دادگاه کیفری استان است دادستان تا قبل از حضور و مداخله بازپرس، اقدامات لازم را برای حفظ و جمعآوری دلایل و آثار جرم به عمل میآورد و در مورد سایر جرایم؛ دادستان میتواند انجام بعضی ازتحقیقات و اقدامات را از بازپرس درخواست نماید بدون این که رسیدگی امر را به طورکلی به آن بازپرس ارجاع کرده باشد. ز- کلیه قرارهای دادیار بایستی با موافقت دادستان باشد و درصورت اختلاف نظربین دادستان و دادیار، نظر دادستان متبع خواهد بود. ح- بازپرس رأساً و یا به تقاضای دادستان میتواند در تمام مراحل تحقیقاتیدرموارد مقرر در قانون آیین دادرسی دادگاههای عمومی و انقلاب در امور کیفری مصوب 1378/6/28 کمیسیون قضائی و حقوقی مجلس شورای اسلامی؛ قرار بازداشت موقت متهم و همچنین قرار اخذ تأمین و تبدیل تأمین را صادر نماید. درصورتی که بازپرس رأساً قرار بازداشت موقت صادر کرده باشد مکلف است ظرف بیست و چهار ساعت پرونده رابرای اظهارنظر نزد دادستان ارسال نماید. هرگاه دادستان، با قرار بازداشت به عمل آمده موافق نباشد، نظر دادستان متبع است و چنانچه علتی که موجب بازداشت بوده است مرتفع شده و موجب دیگری برای ادامه بازداشت نباشد بازداشت با موافقت دادستان رفع خواهد شد و همچنین درموردی که دادستان تقاضای بازداشت کرده و بازپرس با آن موافق نباشد حل اختلاف، حسب مورد با دادگاه عمومی یا انقلاب محل خواهد بود. هرگاه متهم موجبات بازداشت را مرتفع ببیند میتواند از بازپرس درخواست رفع بازداشت خود را بنماید که دراین صورت بازپرس مکلف است ظرف ده روز از تاریخ تسلیم درخواست، نظر خود را جهت اتخاذ تصمیم نزد دادستان ارسال نماید. به هرحال متهم نمیتواند در هر ماه بیش از یک مرتبه از این حق استفاده کند. درصورت حدوث اختلاف بین بازپرس و دادستان درخصوص صلاحیت محلی و ذاتی و همچنین نوع جرم حسب مورد حل اختلاف با دادگاه عمومی یا انقلاب محل خواهد بود. ط- هرگاه در جرائم موضوع صلاحیت دادگاه کیفری استان تا چهار ماه و در سایرجرائم تا دو ماه به علت صدور قرار تأمین، متهم در بازداشت بسر برد و پرونده اتهامی او منتهی به تصمیم نهائی در دادسرا نشده باشد مرجع صادرکننده قرار مکلف به فک یا تخفیف قرار تأمین متهم میباشد مگر آن که جهات قانونی یا علل موجهی برای بقاء قرارتأمین صادر شده وجود داشته باشد که در این صورت با ذکر علل و جهات مزبور قرار ابقاء میشود و متهم حق دارد از این تصمیم ظرف مدت ده روز از تاریخ ابلاغ به وی حسب مورد به دادگاه عمومی یا انقلاب محل شکایت نماید. فک قرار بازداشت متهم از طرف بازپرس با موافقت دادستان به عمل میآید و در صورت حدوث اختلاف بین دادستان و بازپرس حل اختلاف با دادگاه خواهد بود. چنانچه بازداشت متهم ادامه یابد مقررات اینبند حسب مورد هر چهار ماه یا هر دو ماه اعمال میشود. به هر حال مدت بازداشت متهم نباید از حداقل مجازات حبس مقرر در قانون برای آن جرم تجاوز نماید. ی- درخواست دادستان و بازپرس را باید ضابطین، مقامات رسمی و ادارات فوراً اجرا نمایند. بازپرس میتواند به تحقیقات ضابطین دادگستری رسیدگی نموده و هرگاه تغییری در اقدامات آنان یا تکمیلی در تحقیقات، لازم باشد به عمل آورد. تخلف از مقررات این بند علاوه بر تعقیب اداری و انتظامی؛ برابر قانون مربوط مستوجب تعقیب کیفری نیز خواهد بود. ک- پس از آن که تحقیقات پایان یافت، بازپرس آخرین دفاع متهم را استماع نموده با اعلام ختم تحقیقات و اظهار عقیده خود، پرونده را نزد دادستان میفرستد. درصورتی که به عقیده بازپرس، عمل متهم متضمن جرمی نبوده یا اصولاً جرمی واقع نشده و یا دلایلکافی برای ارتکاب جرم وجود نداشته باشد قرار منع تعقیب و در صورت عقیده بازپرس برتقصیر متهم، قرار مجرمیت درباره ایشان صادر مینماید و چنانچه متهم در آخرین دفاع دلیل مؤثری بر کشف حقیقت ابراز نماید بازپرس مکلف به رسیدگی میباشد. دادستان نیز مکلف است ظرف پنج روز از تاریخ وصول، پرونده را ملاحظه نموده و نظر خود را اعلام دارد. ل- هرگاه دادستان با نظر بازپرس درمورد مجرمیت متهم موافق باشد کیفرخواست صادر، پرونده را از طریق بازپرسی به دادگاه صالحه ارسال مینماید و در صورت توافق بازپرس و دادستان با منع یا موقوفی تعقیب متهم، بازپرس دستور ابلاغ قرار صادره به شاکی خصوصی را میدهد و درمورد اخیر چنانچه متهم زندانی باشد فوراً آزاد میشود. هرگاه بین بازپرس و دادستان توافق عقیده نباشد (یکی عقیده به مجرمیت یاموقوفی و یا منع تعقیب متهم و دیگری عقیده عکس آن را داشته باشد) رفع اختلاف حسب مورد در دادگاه عمومی و انقلاب محل به عمل میآید و موافق تصمیم دادگاه رفتار میشود. م- در کیفرخواست باید نکات ذیل تصریح شود: 1- نام و نام خانوادگی، نام پدر، سن، شغل، محل اقامت متهم، با سواد است یا نه،مجرد است یا متأهل. 2- نوع قرار تأمین با قید این که متهم بازداشت است یا آزاد. 3- نوع اتهام. 4- دلایل اتهام. 5- مواد قانونی مورد استناد. 6- سابقه محکومیت کیفری درصورتی که متهم دارای سابقه محکومیت کیفری باشد. 7- تاریخ و محل وقوع جرم. ن- قرارهای بازپرس که دادستان با آنها موافق باشد درموارد ذیل قابل اعتراض در دادگاه صالحه بوده و نظر دادگاه که در جلسه اداری خارج از نوبت و بدون حضور دادستان به عمل میآید قطعی خواهد بود: 1- اعتراض به قرارهای منع تعقیب و موقوفی تعقیب به تقاضای شاکی خصوصی. 2- اعتراض به قرارهای عدم صلاحیت، بازداشت موقت، تشدید تأمین و تأمین خواسته به تقاضای متهم. 3- اعتراض به قرار اناطه به تقاضای شاکی خصوصی و دادستان. اعتراض به قرارهای مذکور در بالا ظرف مدت ده روز از تاریخ ابلاغ آن میباشد. اعتراض به قرارها باعث توقف جریان تحقیقات و مانع اجرای قرار نبوده و کلیه اقدامات بازپرسی تا اخذ تصمیم دادگاه به قوت خود باقی خواهد بود و چنانچه نتیجه قرار صادره آزادی متهم زندانی باشد فوراً اجرا میشود. هرگاه به علت عدم کفایت دلیل قرار منع تعقیب متهم صادر و قطعی شده باشد دیگر نمیتوان به همین اتهام او را تعقیب کرد، مگر بعد از کشف دلائل جدید که در اینصورت فقط برای یک مرتبه میتوان به درخواست دادستان وی را تعقیب نمود. هرگاه دادگاه تعقیب مجدد متهم را تجویز کند بازپرس، رسیدگی و قرار مقتضی صادر مینماید.این امر مانع از رسیدگی به دادخواست ضرر و زیان مدعی خصوصی نمیباشد. تبصره 1- حوزه قضایی عبارت است از قلمرو یک بخش یا شهرستان و یا نقاط معینی از شهرهای بزرگ. تبصره 2- رسیدگی به جرائم داخل در صلاحیت دادگاههای نظامی از شمول این قانون خارج است و در دادسرا و دادگاه نظامی انجام میشود. تبصره 3- پروندههائی که موضوع آنها جرائم مشمول حد زنا و لواط است، همچنین جرائمی که مجازات قانونی آنها فقط تا سه ماه حبس و یا جزای نقدی تا یک میلیون (1000000) ریال میباشد و جرائم اطفال مستقیماً در دادگاههای مربوط مطرح میشود، مگر آن که به تشخیص دادستان تحقیقات راجع به سایر جهات ضرورت داشته باشد. تبصره 4- جرائمی که تا تاریخ اجرای این قانون مستقیماً در دادگاه مطرح شدهاست در همان دادگاه بدون نیاز به کیفرخواست و رسیدگی دادسرا رسیدگی خواهد شد و چنانچه نیاز به انجام تحقیقات و یا اقداماتی جهت کشف جرم باشد دادگاه باید رأساً نسبت به انجام آن اقدام کند. تبصره 5- با ارجاع دادستان یا در غیاب وی معاون دادسرا یا دادیار، عهدهدار انجامتمام یا برخی از وظایف و اختیارات قانونی دادستان خواهد بود. تبصره 6- در حوزه قضائی بخشها، رئیس یا دادرس علیالبدل دادگاه در جرائمی که رسیدگی به آنها در صلاحیت دادگاه کیفری استان است، به جانشینی بازپرس تحت نظارت دادستان مربوطه اقدام مینماید و در سایر جرائم مطابق قانون رسیدگی و اقدام به صدور رأی خواهد نمود.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	4	ماده 4- هر حوزه قضائی که دارای بیش از یک شعبه دادگاه عمومی باشد آن شعب به حقوقی و جزائی تقسیم میشوند. دادگاههای حقوقی صرفاً به امور حقوقی و دادگاههای جزائی فقط به امور کیفری رسیدگی خواهند نمود. تخصیص شعبی از دادگاههای حقوقی و کیفری برای رسیدگی به دعاوی حقوقی یاجزائی خاص مانند امور خانوادگی و جرائم اطفال با رعایت مصالح و مقتضیات از وظایفو اختیارات رئیس قوه قضائیه است. درصورت ضرورت ممکن است به شعبه جزائی پرونده حقوقی و یا به شعبه حقوقی پرونده جزائی ارجاع شود. تبصره- رسیدگی به جرائمی که مجازات قانونی آنها قصاص نفس یا قصاص عضو یا رجم یا صلب یا اعدام یا حبس ابد است و همچنین رسیدگی به جرائم مطبوعاتی و سیاسی به نحوی که در مواد بعدی ذکر میشود در دادگاه کیفری استان به عمل خواهد آمد. رسیدگی به کلیه اتهامات اعضاء مجمع تشخیص مصلحت نظام، شورای نگهبان، نمایندگان مجلس شورای اسلامی، وزراء و معاونین آنها، معاونان و مشاوران رؤسای سه قوه، سفرا، دادستان و رئیس دیوان محاسبات، دارندگان پایه قضائی، استانداران، فرمانداران و جرائم عمومی افسران نظامی و انتظامی از درجه سرتیپ و بالاتر و مدیران کل اطلاعات استانها در صلاحیت دادگاه کیفری استان تهران میباشد به استثناء مواردی که در صلاحیت سایر مراجع قضائی است.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	5	ماده 5- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 نسخ شده است) به تعداد مورد نیاز دادگاههای انقلاب، در مرکز هر استان و مناطقی که ضرورت تشکیل آن را رییس قوه قضاییه تشخیص میدهد تحت نظارت و ریاست اداری حوزه قضایی تشکیل میگردد، و به جرائم ذیل رسیدگی مینماید: 1- کلیه جرائم علیه امنیت داخلی و خارجی و محاربه یا افساد فیالارض. 2- توهین به مقام بنیانگذار جمهوری اسلامی ایران و مقام معظم رهبری. 3- توطئه علیه جمهوری اسلامی ایران یا اقدام مسلحانه و ترور تخریب مؤسسات به منظور مقابله با نظام. 4- جاسوسی به نفع اجانب. 5- کلیه جرائم مربوط به قاچاق و مواد مخدر. 6- دعاوی مربوط به اصل 49 قانون اساسی.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	6	ماده 6- طرفین دعوا در صورت توافق میتوانند برای احقاق حق و فصل خصومت، به قاضی تحکیم مراجعه نمایند.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	7	ماده 7- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 در رابطه با امور کیفری نسخ شده است) احکام دادگاههای عمومی و انقلاب قطعی است مگر در مواردی که در این قانون قابل نقض و تجدیدنظر پیشبینی شده است.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	8	ماده 8- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 در رابطه با امور کیفری نسخ شده است) قضات دادگاهها و دادسراهای عمومی و انقلاب مکلفند به دعاوی وشکایات و اعلامات موافق قوانین موضوعه و اصل یکصد و شصت و هفتم (167) قانون اساسی جمهوری اسلامی ایران رسیدگی کنند و تصمیم قضائی را اتخاذ نمایند.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	9	ماده 9- (طبق مادۀ 570 قانون آیین دادرسی کیفری مصوب 1392 در رابطه با امور کیفری نسخ شده است) قرارها و احکام دادگاهها باید مستدل بوده و مستند به قانون یا شرع و اصولی باشد که بر مبنای آن حکم صادر شده است. تخلف از این امرو انشاء رأی بدون استناد موجب محکومیت انتظامی خواهد بود.
Building	‌قانون تشکیل دادگاه‌های عمومی و انقلاب	10	ماده 10- هر حوزه قضایی به تعداد لازم شعبه دادگاه، دادرس علیالبدل، دفتر دادگاه، واحد ابلاغ و اجراء احکام و در صورت لزوم یک واحد ارشاد و معاضدت قضایی خواهد داشت و در صورت تعدد شعب دارای یک دفتر کل نیز خواهد بود. تبصره- ترتیب تشکیل این واحدها، تعداد اعضای هر واحد، طریقه انتخاب و شرایط آن، میزان صلاحیت و اختیار هر واحد یا هر یک از اعضایآن و نحوه اقدامات و تصمیمگیریها به موجب آییننامهای است که به پیشنهاد و تهیه وزیر دادگستری به تصویب رییس قوه قضاییه خواهد رسید.
