law_code	law_name	chapter	article_number	text
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل اول - تعاریف	1	ماده 1- واژهها و اصطلاحات به کار برده شده در این آییننامه بشرح ذیل تعریف میشود: الف - سند لازم الاجرا سند رسمی یا عادی که بدون صدور حکم از دادگاه قابل صدور اجرائیه برای اجراء مدلول سند باشد مانند سند رسمی طلب و چک. ب - سند ذمه سند حاکی از تعهد مدیون به پرداخت وجه نقد یا پرداخت جنس یا تعهد به فعل معین که در اصطلاحات ثبتی در معنی مقابل اسناد مربوط به معاملات با حق استرداد بکار میرود. ج - سند وثیقه سندی است که دلالت بر عقد رهن یا معامله با حق استرداد یا بیع شرط کند که به موجب آن شخصی (اعم از اینکه مدیون باشد یا نه) عین مال منقول یا غیرمنقول خود را وثیقه انجام عملی قراردهد، خواه آن عمل، رد طلب باشد یا عمل دیگر. چ - دستور اجرا یعنی دستور به اجرای سند رسمی (و یا در حکم سند رسمی مانند چک) که حسب مورد توسط مراجع صالح ثبت یا سردفتر تنظیم کننده سند صادر میشود. ح - سند انتقال اجرائی بعد از مزایده مال مورد مزایده به موجب سند رسمی به برنده مزایده یا بستانکار منتقل میشود، آن سند را سند انتقال اجرائی مینامند. خ - بازداشت توقیف کردن اموال جهت اجرای مفاد سند. د - حافظ کسی که ادارات اجراء اسناد رسمی مال توقیف شده را نزد او به امانت گذارند تا حفظ و نگهداری کند. ذ - صورتجلسه سندی است که مقامی رسمی در جریان اجرای مفاد سند، عملی را در آن ثبت میکند. ر - کارشناس رسمی کسی که به مناسب خبره بودن در فنی میتواند در مسائل مربوط به فن خود به عنوان صاحب نظر اظهارنظر کند و از مراجع ذی صلاح پروانه برای این کار داشته باشد. ز - خبره صاحب فنی که به جهت مهارت خود در موضوعات مربوط به فن خود صاحب نظر باشد. س - مازاد در اصطلاحات ثبتی مازاد بهای ملکی است که زائد بر مقدار طلب بستانکار مقدم باشد و چون معلوم نیست به ملک مورد بازداشت یا مورد وثیقه بستانکار اول بعد از مزایده برای پرداخت طلب او مازادی داشته باشد، آن را مازاد احتمالی هم نامیدهاند. ش - اعتراض شخص ثالث شکایت شخصی است نسبت به عملیات اجرائی که از طرفین پرونده اجرائی نمیباشد. ص - اعراض از رهن یعنی مرتهن از وثیقهاش بگذرد. زیرا عقد رهن از سوی مرتهن جائز است و او میتواند آن را یک جانبه فسخ کند و حق وثیقهاش را ساقط نماید. پس دین با وثیقه او مبدّل به دین بیوثیقه میشود و سند رهنی او سند ذمهای میگردد و مقررات اجراء اسناد ذمهای بر آن مترتب میشود. ض - فک رهن آزاد کردن عین مرهونه از قید رهن، خواه از طریق دادن دین و خواه از طریق ابراء دائن. ط - فسخ سند یعنی ثبت انحلال سند رسمی معامله در دفتری که آن سند را به ثبت رسانده است، مطابق تشریفات مقرره در قانون ثبت اسناد و املاک. ظ - مزایده صورت خاصی از فروش مال است که از مبلغ ارزیابی مال شروع شده و به پیشنهادکننده بالاترین قیمت واگذار میشود. ع - نیابت اجرائی نیابتی که اجرای ثبت در حدود قوانین و مقررات جهت انجام امور اجرائی به اداره ثبت محل دیگر که اقامتگاه مدیون یا اموال بدهکار در حوزه آن قرار دارد بدهد. غ - هیأت نظارت هیأتی است مرکب از مدیرکل ثبت استان یا قائم مقام او و دو نفر از قضات دادگاه تجدیدنظر استان به انتخاب رئیس قوه قضائیه که به کلیه اختلافات و اشتباهات مربوط به امور ثبتی در حوزه قضائی استان رسیدگی مینماید. ف - شورای عالی ثبت عالی ترین مرجع رسیدگی اداری در امور ثبتی که برای تجدیدنظر در آراء هیأت نظارت که از دو شعبه املاک و اسناد تشکیل میگردد. ق - ممنوعالخروج بدهکاری که به دلیل عدم معرفی مال یا عدم دسترسی به اموال وی به درخواست بستانکار وفق مقررات از خروج وی از کشور جلوگیری میشود. ک - حق استرداد حقی است که به موجب آن مدیون میتواند با رد طلب بستانکار مال مورد وثیقه را تحت تصرف کامل خود درآورد. گ - حق الاجرا حقی است به صورت پول که دولت از بابت اجرائیه اسناد رسمی میگیرد که پنج درصد مبلغ مورد اجراست. ل - حق الحفاظه حقالزحمهای است که به حافظ برابر مقررات تعلق میگیرد. ن - قبض اقساطی قبوضی است که در معاملات اقساطی و اسناد اجاره به تعداد اقساط مورد تعهد صادر میشود. م - حق سکنی حق انتفاع هرگاه بصورت سکونت منتفع در مسکن متعلق به غیر باشد، آن را حق سکنی گویند.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	2	ماده 2- درخواست اجراء مفاد اسناد رسمی از مراجع ذیل به عمل میآید: الف - در مورد اسناد رسمی لازم الاجراء نسبت به دیون و اموال منقول و املاک ثبت شده و نیز املاک مورد وثیقه و اجاره (مشمول قانون روابط موجر و مستأجر) اعم از اینکه ملک مورد وثیقه و اجاره ثبت شده یا در جریان ثبت باشد از دفترخانهای که سند را ثبت کرده است. در مورد سایر اسناد راجع به املاکی که ثبت در دفتر املاک نشده است برای اجراء مفاد سند ذینفع باید به دادگاه صالحه مراجعه کند. ب (اصلاحی 1398/12/7رئیس قوه قضاییه)- درخواست اجرای مفاد اسناد رسمی در مورد وجه یا مال موضوع قبوض اقساطی و سایر مواردی که صدور اجراییه بر عهده ثبت محل یا اداره اجرای ثبت میباشد از طریق دفترخانه اسناد رسمی صورت میگیرد. نحوه پذیرش و اقدام نسبت به درخواست اجراییه از دفاتر اسناد رسمی مطابق شیوهنامهای است که به تصویب رییس سازمان ثبت خواهد رسید. ج - در مورد مهریه و تعهداتی که ضمن ثبت ازدواج و طلاق و رجوع شده نسبت به اموال منقول و سایر تعهدات (به استثنای غیرمنقول) از دفتری که سند را تنظیم کرده است و نسبت به اموال غیرمنقول که در دفتر املاک به ثبت رسیده است از دفتر اسناد رسمی تنظیم کننده سند. د - در مواردی که موجر بعلت عدم وصول وجه قبوض اقساطی تخلیه مورد اجاره را بخواهد باید به دفتر اسناد رسمی تنظیم کننده سند مراجعه نماید.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	3	ماده 3- تقاضانامه طبق فرم مخصوص تنظیم میشود و باید شامل نکات زیر باشد: 1- نام، نام خانوادگی، شماره شناسنامه، محل صدور آن، نام پدر، تاریخ تولد، کدملی، محل اقامت درخواست کننده اجرائیه یا نماینده قانونی او و شماره دفترخانهای که سند در آن ثبت شده و یا قبوض اقساطی صادر گردیده است. 2- نام، نام خانوادگی، شماره شناسنامه، محل صدور، نام پدر، تاریخ تولد، کدملی، محل اقامت متعهد و در صورت فوت متعهد، نام و مشخصات ورثه او. هرگاه بین ورثه محجور یا غایب وجود داشته باشد باید نام و مشخصات نماینده قانونی محجور یا غایب معین گردد و متعهدله یا نماینده قانونی او موظف است ورثه متعهد را معرفی و در این مورد احتیاجی به تسلیم گواهی حصر وراثت نیست. در صورت عجز متعهدله از معرفی ورثه، دفترخانه و اجرای ثبت تکلیفی نخواهد داشت. 3- موضوعی که اجراء آن تقاضا شده است، اگر راجع به چگونگی اجراء مورد درخواست توضیحی دارد باید قید کند. 4- تصریح به مطالبه خسارت تأخیر تأدیه در مورد بانکها و مراجعی که قانوناً حق دریافت آن را دارند. 5 - شماره و تاریخ مستند درخواست صدور اجرائیه. تبصره- هرگاه درخواست اجراء از طرف وکیل یا مدیر شرکت یا ولی یا قیم یا سایر نمایندگان قانونی متعهدله به عمل آمده باشد باید مدارکی که سمت متقاضی را محرز بدارد پیوست شود و اگر اختیار انجام تعهد با متعهدله باشد با توجه به ماده 226 قانون مدنی باید اخطار یا اظهارنامه رسمی را نیز که طی آن مطالبه به عمل آمده پیوست درخواست نامه کند.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	4	ماده 4- بستانکار با وثیقه باید در تقاضانامه صدور اجرائیه از دفترخانه نکات ذیل را بنویسد: 1- میزان اصل طلب 2- میزان سود 3- حق بیمه که بستانکار طبق شرط سند پرداخت کرده باشد. 4- میزان خسارت تأخیر تأدیه تا روز درخواست اجرائیه و از تاریخ مزبور به بعد طبق مقررات مربوطه. تبصره- محاسبه سود و خسارت تأخیر تأدیه فیمابین متعهد و متعهدله (در مورد بانکها و مراجعی که قانوناً حق دریافت آنها را دارند) تا تاریخ صدور اجرائیه انجام میشود و بعد از آن با اداره ثبت مربوطه است.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	5	ماده 5- سردفتر پس از احراز شرایط قانونی صدور اجرائیه و احراز هویت و صلاحیت درخواستکننده، مکلف است نسبت به ورود و تکمیل اطلاعات در سامانه اجرا اقدام، مدارک و مستندات مربوط را به سند الکترونیکی تبدیل و بانضمام اجراییه صادره حداکثر ظرف 48 ساعت از طریق سامانه مذکور، به اداره اجرای ثبت محل ارسال و اصول مدارک و مستندات را ضبط و بایگانی نماید. تبصره1- هرگاه سردفتر در صدور اجرائیه با اشکالی روبرو شود باید از صدور آن خودداری کرده و ظرف 24ساعت با طرح صریح اشکال، از ثبت محل استعلام و کسب تکلیف نماید. تبصره2- صدور اجراییه فقط نسبت به تعهدات حال شدهای که در سند لازم الاجرا منجزاً قید شده باشد و اجرای آن در صلاحیت اداره ثبت باشد، امکانپذیر است. (اصلاحی 1398)
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	6	ماده 6- نسبت به معاملات املاک یک نسخه اجرائیه از دفترخانه اضافه صادر میشود که به وسیله مسئول اجراء به ثبت محل ارسال میگردد و ثبت محل مکلف است ظرف سه روز وضع ثبتی ملک و حدود و مشخصات آن را به اجراء اطلاع دهد و تا وصول این اطلاع جز ابلاغ اجرائیه اقدامی نمیشود.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	7	ماده 7- هرگاه احدی از ورثه قبل از صدور اجرائیه دین مورث خود را پرداخت نماید، پرداخت کننده به عنوان قائممقام طلب کار میتواند علیه سایر وراث نسبت به سهمالارث آنان مبادرت به صدور اجرائیه نماید.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	8	ماده 8- دفاتر اسناد رسمی نیز مکلفند در موقع صدور اجرائیه هر نوع سند لازمالاجراء صدور اجرائیه را در ملاحظات ثبت مربوطه با ذکر تاریخ قید و امضاء نمایند.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	9	ماده 9- در صورتی که متعهدله فوت کند، هریک از ورثه میتواند با ارائه گواهینامه فوت و شناسنامه وراثت خود را اثبات کرده و درخواست صدور یا تعقیب اجرائیه مورث خود را در سهم الارث خود بکند ولی پس از اجراء اجرائیه وجه یا مال مورد تعهد به اداره ثبت سپرده میشود و تسلیم آن به ورثه موکول به ارائه گواهی حصر وراثت و مفاصا حساب مالیاتی خواهد بود.
aeename_mafad_asnad_rasmi	آیین نامه اجرای مفاد اسناد رسمی لازم الاجرا و طرز رسیدگی به شکایت از عملیات اجرایی	فصل دوم - صدور اجرائیه	10	ماده 10- در اسناد وثیقه هرگاه دارنده حق استرداد (اعم از بدهکار اصلی یا منتقل الیه) با قید حق بستانکار و ذکر تاریخ انقضاء مدت اسناد با جلب رضای بستانکار حق استرداد خود را واگذار کند اجرائیه باید علیه آخرین منتقل الیه صادر و تعقیب گردد.
