law_code	law_name	chapter	section	article_number	text
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل اول- دفاتر ثبت اسناد و املاک		1	ماده 1- اداره ثبت اسناد و املاک دارای دفاتر زیر خواهد بود: 1- دفتر املاک 2- دفتر نماینده املاک 3- دفتر املاک توقیف شده 4- دفتر ثبت موقوفات 5- دفتر گواهی امضاء 6- دفتر سپرده ها 7- دفتر توزیع اظهارنامه ها 8- دفتر املاک مجهول المالک 9- دفتر ثبت شرکتها 10- دفتر اسناد رسمی 11- دفتر ثبت قنوات 12- دفتر آمار و ثبت اظهارنامه تبصره- دفتر املاک و دفتر ثبت قنوات در مرکز و کلیه شهرستانها یک نسخه خواهد بود و در موقع مقتضی با فراهم شدن امکانات از مندرجات دفاتر مزبور میکروفیلم و یا اسکن تهیه و به مرکز ارسال می گردد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل اول- دفاتر ثبت اسناد و املاک		2	ماده 2- کلیه دفاتر نامبرده در ماده قبل باید مجلد بوده و باستثنای دفتر توزیع اظهارنامه و دفتر املاک مجهولالمالک و دفتر آمار بقیه دفاتر باید تمام صفحات آنرا در بدو امر مدعیالعموم بدایت محل یا نماینده او شماره گذاشته و نمونه «امضاء» کرده و بمهر پارکه ممهور و مجموع عده صفحات را در صفحه اول و آخر دفتر با تمام حروف ذکر و قید نماید.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل اول- دفاتر ثبت اسناد و املاک		3	ماده 3- برای ثبت املاک هر بخش یک دفتر املاک تخصیص و برای ثبت هر شماره مستقل مجموعاً سه صفحه و بجهت ثبت هر شماره از املاک مزروعی علاوه بر گنجایش مقدار ثبت لااقل سه صفحه سفید برای انتقالات بعدی آن منظور خواهد شد. تبصره- در صورتیکه یک دفتر املاک برای یک بخش کافی نباشد بنا به پیشنهاد مدیرکل ثبت استان و تصویب سازمان ثبت اسناد و املاک کشور بخش مذکور به دو یا چند ناحیه تقسیم و برای هر ناحیه یک دفتر املاک تخصیص می یابد. در این صورت هر ناحیه به نواحی دیگر محدود و حدفاصل آنها اعم از خیابان اصلی یا آثار طبیعی در صورتجلسه ای به امضاء مدیرکل و رئیس ثبت محل قید می گردد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل اول- دفاتر ثبت اسناد و املاک		4	ماده 4- دفاتر نامبرده در ماده یک مادام که صفحه سفید دارد مورد عمل و پس از اتمام آن مسئول دفتر باید تعداد شماره های ثبت را در آخر دفتر قید و بسته، امضاء نماید.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		5	ماده 5- در موقعیکه اداره ثبت قطعه یا بخشی را برای ثبت عمومی در نظر میگیرد باید پیشنویس آگهی ماده 9 قانون ثبت را تهیه و برای نمونه (امضاء) و انتشار باداره کل ثبت بفرستد و در ضمن این مدت بایستی وسائل مقدمات توزیع اظهارنامه را از انتشار آگهی
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		10	ماده 10- در محل و تهیه پلاک از مرکز و غیره در نظر گرفته که در موقع مقرر بتواند نماینده در محل حاضر شده و تاخیری در کار پلاک کوبی و توزیع اظهارنامه نشود.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		6	ماده 6- در قراء و قصبات خورده مالک قبل از شروع بعملیات ثبت عمومی لازم است نماینده عمل بوسائل مقتضی از قبیل جار و غیره مالکین را مطلع و با اطلاع کد خدا و ریشسفیدان قریه را به بخشهای معینی که حدود طبیعی داشته باشد تقسیم و اسامی و سایر مشخصات مالک و ملک را در کتابچه یا صورت مجلس نوشته به نمونه (امضاء) کد خدا و ریشسفیدان برساند و بعد بشمارهگذاری و توزیع اظهارنامه شروع کند و نمایندۂ مامور توزیع اظهارنامه باید دقیقاً مراقبت کند که اظهارنامهها با صورت مجلس فوقالذکر کاملا تطبیق نموده و در صورت مزبور کلیه قطعات با مشخصات و معروفیت آنها و اسامی مالکین که معرفی میشوند و حدود اربعه آن ذکرگردد و شماره و نوع املاک و اسامی مالکین در دفتر توزیع اظهارنامه نوشته شود و در روی اظهارنامه نیز که بمالکین و در صورت غیبت آنها به مستاجر یا کد خدای محل تسلیم و در دفتر توزیع اظهارنامه رسید داده میشود شماره ملک و مشخصات آن یادداشت و به نمونه (امضاء) نماینده مربوطه برسد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		7	ماده 7- در املاک شهری و مستغلات نیز پس از تعیین بخشی که مورد ثبت عمومی واقع میشود شمارهگذاری و توزیع اظهارنامه طبق مواد بالا به استثنای جار و صورت مجلس که مخصوص املاک مزروعی خورده مالک است بعمل خواهد آمد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		8	ماده 8- در مستغلات برای هر ملک یک شماره و در املاک مزروعی نیز برای قراء و مزارع شش دانکی [شش دانگی] یک شماره اصلی منظور میشود و در صورتیکه مزرعه مشتمل بر قطعات مفروز و اعیانی و غیره باشد برای هر قسمت یک شماره فرعی از همان شماره اصلی منظور خواهد شد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		9	ماده 9- چنانچه پس از شمارهگذاری املاک هر قطعه یا بخشی معلوم شود که ملکی از قلم افتاده آخرین شماره آن بخش برای آن اختصاص داده میشود و اگر ملکی پس از شمارهگذاری مفروزاً به قطعاتی تقسیم شد برای هر یک از قطعات شماره فرعی از همان شماره اصلی منظور خواهد شد مثلاً از شماره 5 اصلی 1/5 2/5 3/5
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		10	ماده 10- برای سرعت جریان باید قطع-ات ثبت عمومی کوچک انتخاب شود.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		11	ماده 11- در مورد کاروانسرا و امثال آن که دارای حجرات متعدده است در صورتیکه متعلق به یک نفر یا مشاعاً متعلق به اشخاص باشد یک شماره و در صورتیکه حجرات مالک جداگانه داشته باشد برای هر یک شماره مستقلی منظور خواهد شد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		12	ماده 12- هر بخشی که به ثبت عمومی گذارده میشود قنوات آن بخش هم باید جزو سایر املاک برای ثبت عمومی منظور و آخرین نمره آن بخش بقنوات داده شود و در اظهارنامه و دفتر توزیع اظهارنامه و آگهیها نیز شماره و اسم قنوات و مبدء و مظهر آن قید شود. هرگاه قنات از متعلقات ملک است و جداگانه مورد معامله واقع نمیشود تابع اصل ملک بوده و شماره مستقلی لازم ندارد.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		13	ماده 13- در موقع توزیع اظهارنامه در قراء مأمورین عمل بوسائل مقتضی در محل رسیدگی نموده پس از تشخیص اینکه اعیانی قریه متعلق برعایا میباشد تعیین شماره فرعی نموده و از روی شماره ردیف در دفتر توزیع اظهارنامه وارد و بمالکین اعیانی اظهارنامه میدهد- بمالکین عرصه هم پس از تعیین سهام آن ها اظهارنامه توزیع مینماید سپس اظهارنامه های مالکین اعیانی و عرصه را جداکانه [جداگانه] با اخذ حقالثبت از هر یک از آنها تنظیم و قبول مینماید در موقع تنظیم آگهی ابتداء عرصه و بعداً اعیانی باسم مالکین آگهی میشود درصورتیکه اختلافی بین مالکین عرصه و اعیانی پیدا شود باید بدواً بمدارک و قبالجات و بنچاق مالکین اصل مزرعه و عرصه مراجعه شود چنانچه مدارک مالکین عرصه حاکی است که اعیانیها متعلق بانان بوده و رعایا مدرکی برای مالکیت خود از طرف مالک یا مالکین قعلی [فعلی] یا قبلی ندارند درخواست ثبت را باید از مالک عرصه و ده پذیرفته و رعایا معترض شناخته شوند و چنانچه مدارک مالکیت مالکین قراء و قصبات حکایتی از اعیانیها ندارند یا رعایا مدارکی بر مالکیت خود دارند حق درخواست ثبت با رعایا است.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		14	ماده 14- نسبت بدرخواستهای ثبتی که قبلا شده و نسبت باعیانیهای آن که تشریفات این نظامنامه بعمل نیامده چنانچه در موقع تعیین حدود مالکین عرصه اعیانی را برای رعایا گواهی نماید یا قبلا بطور کلی گواهی کرده باشند باید برای اعیانیها شماره فرعی منظور درخواست ثبت پذیرفته آگهی نموده.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		15	ماده 15- در مورد املاکی که قبلا درخواست ثبت شده و تعیین حدود بعمل آمده و مالکین حق رعایا را نسبت باعیانی با اسامی معین قید و گواهی نمودهاند و آگهی هم شده است با دریافت حقالثبت و مخارج از صاحبان اعیانی و تعیین حدود آن میتوان در دفتر املاک ثبت و سند مالکیت صادر نمود.
aeename_sabt_amlak	آیین‌نامه قانون ثبت املاک	فصل دوم- در شماره‌‌گذاری املاک و توزیع اظهارنامه		16	ماده 16- املاکی که در جریان ثبت عادی بدون قید حق اعیانی برای رعایا به ثبت رسیده و بعداً در ثبت عمومی رعایا اظهارنامه دادهاند چون سابقاً ملک ثبت شده و جریان ثبت عمومی موردی نداشته این قبیل پروندهها باید برای رأی مقتضی به هیئت نظارت احاله شود.
