law_code	law_name	article_number	text
mobareze_ba_polshoee	قانون مبارزه با پولشویی	1	ماده 1- اصطلاحات مندرج در این قانون در معانی مشروح زیر به کار میرود: الف - جرم منشأ: هر رفتاری است که مطابق ماده (2) قانون مجازات اسلامی مصوب 1392/2/1 جرم محسوب شود. از منظر این قانون تخلفات مذکور در قانون مبارزه با قاچاق کالا و ارز با اصلاحات بعدی جرم محسوب میشود. ب - مال: هر نوع دارایی اعم از مادی یا غیرمادی، منقول یا غیرمنقول، مشروع یا غیرمشروع و هر نوع منفعت یا امتیاز مالی و همچنین کلیه اسناد مبیّن حق اعم از کاغذی یا الکترونیکی نظیر اسناد تجاری، سهام یا اوراق بهادار. پ - مال حاصل از جرم: هر مالی که به طور مستقیم یا غیرمستقیم از جرم منشأ بهدست آید از قبیل مالی که از جرایم اقتصادی و جرم تأمین مالی تروریسم حاصل میشود همچنین، مال موضوع جرم یا مالی که برای ارتکاب جرم اختصاص داده شده است در حکم مال بهدستآمده از جرم است. ت - اشخاص مشمول: اشخاص مذکور در مواد (5) و (6) این قانون. ث - مشاغل غیرمالی: مشاغلی که شاغلین آن معاملات زیادی را بهصورت نقدی انجام داده و از نظر پولشویی در معرض خطر قرار دارند از قبیل پیشفروشکنندگان مسکن یا خودرو، طلافروشان، صرافان، فروشندگان خودرو، فرشهای قیمتی، فروشندگان عتیقهجات و هرنوع محصول گرانقیمت. ج - خدمات پایه: خدماتی است که طبق مقررات مربوطه، پیشنیاز و لازمه ارائه سایر خدمات توسط اشخاص مشمول میباشد و پس از آن ارباب رجوع به منظور اخذ خدمات مکرر و متمادی به اشخاص مشمول مراجعه میکنند. چ - معاملات و عملیات مشکوک: معاملات و عملیات مشکوک شامل هر نوع معامله، دریافت یا پرداخت مال اعم از فیزیکی یا الکترونیکی یا شروع به آنها است که براساس قرائن و اوضاع و احوالی مانند موارد زیر ظن وقوع جرم را ایجاد کند: 1- معاملات و عملیات مالی مربوط به ارباب رجوع که بیش از سطح فعالیت مورد انتظار وی باشد. 2- کشف جعل، اظهار کذب یا گزارش خلاف واقع از سوی مراجعان قبل یا بعد از آنکه معامله یا عملیات مالی صورت گیرد و نیز در زمان اخذ خدمات پایه. 3- معاملات یا عملیات مالی که به هر ترتیب مشخص شود صوری یا ظاهری بوده و مالک شخص دیگری است. 4- معاملات یا عملیات مالی بیش از سقف مقرر در آییننامه اجرایی این قانون هر چند مراجعان قبل یا حین معامله یا عملیات مزبور از انجام آن انصراف داده یا بعد از انجام آن بدون دلیل منطقی نسبت به فسخ قرارداد اقدام نمایند.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	2	ماده 2- پولشویی عبارت است از: الف - تحصیل، تملک، نگهداری یا استفاده از عواید حاصل از ارتکاب جرایم با علم بهمنشأ مجرمانه آن. ب - تبدیل، مبادله یا انتقال عوایدی به منظور پنهان یا کتمانکردن منشأ مجرمانه آن با علم به اینکه به طور مستقیم یا غیرمستقیم از ارتکاب جرم بهدست آمده یا کمک بهمرتکب جرم منشأ بهنحوی که وی مشمول آثار و تبعات قانونی ارتکاب آن جرم نشود. پ - پنهان یا کتمانکردن منشأ، منبع، محل، نقل و انتقال، جابهجایی یا مالکیت عوایدی که بهطور مستقیم یا غیرمستقیم در نتیجه جرم تحصیل شده باشد. تبصره1- هرگاه ظن نزدیک به علم به عدم صحت معاملات و تحصیل اموال وجود داشته باشد مانند آن که نوعاً و باتوجه به شرایط امکان تحصیل آن میزان دارایی در یک زمان مشخص وجود نداشته باشد مسؤولیت اثبات صحت آنها برعهده متصرف است. منظور از علم در این تبصره و تبصره (3) همان است که در قانون مجازات اسلامی برای علم قاضی تعریف شده است. تبصره2- داراشدن اموال موضوع این قانون منوط به ارائه اسناد مثبته میباشد. علاوه بر این چنانچه ارزش اموال مزبور بیش از ده میلیارد (10.000.000.000)ریال برای سال پایه و معادل افزایشیافته آن بر اساس نرخ تورم برای سالهای بعد باشد وجود سابقه از آن در سامانههای مربوطه مطابق قوانین و مقررات لازم است. عدم تقدیم اسناد مثبته که قابل راستیآزمایی باشد به حکم دادگاه مستوجب جزای نقدی به میزان یکچهارم ارزش آن اموال خواهد بود، در این صورت اصل مال موضوع قانون تا زمان رسیدگی قضایی توقیف میشود. چنانچه پس از رسیدگی اثبات شود دارا شدن مشروع بوده از مال رفع توقیف و در غیراینصورت ضبط میشود. تبصره3- چنانچه ظن نزدیک به علم بر تحصیل مال از طریق نامشروع وجود داشته باشد در حکم مال نامشروع محسوب و مرتکب درصورتیکه مشمول مجازات شدیدتری نباشد به حبس درجه شش محکوم میشود. در هر صورت مال مزبور ضبط خواهد شد مگر اینکه تحصیل مشروع آن اثبات شود.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	3	ماده 3- عواید حاصل از جرم به معنای هر نوع مال یا امتیازی است که به طور مستقیم یا غیرمستقیم از ارتکاب جرایم، اعم از جرایم منشأ و پولشویی، به دست آمده باشد. تبصره1- جرم منشأ موضوع این ماده اعم است از اینکه در داخل یا در خارج از کشور واقع شده باشد مشروط بر اینکه جرم واقعشده در خارج از کشور جمهوری اسلامی ایران نیز مطابق قانون جرم باشد. تبصره 2- کلیه آلات و ادواتی که در فرآیند جرم پولشویی وسیله ارتکاب جرم بوده یا در اثر جرم تحصیل شده یا حین ارتکاب، استعمال و یا برای استعمال اختصاص یافته و در هر مرحله از مراحل تعقیب و رسیدگی به دست آید در صورت احراز اطلاع مالک از قصد مجرمانه مرتکب توقیف میشود. این ابزار و اموال از لحاظ شیوه نگهداری و سایر امور تابع مقررات ماده (147) قانون آیین دادرسی کیفری مصوب 1392/12/4 خواهد بود.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	4	ماده 4- بهمنظور هماهنگی برای پیشگیری و مقابله با جرایم پولشویی و تأمین مالی تروریسم، شورای عالی مقابله و پیشگیری از جرایم پولشویی و تأمین مالی تروریسم، که در این قانون به اختصار شورا نامیده میشود، به ریاست وزیر امور اقتصادی و دارایی و با عضویت وزرای صنعت، معدن و تجارت، اطلاعات، کشور، دادگستری و امور خارجه، نماینده رئیس قوه قضاییه، دادستان کل کشور یا نماینده وی، رئیس سازمان بازرسی کل کشور یا نماینده وی، رئیس سازمان اطلاعات سپاه، رئیس کل بانک مرکزی جمهوری اسلامی ایران و سه نفر از نمایندگان مجلس شورای اسلامی بهعنوان ناظر به پیشنهاد کمیسیونهای اقتصادی، شوراها و امور داخلی کشور و قضایی و حقوقی و تصویب مجلس با وظایف ذیل تشکیل میشود: 1- تعیین راهبردها و برنامهریزی در جهت اجرای قانون. 2- تهیه و پیشنهاد آییننامههای لازم درخصوص اجرای قانون برای تصویب به هیأتوزیران. 3- هماهنگکردن دستگاههای زیر مجموعه دولت در امر جمعآوری، پردازش و تحلیل اخبار، اسناد، مدارک، اطلاعات و گزارشهای واصله، تهیه سامانههای هوشمند و شناسایی معاملات مشکوک و گزارش به مراجع ذیربط جهت انجام اقدامات لازم. تبصره1 - دبیرخانه شورا در وزارت امور اقتصادی و دارایی خواهد بود. تبصره2 - ساختار و تشکیلات اجرایی شورا متناسب با وظایف قانونی آن با پیشنهاد شورا به تصویب هیأتوزیران خواهد رسید. تبصره3 - کلیه آییننامههای اجرایی شورای فوقالذکر پس از تصویب هیأتوزیران برای تمامی اشخاص حقیقی و حقوقی ذیربط، با رعایت ماده (14) این قانون لازمالاجراء خواهد بود. متخلف از این امر به تشخیص مراجع اداری و قضایی حسب مورد به دو تا پنج سال انفصال از خدمت مربوط یا محرومیت از همان شغل محکوم خواهد شد.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	5	ماده 5- کلیه صاحبان مشاغل غیرمالی و مؤسسات غیرانتفاعی و همچنین اشخاص حقیقی و حقوقی از جمله بانک مرکزی جمهوری اسلامی ایران، بانکها، مؤسسات مالی و اعتباری، بیمهها، بیمه مرکزی، صندوقهای قرضالحسنه، بنیادها و مؤسسات خیریه، شهرداریها، صندوقهای بازنشستگی، نهادهای عمومی غیردولتی، تعاونیهای اعتباری، صرافیها، بازار سرمایه (بورسهای اوراق بهادار) و سایر بورسها، شرکتهای کارگزاری، صندوقها و شرکتهای سرمایهگذاری و همچنین مؤسساتی که شمول قانون بر آنها مستلزم ذکر نام میباشد از قبیل شرکت ملی نفت ایران، سازمان گسترش و نوسازی ایران و غیر آنها، مکلفند آییننامههای اجرایی هیأتوزیران در ارتباط با این قانون و قانون مبارزه با تأمین مالی تروریسم را اجراء کنند.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	6	ماده 6- کلیه اشخاص موضوع ماده (5) این قانون، از جمله گمرک جمهوری اسلامی ایران، سازمان امور مالیاتی کشور، سازمان ثبت اسناد و املاک کشور، دفاتر اسناد رسمی، وکلای دادگستری، حسابرسان، حسابداران، کارشناسان رسمی دادگستری و بازرسان قانونی مکلفند اطلاعات مورد نیاز در اجرای این قانون را طبق مصوبات هیأتوزیران حسب درخواست شورا یا مرکز اطلاعات مالی به آنها ارائه نمایند.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	7	ماده 7- اشخاص، نهادها و دستگاههای مشمول این قانون (موضوع مواد 5 و 6) برحسب نوع فعالیت و ساختار سازمانی خود مکلف به رعایت موارد زیر هستند: الف - احراز هویت و شناسایی مراجعان، مالکان واقعی و در صورت اقدام توسط نماینده یا وکیل، احراز سمت و هویت نماینده، وکیل و اصیل. تبصره - مقررات این بند نافی ضرورت احراز هویت بهموجب قوانین و مقررات دیگر نیست. ب - ارائه اطلاعات، گزارشها، اسناد و مدارک لازم به مرکز اطلاعات مالی در چهارچوب قانون و آییننامه مصوب هیأتوزیران. پ - ارائه گزارش معاملات یا عملیات یا شروع به عملیات بیش از میزان مصوب شورا یا معاملات و عملیات مشکوک بانکی، ثبتی، سرمایهگذاری، صرافی، کارگزاری و مانند آنها به مرکز اطلاعات مالی. تبصره - معاملات و عملیات مشکوک شامل هر نوع معامله، دریافت یا پرداخت مال اعم از فیزیکی یا الکترونیکی یا شروع به آنها است که براساس اوضاع و احوالی مانند ارزش، موضوع یا طرفین آن برای انسان به طور متعارف ظن وقوع جرم را ایجاد کند؛ نظیر: 1- معاملات و عملیات مالی مربوط به ارباب رجوع که به نحو فاحش بیش از سطح فعالیت مورد انتظار وی باشد. 2- کشف جعل، اظهار کذب یا گزارش خلاف واقع از سوی مراجعان قبل یا بعد از آنکه معامله یا عملیات مالی صورت گیرد و نیز در زمان اخذ خدمات پایه. 3- معاملات یا عملیات مالی که به هر ترتیب مشخص شود صوری یا ظاهری بوده و مالک شخص دیگری است. 4- معاملات یا عملیات مالی که اقامتگاه قانونی هریک از طرفین در مناطق پرخطر (از نظر پولشویی) واقع شده است. فهرست این مناطق توسط شورا مشخص میشود. 5 - معاملات یا عملیات مالی بیش از سقف مقرر در آییننامه اجرایی. هرچند مراجعان، قبل یا حین معامله یا عملیات مزبور از انجام آن انصراف داده یا بعد از انجام آن بدون دلیل منطقی نسبت به فسخ قرارداد اقدام نمایند. ت - نگهداری سوابق مربوط به شناسایی ارباب رجوع، مالک، سوابق حسابها، عملیات و معاملات داخلی و خارجی حداقل به مدت پنج سال پس از پایان رابطه کاری یا انجام معامله موردی است که شیوه آن بهموجب آییننامه اجرایی این قانون تعیین میشود. تبصره - این بند ناقض سایر قوانین که نگهداری اسناد را بیش از مدت یادشده الزامی نموده نخواهد بود. ث - تدوین معیارهای کنترل داخلی و آموزش مدیران و کارکنان به منظور رعایت مفاد این قانون و آییننامههای اجرایی آن. تبصره - هر یک از مدیران و کارکنان دستگاههای اجرایی موضوع ماده (5) قانون مدیریت خدمات کشوری مصوب 1386/7/8 عالماً و عامداً و به قصد تسهیل جرایم موضوع این قانون از انجام تکالیف مقرر در هر یک از بندهای فوق به استثنای بند «ث» خودداری نماید علاوه بر انفصال موقت درجه شش به جزای نقدی درجه شش محکوم میشود. درصورتی که عدم انجام تکالیف مقرر ناشی از تقصیر باشد مرتکب به انفصال موقت درجه هفت محکوم خواهد شد. مدیران و کارکنان سایر دستگاههای حاکمیتی و بخشهای غیردولتی در صورت عدم انجام تکالیف مقرر در این ماده به استثنای بند «ث»، به جزای نقدی درجه شش محکوم میگردند.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	7	ماده 7- مکرر (الحاقی مصوب 1397/10/15) به منظور اجرای این قانون و قانون مبارزه با تأمین مالی تروریسم، سیاستها و تصمیمات شورا، «مرکز اطلاعات مالی» با ساختار و ترکیب مندرج در تبصره (2) این ماده زیر نظر شورا با وظایف و اختیارات زیر در وزارت امور اقتصادی و دارایی تشکیل می­شود: الف - دریافت، گردآوری، نگهداری، تجزیه و تحلیل و ارزیابی اطلاعات و بررسی معاملات و عملیات مشکوک به پولشویی و تأمین مالی تروریسم، ردیابی جریان وجوه و انتقال اموال با رعایت ضوابط قانونی و گزارش معاملات و عملیات مشکوک به پولشویی و تأمین مالی تروریسم. ب - وزارت اطلاعات، نیروی انتظامی جمهوری اسلامی ایران، گمرک جمهوری اسلامی ایران، بانک مرکزی جمهوری اسلامی ایران، بانکها، سازمان ثبت احوال کشور، بیمه مرکزی ایران، سازمان امور مالیاتی کشور، سازمان ثبت اسناد و املاک کشور، سازمان حسابرسی، سازمان بورس و اوراق بهادار، ستاد مرکزی مبارزه با قاچاق کالا و ارز، ستاد مبارزه با مواد مخدر و سازمان تعزیرات حکومتی، موظفند پاسخ استعلامات مرکز در مورد اطلاعات تکمیلی مرتبط با معاملات و تراکنشهای مالی مشکوک به پولشویی را به صورت برخط امن به این مرکز ارسال نمایند. همچنین، اطلاعات موضوع این ماده با لحاظ مفاد ماده (117) قانون برنامه پنجساله ششم توسعه اقتصادی، اجتماعی و فرهنگی جمهوری اسلامی ایران مصوب 1395/12/14 در اختیار قوه قضاییه قرار میگیرد. تبصره - واگذاری اطلاعات امنیتی طبقهبندیشده بعد از طی مراحل رسیدگی اطلاعاتی ارائه خواهد شد. پ - بررسی و ارزیابی نحوه تحصیل و مشروعیت داراییها و عملیات مشکوک اشخاص در گزارشهای واصله و ارسال آنها به مراجع ذیصلاح قضایی برای رسیدگی در مواردی که به احتمال قوی صحت دارد و یا محتمل بودن آن از اهمیت برخوردار است. ت - جلوگیری از نقل و انتقال وجوه یا اموال مشکوک به پولشویی و تأمین مالی تروریسم و اطلاع به مرجع صالح قضایی جهت رسیدگی مطابق حکم تبصره (1) این ماده. ث - ارائه مشاوره به اشخاص مشمول برای مبارزه با پولشویی و تأمین مالی تروریسم در قالب ابلاغ اصول راهنما. ج - تدوین آیین­نامه­های مربوط به روشها و مصادیق گزارش معاملات مالی مشکوک و اعمال موضوع این قانون و قانون مبارزه با تأمین مالی تروریسم جهت تصویب در هیأت وزیران و سپس ارجاع به مراجع ذیربط. چ - تهیه برنامههای آموزشی در زمینه آثار زیانبار پولشویی و تأمین مالی تروریسم، شیوههای متداول در انجام جرایم مذکور و ابزارهای مؤثر پیشگیری از آن، از طریق شورای عالی پیشگیری از وقوع جرم. ح - همکاری با اشخاص، سازمانها و نهادها یا دستگاههای دولتی و سازمانهای مردمنهاد که در زمینه مبارزه با پولشویی و تأمین مالی تروریسم فعالیت میکنند. خ - تهیه و ارسال منظم گزارشهایی درباره اقدامات انجامشده و ارائه پیشنهادهای مربوط به شورا و شورای عالی پیشگیری از وقوع جرم. د - همکاری و تبادل اطلاعات با مراکز مشابه در سایر کشورها، سازمانها، مجامع منطقهای، بینالدولی و بینالمللی ذیربط مطابق قوانین و مقررات. ضوابط و نحوه همکاری و تبادل اطلاعات و همچنین چگونگی انتخاب طرفهای تبادل به موجب آییننامهای است که توسط شورا تهیه شده و به تصویب شورای عالی امنیت ملی میرسد. ذ - انجام سایر وظایف محوله از سوی شورا در چهارچوب مقررات این قانون. تبصره1- توقیف و جلوگیری از نقل و انتقال وجوه یا اموال مشکوک به جرایم پولشویی و تأمین مالی تروریسم و یا انجام هرگونه تحقیقات منوط به اخذ مجوز از مراجع قضایی ذیصلاح است؛ مگر در موارد فوری که به مقام قضایی دسترسی نیست که در این صورت مرکز اطلاعات مالی میتواند دستور توقیف و جلوگیری از انتقال وجوه و اموال مشکوک را حداکثر تا بیست و چهار ساعت صادر و بلافاصله پس از حصول دسترسی، مراتب را به مقام قضایی گزارش و مطابق دستور وی عمل کند. چنانچه بعد از بیست و چهار ساعت مجوز مراجع قضایی صادر نشود، رفع توقیف میشود. تبصره2- مرکز اطلاعات مالی یک مؤسسه دولتی تابع وزارت امور اقتصادی و دارایی است. این مرکز متشکل از رئیس و به تعداد لازم معاون و گروههای کارشناسی از قبیل کارگروه حقوقی قضایی، پیگیری و نظارت، تحلیل و بررسی اطلاعات مالی میباشد. رئیس مرکز از میان افراد دارای حداقل ده سال سابقه مدیریتی یا قضایی مرتبط و با شرایط زیر با رأی حداقل دوسوم اعضای شورا و با حکم رئیس شورا منصوب میشود. دوره ریاست چهار سال و تجدید آن برای یکبار مجاز است. تشکیلات این مرکز در چهارچوب این قانون بر اساس آییننامهای است که توسط شورا تدوین میشود و بهتصویب هیأت وزیران میرسد. علاوه بر رعایت قوانین و مقررات عمومی، رئیس و کارکنان مرکز باید دارای این شرایط باشند: 1- وثاقت و حسن شهرت 2- توانایی انجام وظایف 3- نداشتن هرگونه سابقه محکومیت کیفری 4- سلامت مالی، اخلاقی و امنیتی 5 - تعهد به اسلام، انقلاب، نظام اسلامی و قانون اساسی و التزام اعتقادی و عملی به ولایت فقیه شرایط مقرر در بندهای (1)، (4) و (5) از وزارت اطلاعات و سازمان اطلاعات سپاه استعلام میشود و صرفاً پس از احراز کلیه شرایط مذکور و همچنین پس از دریافت موافقت این دو نهاد در خصوص بندهای مورد اشاره، رئیس مرکز مطابق مقررات فوق و سایر کارکنان مرکز، توسط رئیس مرکز تعیین میشوند. کلیه دستگاههای اجرایی از قوای سهگانه و نیروهای نظامی و انتظامی مکلفند در صورت درخواست مرکز اطلاعات مالی و با تصویب شورا نسبت به تأمین کارکنان بخشهای مرکز که از افراد مجرب و با سابقه آن نهاد انتخاب میشوند همکاری لازم را داشته باشند. همکاری نیروهای نظامی و انتظامی بر اساس ضوابط مربوطه فرماندهی کل قوا است. تبصره3- علاوه بر ضابطین عام، وزارت اطلاعات و سازمان اطلاعات سپاه در جرایم این قانون و قانون مبارزه با تأمین مالی تروریسم ضابط دادگستری میباشند. تبصره4- نحوه و سطح دسترسی به اطلاعات مالی و اداری مربوط به جرایم پولشویی و تأمین مالی تروریسم و همچنین تعریف برخط امن به موجب دستورالعملی است که توسط شورا تهیه میشود و به تصویب شورای عالی امنیت ملی میرسد.
mobareze_ba_polshoee	قانون مبارزه با پولشویی	8	ماده 8- اطلاعات و اسناد گردآوریشده در اجرای این قانون، صرفاً در جهت کشف و رسیدگی به جرایم استفاده میشود. افشای اطلاعات و اسناد یا استفاده از آنها به نفع خود یا دیگری به طور مستقیم یا غیرمستقیم توسط مأموران دولتی یا سایر اشخاص مقرر در این قانون ممنوع بوده و متخلف به مجازات حبس تعزیری درجه پنج محکوم خواهد شد.»
mobareze_ba_polshoee	قانون مبارزه با پولشویی	9	ماده 9- اصل مال و درآمد و عواید حاصل از ارتکاب جرم منشأ و جرم پولشویی (و اگر موجود نباشد مثل یا قیمت آن) مرتکبین جرم پولشویی مصادره میشود و همچنین چنانچه جمع اموال، درآمد و عواید مذکور تا ده میلیارد (10.000.000.000) ریال باشد به حبس تعزیری درجه پنج و ارقام بیشتر از آن به حبس تعزیری درجه چهار در هر دو مورد علاوه بر مجازات قبل به جزای نقدی معادل وجوه یا ارزش مالی که مورد پولشویی واقع گردیده محکوم میشوند. تبصره 1- چنانچه عواید حاصل از جرم به اموال دیگری تبدیل یا تغییر یافته باشد همان اموال و در صورت انتقال به ثالث با حسن نیت، معادل آن از اموال مرتکب ضبط میشود. تبصره 2- صدور و اجرای حکم ضبط دارایی و منافع حاصل از آن در صورتی است که متهم به لحاظ جرم منشأ، مشمول این حکم قرار نگرفته باشد. تبصره 3- مرتکبین جرم منشأ در صورت ارتکاب جرم پولشویی علاوه بر مجازاتهای مقرر مربوط به جرم منشأ، به مجازاتهای پیشبینیشده در این قانون نیز محکوم خواهند شد. مرتکبین جرم پولشویی در صورت عدم ارتکاب جرم منشأ صرفاً به مجازات مقرر در این ماده محکوم میشوند. تبصره 4- در صورتیکه جرم پولشویی به صورت سازمانیافته ارتکاب یابد، موجب تشدید در مجازات به میزان یک درجه خواهد بود. تبصره 5- در صورتیکه اشخاص حقوقی مرتکب جرم پولشویی شوند علاوه بر مجازاتهای مقرر در ماده (20) قانون مجازات اسلامی به جزای نقدی معادل دو تا چهار برابر وجوه یا ارزش مالی که مورد پولشویی واقع گردیده محکوم میشوند. تبصره 6- چنانچه این اموال متعلق به غیر باشد و در دادگاه صالحه مشخص شود که بدون اطلاع مالک استفاده شده یا اینکه مالک رضایت نداشته و این امر را به مراجع قانونی اعلام نموده یا اینکه امکان اعلام نداشته است به مالک آن مسترد میشود.
